ahn_shipmentid,ahn_name,ahn_salesorderid,ahn_customerid,ahn_warehouse,ahn_sourcing,ahn_carrier,ahn_orderedtons,ahn_loadedtons,ahn_truckloads,ahn_stockreadyon,ahn_loadedon,ahn_dispatchedon,ahn_deliveredon,ahn_waybillnumber,ahn_podreceived,createdon,statecode,statuscode
c14f3ccf-065b-4843-8d6a-9f626aafcff6,SHP-000012,18e8edff-38e6-4127-a05f-6b13dd83fc2a,8b17251e-7f11-4d61-b24c-7474030aaf26,100000000,100000000,100000000,315.0,315.03,14,2024-10-10T14:01:59Z,2024-10-14T05:27:07Z,2024-10-14T06:32:20Z,2024-10-14T11:34:00Z,WB-000012,True,2024-10-10T10:49:00Z,1,2
d73cd67b-b131-440e-8d27-8b620bf35b6c,SHP-000013,16206c96-b857-45b4-812e-796cf47cde0f,44bb84b2-4a1e-4e91-933e-db88f9c2f1f5,100000003,100000000,100000000,60.0,59.97,3,2024-10-22T15:48:19Z,2024-10-28T03:59:24Z,2024-10-28T04:45:10Z,2024-10-28T10:24:00Z,WB-000013,True,2024-10-22T13:42:00Z,1,2
83c5289e-5f46-44f4-a9b2-8c9aeddabc7b,SHP-000014,3972955f-f318-48ac-b287-62cda517adae,380c10f6-39b8-4c77-aa25-15bbfe1da55b,100000002,100000000,100000001,40.0,39.87,2,2024-10-01T08:45:47Z,2024-10-01T22:00:04Z,2024-10-01T23:56:58Z,2024-10-02T05:08:00Z,WB-000014,True,2024-10-01T07:08:00Z,1,2
c027197c-1fe2-4625-b345-07d49c89be5d,SHP-000015,f3f54308-87d4-4e6d-93fe-da787e39a37c,eb105574-3b8e-4686-a9ec-f49c5224bc01,100000000,100000000,100000000,110.0,109.74,5,2024-10-07T13:49:23Z,2024-10-13T05:59:37Z,2024-10-13T06:48:11Z,2024-10-13T12:59:00Z,WB-000015,True,2024-10-07T11:40:00Z,1,2
7421d889-06e3-4d63-b4ec-dfdccffb82a2,SHP-000016,e9107c1f-86d2-4d72-80d3-df6e18001549,74799ed4-1a43-44bb-86b6-c38c5eca0ea3,100000000,100000000,100000001,20.0,19.99,1,2024-10-09T07:46:37Z,2024-10-13T05:47:21Z,2024-10-13T06:14:12Z,2024-10-13T10:11:00Z,WB-000016,True,2024-10-09T07:38:00Z,1,2
81024392-0c69-4f7d-b289-35f5b4bd6700,SHP-000017,a32f0b9a-fb12-45ff-a82c-428511f01e84,6342d18d-fd5c-4a5b-93c7-6f0835025f9c,100000003,100000001,100000002,255.0,255.84,11,2024-10-15T14:49:26Z,2024-10-16T05:59:24Z,2024-10-16T07:47:19Z,2024-10-16T12:50:00Z,WB-000017,True,2024-10-12T07:40:00Z,1,2
99fbe2fd-34fd-45e0-9158-2f10c13625e2,SHP-000018,e013f345-7670-45a5-8b9c-988a5bb24e92,9db51ce2-8797-4353-97d6-7d9288c55582,100000000,100000001,100000002,170.0,169.94,8,2024-10-28T04:44:01Z,2024-10-28T23:23:23Z,2024-10-29T00:37:06Z,2024-10-29T06:34:00Z,WB-000018,True,2024-10-24T09:51:00Z,1,2
48bfe771-8a4c-44b5-904a-603aafa0da73,SHP-000019,8844f32b-5b13-4988-8d15-ab18df40268c,fe8702cd-7a9b-4f90-a059-f07ac1d10053,100000001,100000001,100000001,175.0,174.41,8,2024-10-15T04:07:04Z,2024-10-16T22:43:03Z,2024-10-17T00:28:15Z,2024-10-17T07:09:00Z,WB-000019,True,2024-10-12T08:49:00Z,1,2
ce0d56e7-318a-42d4-adb1-d626ebcbcf8a,SHP-000020,27362677-4b13-4b6a-8ef0-5e0879c3de2a,6c32e888-f4bd-4373-9e04-aa492f166543,100000000,100000000,100000000,65.0,64.87,3,2024-10-13T05:58:15Z,2024-10-19T00:25:06Z,2024-10-19T01:00:26Z,2024-10-19T05:54:00Z,WB-000020,False,2024-10-13T05:39:00Z,1,2
395c6fcc-745b-4e87-b2a3-f4e2c277ab57,SHP-000021,17e0c203-6623-49bc-9aa6-99cad1b3f6b1,e06c5f09-f6c4-4c4a-9a81-7d76d0a2c065,100000003,100000000,100000001,25.0,24.96,2,2024-10-24T14:07:36Z,2024-10-26T04:35:38Z,2024-10-26T05:47:41Z,2024-10-26T11:59:00Z,WB-000021,True,2024-10-24T13:33:00Z,1,2
295f8e2a-efec-4ee7-bf56-3b81b70e2a13,SHP-000022,3e027b1f-e38d-4d98-b39b-fd7bc906f88b,2ff3cde4-6aa4-4c9f-9217-04753d959e3f,100000000,100000000,100000003,219.5,218.89,10,2024-10-30T13:20:51Z,2024-10-31T03:10:32Z,2024-10-31T04:37:24Z,2024-10-31T10:10:00Z,WB-000022,True,2024-10-30T12:53:00Z,1,2
fc3ff63f-ed4e-4df3-ba32-7b8e0ba1320b,SHP-000023,8654e1ba-d900-4b8f-98ea-677300b2c0cd,935d1c24-0246-4d11-97ab-d79712886be9,100000000,100000000,100000000,100.0,100.18,5,2024-12-03T12:44:50Z,2024-12-05T07:05:38Z,2024-12-05T08:23:54Z,2024-12-05T12:18:00Z,WB-000023,True,2024-12-03T09:01:00Z,1,2
1b11e0c1-49fd-4452-b996-10e72902784b,SHP-000024,e0a043ae-c0e2-4abf-aff2-7e2f520b81d7,9b6fbe20-4b3a-4a83-a286-16f4bbf9a04b,100000002,100000001,100000000,50.0,49.76,3,2024-11-24T04:25:49Z,2024-11-24T20:58:03Z,2024-11-24T22:19:01Z,2024-11-25T06:10:00Z,WB-000024,True,2024-11-21T13:39:00Z,1,2
d9d78aa2-7551-4a07-8743-44b48a800ac1,SHP-000025,5f9838db-6116-4281-aa53-916fc39f26ff,0290220b-9e7e-4520-b1ec-3c1c04947595,100000000,100000000,100000001,75.0,75.05,4,2024-11-24T11:24:50Z,2024-11-26T05:21:35Z,2024-11-26T07:05:57Z,2024-11-26T11:20:00Z,WB-000025,True,2024-11-24T11:15:00Z,1,2
bd9d0214-4252-4869-a1c7-fdd8e3cbd54f,SHP-000026,fde83a03-e55f-4c76-bc40-9354dcc202e5,5354f30f-409c-4120-a18a-ab8219e4d432,100000001,100000000,100000000,65.0,65.07,3,2024-11-07T14:45:45Z,2024-11-11T02:02:12Z,2024-11-11T02:30:12Z,2024-11-11T07:00:00Z,WB-000026,True,2024-11-07T12:11:00Z,1,2
90c1bd0e-5f79-4835-9293-726049f88679,SHP-000027,0f7aff6e-54b9-4b3b-8f6c-a162f0773f92,e716eb38-581f-43df-be71-bda810128b96,100000000,100000000,100000000,50.0,49.88,3,2024-10-24T09:50:31Z,2024-10-27T02:33:06Z,2024-10-27T04:19:51Z,2024-10-27T09:35:00Z,WB-000027,True,2024-10-24T08:30:00Z,1,2
8f6324cf-6453-4bbb-a8a5-0ac3ea971b7d,SHP-000028,f4f839d9-8581-416a-b4bc-ee91513d25a1,45044404-fb7a-4a14-bc87-b2c32c779434,100000001,100000000,100000000,70.0,70.06,3,2024-10-29T12:32:51Z,2024-11-03T06:20:08Z,2024-11-03T07:11:48Z,2024-11-03T11:06:00Z,WB-000028,True,2024-10-29T09:29:00Z,1,2
787b1fa2-590b-48d8-be8a-0aab653c870e,SHP-000029,0ae43bba-ec31-4978-93b4-d12154eef4d6,7d68fb16-11a0-406c-abe0-a95329f32051,100000001,100000001,100000000,80.0,79.76,4,2024-11-06T15:23:42Z,2024-11-09T05:48:10Z,2024-11-09T06:18:56Z,2024-11-09T11:23:00Z,WB-000029,True,2024-11-02T11:36:00Z,1,2
bbff6614-a122-4b08-bf42-311491698e82,SHP-000030,83382f03-cd47-48f9-9fb8-f6cf70988dac,51f4a724-9950-4858-88ca-c260b3f5a21c,100000003,100000001,100000000,170.0,170.48,8,2024-11-03T03:10:27Z,2024-11-03T20:44:57Z,2024-11-03T21:53:26Z,2024-11-04T04:55:00Z,WB-000030,True,2024-10-29T10:28:00Z,1,2
29101d28-f1b5-4aad-b87c-976aff1e7d6c,SHP-000031,6c73425a-496e-456d-b790-a3f0c878cc30,bcf2fc3b-d958-44c2-a053-8c1ba84510a1,100000001,100000000,100000001,185.0,185.03,8,2024-11-02T13:35:40Z,2024-11-05T12:58:29Z,2024-11-05T14:21:43Z,2024-11-06T10:49:00Z,WB-000031,True,2024-11-02T13:45:00Z,1,2
4beaa62b-d733-4dd6-b45e-d0bbd4a15bf1,SHP-000032,04e10a96-5ee2-40c4-b5e2-fdf8fa7ca745,c6a07656-c5c9-4b91-bf6e-f9ed7e4ce29f,100000003,100000000,100000000,95.0,95.04,4,2024-11-16T11:38:08Z,2024-11-20T04:51:24Z,2024-11-20T06:13:16Z,2024-11-20T12:40:00Z,WB-000032,True,2024-11-16T09:26:00Z,1,2
7f925416-3118-4c61-a73c-d78956429bf9,SHP-000033,b5f9a053-d574-4ebb-9a6b-f9baa28e0a22,e8b77f7b-7321-4f6b-8a80-76ece5582e16,100000003,100000000,100000000,140.0,140.57,6,2024-11-18T09:58:04Z,2024-11-24T04:39:57Z,2024-11-24T06:04:36Z,2024-11-24T09:30:00Z,WB-000033,True,2024-11-18T09:26:00Z,1,2
7d691a8d-2c9a-46fd-82a4-074233429c9f,SHP-000034,6f15656e-a194-4e27-a9a4-7ca4688807e1,16591c89-21eb-4aa9-9a2b-d69c450f69ee,100000003,100000000,100000000,70.0,69.95,3,2024-11-02T08:38:26Z,2024-11-07T03:39:47Z,2024-11-07T04:56:52Z,2024-11-07T08:20:00Z,WB-000034,True,2024-11-02T06:01:00Z,1,2
122f04f5-5593-4129-97dc-dbaee8d468e1,SHP-000035,2427b821-3623-46a2-94c0-7a4564b96ddb,2285b2ef-cfbe-4fe9-aea9-c542a1b970d0,100000000,100000000,100000000,85.0,85.33,4,2024-11-18T13:23:15Z,2024-11-20T06:23:58Z,2024-11-20T07:26:30Z,2024-11-20T12:00:00Z,WB-000035,True,2024-11-18T12:07:00Z,1,2
6f148eba-bf0c-4f22-bff3-9cc8a873f3ee,SHP-000036,5840eb72-3936-4f68-bf65-4c5477983209,e2c328aa-3310-4475-8a86-22250b36e356,100000000,100000001,100000000,60.0,59.9,3,2024-11-15T09:34:03Z,2024-11-17T03:14:33Z,2024-11-17T04:07:57Z,2024-11-17T09:41:00Z,WB-000036,True,2024-11-10T06:08:00Z,1,2
85ca4b2b-7b15-496f-84cb-85735b318804,SHP-000037,8dd8c95b-deef-4508-bd85-9f6f5bbc8128,7317591a-3283-4aa4-a212-ab7c9d361cb6,100000002,100000000,100000000,375.0,374.34,16,2024-11-25T14:23:45Z,2024-12-01T21:56:51Z,2024-12-01T23:36:50Z,2024-12-02T07:19:00Z,WB-000037,True,2024-11-25T13:28:00Z,1,2
297e0fcc-f375-4c7c-86a9-9e52ba07e44f,SHP-000038,0355363a-10ae-4021-b558-531a5e8c9510,ff4c96d6-71f2-4e8f-b69f-68c3e60fd420,100000000,100000000,100000001,95.0,94.7,4,2024-11-19T08:08:56Z,2024-11-20T01:34:00Z,2024-11-20T03:02:30Z,2024-11-20T10:30:00Z,WB-000038,True,2024-11-19T07:59:00Z,1,2
b823bae0-81b3-4f23-aff0-bdaf004108ce,SHP-000039,84fa406b-ce2b-423b-bfca-442ee3a057b4,89a3c811-895c-4fde-a3fa-40691519fd38,100000000,100000000,100000000,35.0,34.98,2,2024-11-07T08:59:19Z,2024-11-09T03:42:51Z,2024-11-09T04:48:05Z,2024-11-09T09:49:00Z,WB-000039,True,2024-11-07T07:38:00Z,1,2
92c88ab2-0e04-40fe-885a-34a36bb012bd,SHP-000040,7818382a-53df-410f-9da7-a4e58b62c2e9,d5f0fb6a-4596-4a75-b4df-b83ff659f188,100000001,100000000,100000000,264.5,264.26,12,2025-04-17T05:59:52Z,2025-04-22T23:56:36Z,2025-04-23T00:44:47Z,2025-04-23T05:29:00Z,WB-000040,True,2025-04-17T05:48:00Z,1,2
181e29e1-387f-4c15-b038-370cbbafd178,SHP-000041,8da411b6-894c-4c78-ad9e-3fc464114680,d02c75f9-198d-43a4-8cd2-0e4376dae194,100000002,100000000,100000001,65.0,64.52,3,2024-11-26T05:53:19Z,2024-11-27T08:07:55Z,2024-11-27T09:27:41Z,2024-11-27T13:17:00Z,WB-000041,True,2024-11-26T06:24:00Z,1,2
3dec9c04-1412-4ce6-91b1-a7f981b89537,SHP-000042,307e1c89-c659-45b8-883f-55e353af2d8b,502cf0ee-224a-46a6-ac0f-680115b24e1d,100000003,100000000,100000003,25.0,25.03,2,2024-12-10T12:14:57Z,2024-12-10T22:30:36Z,2024-12-10T23:07:16Z,2024-12-11T06:03:00Z,WB-000042,True,2024-12-10T10:34:00Z,1,2
75ec07eb-70ab-498e-9708-214889dbb759,SHP-000043,580ee961-c2ee-4280-90f1-6f10cb36df00,17e52113-4626-43be-a068-8849eec71a30,100000000,100000000,100000001,280.0,280.7,12,2024-11-14T10:02:02Z,2024-11-15T21:34:21Z,2024-11-15T22:44:06Z,2024-11-16T10:24:00Z,WB-000043,True,2024-11-14T09:26:00Z,1,2
542c4f67-3db0-49d5-ae58-3edc61b7fe7c,SHP-000044,16c9e74c-dac8-4de7-9d6b-fb759ba695e3,3ee82983-d557-4241-91dd-b9bf613d2de9,100000000,100000000,100000001,40.0,39.96,2,2024-11-14T13:28:58Z,2024-11-18T04:42:40Z,2024-11-18T05:18:36Z,2024-11-18T10:11:00Z,WB-000044,True,2024-11-14T10:58:00Z,1,2
45c4e86a-e9f5-46b9-83ba-f9df41e19c21,SHP-000045,1fe82970-5264-479d-8444-9da1094e271a,7a5d7c82-86c5-447c-851a-00393803dcee,100000000,100000000,100000002,100.0,100.31,5,2024-11-28T09:17:45Z,2024-12-03T04:18:51Z,2024-12-03T05:01:36Z,2024-12-03T09:28:00Z,WB-000045,True,2024-11-28T08:37:00Z,1,2
281fc46c-5df5-4388-9b9d-a3c41088356c,SHP-000046,c737c4fa-a38b-4284-afe1-da1a7823d81f,6b0ae0e3-9d89-4047-9d39-d7936257a4a2,100000000,100000000,100000000,90.0,90.21,4,2024-11-16T13:25:57Z,2024-11-19T06:09:41Z,2024-11-19T06:45:34Z,2024-11-19T11:01:00Z,WB-000046,True,2024-11-16T10:18:00Z,1,2
b45e9132-08c9-4c1f-a6cb-2ca890c5d0fb,SHP-000047,e7f1b740-657d-4528-82b1-df91850bdd6e,965d744f-0445-41a8-92af-97e4c536c66e,100000000,100000000,100000000,130.0,130.62,6,2024-11-16T17:05:57Z,2024-11-20T21:42:30Z,2024-11-20T22:15:20Z,2024-11-21T06:24:00Z,WB-000047,True,2024-11-16T13:39:00Z,1,2
3746bfe4-848f-4784-9fc5-8c6041873d48,SHP-000048,f1982a1e-a734-468d-b692-e469a45c2576,73253aa3-ec17-4298-943d-f5b3a58e83dd,100000005,100000001,100000002,69.5,69.59,3,2024-11-23T00:12:25Z,2024-11-25T04:04:28Z,2024-11-25T05:19:25Z,2024-11-25T10:08:00Z,WB-000048,True,2024-11-19T09:32:00Z,1,2
abe8a14b-e893-4732-9035-2a082ce8584f,SHP-000049,24c75676-169d-46c3-89d6-29006ee7518a,73b0d676-3527-45c8-8534-ca08f6f24d1c,100000002,100000000,100000000,70.0,70.32,3,2024-11-18T11:49:15Z,2024-11-20T03:23:32Z,2024-11-20T05:01:43Z,2024-11-20T09:52:00Z,WB-000049,True,2024-11-18T11:18:00Z,1,2
ffb8f31f-9dd5-4f27-8b79-f8a3ac289073,SHP-000050,8e55a9db-8e04-4430-a205-b500e567e354,9c3de1b0-022b-4683-9033-da6587cf63fd,100000004,100000000,100000000,100.0,99.84,5,2024-11-11T15:30:41Z,2024-11-17T00:14:33Z,2024-11-17T01:12:06Z,2024-11-17T05:23:00Z,WB-000050,True,2024-11-11T12:21:00Z,1,2
ad92e256-4c8a-424c-a992-3c034aa16f28,SHP-000051,d16c0a67-a5fd-499b-833b-4d4316b6556f,f3f48d53-1120-41b7-9b23-91f0f620e4c0,100000002,100000001,100000001,210.0,208.62,9,2024-11-03T13:54:52Z,2024-11-04T07:54:04Z,2024-11-04T08:57:48Z,2024-11-04T12:37:00Z,WB-000051,True,2024-10-31T05:48:00Z,1,2
dc6a6656-a615-429a-9659-ad704ae6959b,SHP-000052,675bb586-f70e-4b43-a66e-a696322f04e6,8fddbebc-f7ff-48d4-b509-f08a2c988bca,100000000,100000000,100000000,40.0,40.14,2,2024-11-11T08:41:07Z,2024-11-17T02:47:15Z,2024-11-17T04:19:31Z,2024-11-17T11:11:00Z,WB-000052,True,2024-11-11T05:57:00Z,1,2
c11f453e-a32a-4558-8df3-1ed13b5caf61,SHP-000053,86c6855b-a041-4f85-966c-c616b14d63b3,af70de70-2b69-495e-8567-1b58926bffa5,100000003,100000000,100000000,90.0,90.22,4,2024-11-18T12:26:46Z,2024-11-25T04:32:08Z,2024-11-25T05:47:23Z,2024-11-25T12:32:00Z,WB-000053,True,2024-11-18T09:23:00Z,1,2
7c044be5-9842-4281-9138-dce545bc4bf2,SHP-000054,0e6a1812-9c4f-4a37-932d-02319c5659d1,bcaff931-ead1-4464-8a8e-858cd0f81063,100000001,100000000,100000000,75.0,74.68,4,2024-11-25T08:58:13Z,2024-12-02T04:27:30Z,2024-12-02T05:45:09Z,2024-12-02T10:14:00Z,WB-000054,True,2024-11-25T08:55:00Z,1,2
5fd0b05f-4bdc-4ce5-b7ac-523de2617749,SHP-000055,eb8e8311-1ce6-4dbb-92f0-633fe31c06da,8c52d271-0a16-4e18-a90e-3e894b9c22f4,100000000,100000001,100000000,325.0,324.65,14,2024-11-27T05:56:37Z,2024-11-29T20:35:57Z,2024-11-29T21:29:32Z,2024-11-30T11:57:00Z,WB-000055,True,2024-11-23T06:06:00Z,1,2
1cb674a7-72e6-42f5-bf6f-0c95a7683e73,SHP-000056,ed4f23ec-70a6-4d66-9737-21715b932740,ef2ddcc4-8df6-41da-9f07-c1a5dfc620ce,100000004,100000000,100000000,80.0,80.26,4,2024-11-11T11:23:10Z,2024-11-16T02:54:18Z,2024-11-16T03:45:09Z,2024-11-16T08:32:00Z,WB-000056,True,2024-11-11T10:30:00Z,1,2
ee1dd094-4561-4fb5-b851-742596592d04,SHP-000057,b89cd9fd-ded0-4368-b1f0-ef7f1373ec3a,453b45fe-636c-4499-9254-aad3809cd839,100000003,100000000,100000000,249.5,249.56,11,2024-11-16T09:01:01Z,2024-11-20T04:14:33Z,2024-11-20T05:22:24Z,2024-11-20T12:31:00Z,WB-000057,True,2024-11-16T09:34:00Z,1,2
1f28e558-ceed-4da8-b852-4d7566860058,SHP-000058,5f7a51ba-7f33-4ead-a808-9c29e55ed31a,73e7f042-516c-4b0a-9385-3918bc4015fa,100000001,100000000,100000002,55.0,55.0,3,2024-11-24T09:56:20Z,2024-11-26T01:28:00Z,2024-11-26T02:43:19Z,2024-11-26T08:41:00Z,WB-000058,True,2024-11-24T08:34:00Z,1,2
67868489-ad2e-4165-bd26-a93a532fd736,SHP-000059,240a2db9-c6ac-4fa0-94b4-f289317bfb2d,00fa0eb4-5c5f-48d4-8df4-07b82751ab86,100000001,100000000,100000000,140.0,140.46,6,2024-11-09T08:24:06Z,2024-11-15T23:37:31Z,2024-11-16T00:56:38Z,2024-11-16T06:04:00Z,WB-000059,True,2024-11-09T08:22:00Z,1,2
e108fe4c-307c-4e25-8844-16b7b77720a4,SHP-000060,71e7f679-4cf2-4c15-b0fa-4d187c3772a1,614c721d-a921-4b4c-95fb-e976ae007b7e,100000000,100000001,100000000,830.0,831.25,35,2024-12-06T20:07:48Z,2024-12-07T23:00:26Z,2024-12-07T23:24:45Z,2024-12-08T04:45:00Z,WB-000060,True,2024-12-04T11:37:00Z,1,2
f9bf8cdf-8bf1-4200-97d7-3e46ab3f6f2f,SHP-000061,db88d6ff-6799-46f8-b8a2-8fa08801646e,6afa828c-2cd1-4b9f-abe5-841fe9c96c52,100000002,100000000,100000001,25.0,24.86,2,2024-11-20T14:20:08Z,2024-11-22T20:08:12Z,2024-11-22T21:42:10Z,2024-11-23T04:49:00Z,WB-000061,True,2024-11-20T13:51:00Z,1,2
7e1f2102-976a-4d76-8cf5-f0c0debd3f04,SHP-000062,1b657a6b-0978-4000-b68e-974d6a2f3280,485f7888-1e23-4a4b-9e21-741fb8011026,100000000,100000000,100000000,55.0,54.99,3,2024-11-10T10:29:37Z,2024-11-15T23:03:33Z,2024-11-15T23:57:45Z,2024-11-16T04:38:00Z,WB-000062,True,2024-11-10T08:25:00Z,1,2
1f56a6a0-4267-43cf-9e0f-9be75be71df0,SHP-000063,c4b3486f-c68a-4cec-ac52-8ec320aad273,7ec59e55-1b98-467e-8cc8-8dc68127a367,100000000,100000000,100000000,100.0,100.36,5,2024-11-26T13:16:22Z,2024-11-30T23:10:04Z,2024-11-30T23:36:48Z,2024-12-01T05:05:00Z,WB-000063,False,2024-11-26T11:48:00Z,1,2
b41ebadb-6ac6-4868-93cc-2fffa04fb494,SHP-000064,8ab2e4dc-0ae2-4162-aab4-1975bff2e281,0a3169f7-29a9-4bf0-9a82-95a04b1b9280,100000001,100000000,100000000,65.0,64.98,3,2024-11-27T15:41:41Z,2024-12-01T06:08:48Z,2024-12-01T07:56:48Z,2024-12-01T10:58:00Z,WB-000064,True,2024-11-27T13:35:00Z,1,2
d26e7da2-b5de-4035-a2c0-73d3faa392cb,SHP-000065,1980de61-b893-46e5-9d25-386f90b4e432,bd2d09f7-0ca2-4bc7-b31d-3a4143eb3c09,100000002,100000000,100000000,145.0,145.29,7,2024-11-18T09:11:57Z,2024-11-23T01:12:23Z,2024-11-23T02:17:27Z,2024-11-23T08:23:00Z,WB-000065,True,2024-11-18T06:11:00Z,1,2
650c75b9-4148-426b-ab0f-07da7950a8b2,SHP-000066,3644faf7-b089-4bfb-b26a-2ccf1938180b,24eeb4a6-c145-45c7-9d98-6115f05eeefe,100000001,100000001,100000001,130.0,130.09,6,2024-12-05T17:15:13Z,2024-12-06T21:47:14Z,2024-12-06T23:44:38Z,2024-12-07T06:03:00Z,WB-000066,True,2024-12-03T10:24:00Z,1,2
2bbb74bd-f549-487b-a4c6-b747e969fe78,SHP-000067,b9fffe81-dd49-4b10-8efe-9e88a2e07952,d5e82907-d66c-4553-92dc-4248f169e2ce,100000000,100000000,100000002,25.0,25.09,2,2024-12-14T11:16:03Z,2024-12-20T18:39:47Z,2024-12-20T20:34:31Z,2024-12-21T07:28:00Z,WB-000067,True,2024-12-14T08:23:00Z,1,2
fd69501c-5660-4705-9dcb-99a1b919693f,SHP-000068,e7b5e004-eb94-48da-b4b9-37475ae7039d,1ab88733-80e1-4c41-8a9a-727fb2a12a55,100000000,100000000,100000000,10.0,10.01,1,2024-12-07T09:39:55Z,2024-12-08T23:11:25Z,2024-12-09T00:57:56Z,2024-12-09T06:41:00Z,WB-000068,True,2024-12-07T08:21:00Z,1,2
cac1b602-1d1c-492c-83f0-88376f427b9f,SHP-000069,e0ba46f3-feb7-4b5e-b5bc-a0caf919db88,afe05f6d-66ab-44ad-a4c1-b6ef25896340,100000000,100000000,100000001,30.0,29.95,2,2024-12-31T13:09:31Z,2025-01-02T05:43:15Z,2025-01-02T06:27:04Z,2025-01-02T12:45:00Z,WB-000069,True,2024-12-31T10:12:00Z,1,2
