salesorderid,ordernumber,opportunityid,quoteid,customerid,customeridtype,ownerid,submitdate,requestdeliveryby,datefulfilled,totalamount,paymenttermscode,statecode,statuscode,createdon,transactioncurrencyid
7c21feb4-7cd8-4833-b6f3-a9f29d80cd2f,ORD-000011,21f110f3-9703-4a74-86ed-4e3453836097,d7b7620c-7758-49b9-8b74-48b85a0f9dc0,512896b9-d1a8-470a-afba-959b5ff1e393,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-23T10:16:00Z,2024-10-28,2024-10-27T09:09:00Z,37659460000,100000000,4,100003,2024-10-23T10:16:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
18e8edff-38e6-4127-a05f-6b13dd83fc2a,ORD-000012,d607bb17-80cc-499e-bd40-466c91a38a10,70cea612-098d-49ba-bfe4-26042d2dec8a,8b17251e-7f11-4d61-b24c-7474030aaf26,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-10T10:11:00Z,2024-10-15,2024-10-14T11:34:00Z,107176379000,100000000,4,100003,2024-10-10T10:11:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
16206c96-b857-45b4-812e-796cf47cde0f,ORD-000013,c01a48b1-6937-4c46-9c3a-bd2a62ccac09,1750e42c-cb4e-4e03-9129-b317a38e5b68,44bb84b2-4a1e-4e91-933e-db88f9c2f1f5,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-22T12:56:00Z,2024-10-27,2024-10-28T10:24:00Z,24231549000,4,4,100003,2024-10-22T12:56:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3972955f-f318-48ac-b287-62cda517adae,ORD-000014,c9f8892c-f9c9-48ff-9c6e-cbd2771e996c,6a77ef8c-8651-46e7-b428-cf140f90f3a1,380c10f6-39b8-4c77-aa25-15bbfe1da55b,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-01T06:13:00Z,2024-10-06,2024-10-02T05:08:00Z,13681847000,1,4,100003,2024-10-01T06:13:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f3f54308-87d4-4e6d-93fe-da787e39a37c,ORD-000015,900e0786-0aa3-4c8a-ae5e-ae54d08cd4b1,ce976f2e-4fcf-4110-89db-d7b210aa7cac,eb105574-3b8e-4686-a9ec-f49c5224bc01,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-07T11:32:00Z,2024-10-12,2024-10-13T12:59:00Z,35944044000,1,4,100003,2024-10-07T11:32:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e9107c1f-86d2-4d72-80d3-df6e18001549,ORD-000016,f82f9674-0427-42d9-8b0a-dcaf15970500,982adac8-006a-4215-8d31-83764ac436fa,74799ed4-1a43-44bb-86b6-c38c5eca0ea3,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-09T06:56:00Z,2024-10-14,2024-10-13T10:11:00Z,6023380000,4,4,100003,2024-10-09T06:56:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a32f0b9a-fb12-45ff-a82c-428511f01e84,ORD-000017,4ea623e3-47b2-4835-b655-4281d10ef70c,8dfcd9f8-7d3b-45a2-bedd-0dd182a1bd00,6342d18d-fd5c-4a5b-93c7-6f0835025f9c,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-12T06:56:00Z,2024-10-19,2024-10-16T12:50:00Z,90868960000,1,4,100003,2024-10-12T06:56:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e013f345-7670-45a5-8b9c-988a5bb24e92,ORD-000018,33ab6ceb-1cf0-4f03-802f-74068c13ea4e,f8875e4b-7b58-4163-b4f9-8896ac0792a5,9db51ce2-8797-4353-97d6-7d9288c55582,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-24T09:35:00Z,2024-10-30,2024-10-29T06:34:00Z,57451804000,1,4,100003,2024-10-24T09:35:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8844f32b-5b13-4988-8d15-ab18df40268c,ORD-000019,df40ab5d-819a-4f42-ba51-f278e7b86544,2265af8a-b966-46af-b56b-e5ce4ceb32ff,fe8702cd-7a9b-4f90-a059-f07ac1d10053,account,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-10-12T08:37:00Z,2024-10-19,2024-10-17T07:09:00Z,58768253000,100000000,4,100003,2024-10-12T08:37:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
27362677-4b13-4b6a-8ef0-5e0879c3de2a,ORD-000020,c6af6852-c571-4091-a587-cb1289dc3fe5,6ee76d79-54af-4352-ac92-20effe87b224,6c32e888-f4bd-4373-9e04-aa492f166543,account,5304317f-af42-412f-b838-b3268e944239,2024-10-13T05:10:00Z,2024-10-19,2024-10-19T05:54:00Z,20090860000,100000000,4,100003,2024-10-13T05:10:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
17e0c203-6623-49bc-9aa6-99cad1b3f6b1,ORD-000021,b51f81c1-a320-4090-81bc-940061ab57d8,8494ed7e-1971-4ff9-a00b-ed00d7d0e5f3,e06c5f09-f6c4-4c4a-9a81-7d76d0a2c065,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-24T13:09:00Z,2024-10-29,2024-10-26T11:59:00Z,8215764000,4,4,100003,2024-10-24T13:09:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3e027b1f-e38d-4d98-b39b-fd7bc906f88b,ORD-000022,83fbc4ab-9ec0-4b56-8cac-575e3d8e3a9c,455c9f87-f407-444e-9241-8cb6ae7e542e,2ff3cde4-6aa4-4c9f-9217-04753d959e3f,account,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-30T11:56:00Z,2024-11-04,2024-10-31T10:10:00Z,58800218000,4,4,100003,2024-10-30T11:56:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8654e1ba-d900-4b8f-98ea-677300b2c0cd,ORD-000023,2fd4b066-0ef0-4398-bfe7-8b0f7405da66,68e5d3b1-9dc4-455d-834d-32216bbd8ecf,935d1c24-0246-4d11-97ab-d79712886be9,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-12-03T08:45:00Z,2024-12-08,2024-12-05T12:18:00Z,28339591000,100000001,4,100003,2024-12-03T08:45:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e0a043ae-c0e2-4abf-aff2-7e2f520b81d7,ORD-000024,08303126-82ec-4f42-9a40-77920209f205,2b05ab83-398f-4cc2-9d5b-369d84b15881,9b6fbe20-4b3a-4a83-a286-16f4bbf9a04b,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-11-21T13:04:00Z,2024-11-27,2024-11-25T06:10:00Z,23098877000,4,4,100003,2024-11-21T13:04:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5f9838db-6116-4281-aa53-916fc39f26ff,ORD-000025,78036104-2b64-4d93-b4ac-c51f1c1611c5,b6aef822-032b-4635-a6f9-f46548831d06,0290220b-9e7e-4520-b1ec-3c1c04947595,account,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-11-24T10:25:00Z,2024-11-30,2024-11-26T11:20:00Z,26895179000,4,4,100003,2024-11-24T10:25:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
fde83a03-e55f-4c76-bc40-9354dcc202e5,ORD-000026,8ba6bffc-3819-4da3-bebe-21f0b0925999,a42637dc-3d04-4ca1-be88-364e56e718d1,5354f30f-409c-4120-a18a-ab8219e4d432,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-11-07T11:50:00Z,2024-11-12,2024-11-11T07:00:00Z,26833158000,100000001,4,100003,2024-11-07T11:50:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0f7aff6e-54b9-4b3b-8f6c-a162f0773f92,ORD-000027,89f5f2ec-054f-422c-98af-e5395ab6b863,db11aedd-f676-4648-a638-40d4dc3cd76d,e716eb38-581f-43df-be71-bda810128b96,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-24T07:33:00Z,2024-10-29,2024-10-27T09:35:00Z,12407950000,1,4,100003,2024-10-24T07:33:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f4f839d9-8581-416a-b4bc-ee91513d25a1,ORD-000028,5fb921af-6831-4ce5-bf68-d20d716727b8,2d831604-5659-417f-b74b-e180391397cc,45044404-fb7a-4a14-bc87-b2c32c779434,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-29T08:46:00Z,2024-11-03,2024-11-03T11:06:00Z,28530901000,4,4,100003,2024-10-29T08:46:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0ae43bba-ec31-4978-93b4-d12154eef4d6,ORD-000029,7dac893d-6942-46db-b2da-52c6915b3cd3,52244439-a18a-4098-8cce-324555d45a80,7d68fb16-11a0-406c-abe0-a95329f32051,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-11-02T11:14:00Z,2024-11-09,2024-11-09T11:23:00Z,21259997000,1,4,100003,2024-11-02T11:14:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
83382f03-cd47-48f9-9fb8-f6cf70988dac,ORD-000030,737f718a-ad6a-400c-ba20-97bd1a9fdb8e,3e5fc839-e26b-410e-aeee-56f740642ac0,51f4a724-9950-4858-88ca-c260b3f5a21c,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-29T09:57:00Z,2024-11-04,2024-11-04T04:55:00Z,58122360000,100000000,4,100003,2024-10-29T09:57:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6c73425a-496e-456d-b790-a3f0c878cc30,ORD-000031,46d2696a-bc8f-4da8-a92b-e777c65dd413,4a4bea63-d903-481e-bd8c-38eb817a44e1,bcf2fc3b-d958-44c2-a053-8c1ba84510a1,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-11-02T13:10:00Z,2024-11-09,2024-11-06T10:49:00Z,63018805000,4,4,100003,2024-11-02T13:10:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
04e10a96-5ee2-40c4-b5e2-fdf8fa7ca745,ORD-000032,daf816d7-c346-439b-a89f-c1da16722869,01f93506-2dac-4e8e-b2e3-0f4631835820,c6a07656-c5c9-4b91-bf6e-f9ed7e4ce29f,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-11-16T08:56:00Z,2024-11-21,2024-11-20T12:40:00Z,25585696000,1,4,100003,2024-11-16T08:56:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b5f9a053-d574-4ebb-9a6b-f9baa28e0a22,ORD-000033,ad4e4ff8-8736-4422-b74e-e609d86fd87e,c1bfd59b-df95-4527-a875-25f23e9ee127,e8b77f7b-7321-4f6b-8a80-76ece5582e16,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-11-18T09:18:00Z,2024-11-23,2024-11-24T09:30:00Z,38192070000,4,4,100003,2024-11-18T09:18:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6f15656e-a194-4e27-a9a4-7ca4688807e1,ORD-000034,85d438ce-9a87-4ebf-946b-6e101d2f82d1,98c9c1c4-ea2d-4edd-ac6f-e3974172615b,16591c89-21eb-4aa9-9a2b-d69c450f69ee,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-11-02T05:20:00Z,2024-11-07,2024-11-07T08:20:00Z,19103727000,4,4,100003,2024-11-02T05:20:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
2427b821-3623-46a2-94c0-7a4564b96ddb,ORD-000035,abb240db-7171-4825-b63a-520169ceba2d,805a459a-6e21-4ca9-a84a-04a943c7f19d,2285b2ef-cfbe-4fe9-aea9-c542a1b970d0,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-11-18T11:52:00Z,2024-11-23,2024-11-20T12:00:00Z,22437316000,100000000,4,100003,2024-11-18T11:52:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5840eb72-3936-4f68-bf65-4c5477983209,ORD-000036,c3f66c68-79ce-4112-9926-43508cfccda2,8d816e81-23ce-4ae9-b70f-217f02e0f81e,e2c328aa-3310-4475-8a86-22250b36e356,account,5304317f-af42-412f-b838-b3268e944239,2024-11-10T05:28:00Z,2024-11-16,2024-11-17T09:41:00Z,20766167000,1,4,100003,2024-11-10T05:28:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8dd8c95b-deef-4508-bd85-9f6f5bbc8128,ORD-000037,4b2e7986-d743-42a7-a1b7-4c92fdcc48a5,e84eb205-dec8-4791-8eb6-b6786de54bfa,7317591a-3283-4aa4-a212-ab7c9d361cb6,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-11-25T12:40:00Z,2024-11-30,2024-12-02T07:19:00Z,99604317000,1,4,100003,2024-11-25T12:40:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0355363a-10ae-4021-b558-531a5e8c9510,ORD-000038,e2c38f89-f4e2-4ffb-82fd-089927aa6b24,f36ff249-14b4-4725-af1f-d21e9e26b61d,ff4c96d6-71f2-4e8f-b69f-68c3e60fd420,account,5304317f-af42-412f-b838-b3268e944239,2024-11-19T07:05:00Z,2024-11-24,2024-11-20T10:30:00Z,25631753000,1,4,100003,2024-11-19T07:05:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
84fa406b-ce2b-423b-bfca-442ee3a057b4,ORD-000039,7c142149-da02-4f54-84d6-5a2123e2c160,10583f0c-1cf2-4325-a5eb-af4d80a334f3,89a3c811-895c-4fde-a3fa-40691519fd38,account,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-11-07T07:19:00Z,2024-11-12,2024-11-09T09:49:00Z,17390212000,100000001,4,100003,2024-11-07T07:19:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7818382a-53df-410f-9da7-a4e58b62c2e9,ORD-000040,f06dc5f3-f636-4fe5-9387-7d9e815c3d94,1baa324b-df21-44d6-a42e-aae2a04b2402,d5f0fb6a-4596-4a75-b4df-b83ff659f188,account,9132b63e-f162-47e4-a9c3-49e03602f8ac,2025-04-17T05:11:00Z,2025-04-22,2025-04-23T05:29:00Z,100413159000,100000001,4,100003,2025-04-17T05:11:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8da411b6-894c-4c78-ad9e-3fc464114680,ORD-000041,743d0ed3-5540-4f98-b8d8-b584ce04663f,cc922fee-1b4b-47d4-ab74-68d0b957573c,d02c75f9-198d-43a4-8cd2-0e4376dae194,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-11-26T05:33:00Z,2024-12-01,2024-11-27T13:17:00Z,18010591000,100000000,4,100003,2024-11-26T05:33:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
307e1c89-c659-45b8-883f-55e353af2d8b,ORD-000042,e5dcdfd7-95c4-4328-93f3-170d502fb862,9b59c5b6-407d-406b-a171-3fc2aae142ac,502cf0ee-224a-46a6-ac0f-680115b24e1d,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-12-10T09:49:00Z,2024-12-15,2024-12-11T06:03:00Z,9972055000,4,4,100003,2024-12-10T09:49:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
580ee961-c2ee-4280-90f1-6f10cb36df00,ORD-000043,c83c29de-34ec-4c7b-aa94-727f2eef9e7c,25698868-3521-47b2-94c6-276543001227,17e52113-4626-43be-a068-8849eec71a30,account,5304317f-af42-412f-b838-b3268e944239,2024-11-14T08:37:00Z,2024-11-20,2024-11-16T10:24:00Z,75074888000,1,4,100003,2024-11-14T08:37:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
16c9e74c-dac8-4de7-9d6b-fb759ba695e3,ORD-000044,a89966aa-ad52-4e85-b1da-666c18b77c57,d2ef9c7e-613d-40c2-a22a-25fd0f2a1e81,3ee82983-d557-4241-91dd-b9bf613d2de9,account,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-11-14T10:30:00Z,2024-11-19,2024-11-18T10:11:00Z,14999090000,1,4,100003,2024-11-14T10:30:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1fe82970-5264-479d-8444-9da1094e271a,ORD-000045,1a1d1873-7860-48cd-8179-3186bfb2f2e1,298ec71b-052f-41cf-91ba-8cb7369d5112,7a5d7c82-86c5-447c-851a-00393803dcee,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-11-28T07:49:00Z,2024-12-03,2024-12-03T09:28:00Z,25547442000,4,4,100003,2024-11-28T07:49:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c737c4fa-a38b-4284-afe1-da1a7823d81f,ORD-000046,1415596f-f5c3-4837-9461-1d95c40a572d,2cc5cd15-e807-4cec-b218-dc742faaff64,6b0ae0e3-9d89-4047-9d39-d7936257a4a2,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-11-16T09:38:00Z,2024-11-21,2024-11-19T11:01:00Z,23486879000,1,4,100003,2024-11-16T09:38:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e7f1b740-657d-4528-82b1-df91850bdd6e,ORD-000047,3b93bf18-9551-4d67-ad08-2d74fcc93eed,7b50e047-032f-4a01-9f81-fd70b96907ba,965d744f-0445-41a8-92af-97e4c536c66e,account,5304317f-af42-412f-b838-b3268e944239,2024-11-16T13:25:00Z,2024-11-21,2024-11-21T06:24:00Z,42047035000,1,4,100003,2024-11-16T13:25:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f1982a1e-a734-468d-b692-e469a45c2576,ORD-000048,c3745229-71ee-492e-8588-14eb6a6c3676,5b5614e5-19b3-4a8e-ac47-c28b11e82640,73253aa3-ec17-4298-943d-f5b3a58e83dd,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-11-19T08:46:00Z,2024-11-25,2024-11-25T10:08:00Z,24202901000,100000000,4,100003,2024-11-19T08:46:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
24c75676-169d-46c3-89d6-29006ee7518a,ORD-000049,350823d0-1684-403b-bf02-fd546e9e4d45,83d9855e-2f0a-4f92-ab34-24d353277c75,73b0d676-3527-45c8-8534-ca08f6f24d1c,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-11-18T10:58:00Z,2024-11-23,2024-11-20T09:52:00Z,23968175000,1,4,100003,2024-11-18T10:58:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8e55a9db-8e04-4430-a205-b500e567e354,ORD-000050,a243cbab-567d-4ee6-a3d6-d3573ffeddba,65af9d58-f8bf-4d7d-9790-6bfdc911f3ba,9c3de1b0-022b-4683-9033-da6587cf63fd,account,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-11-11T11:54:00Z,2024-11-16,2024-11-17T05:23:00Z,33464900000,4,4,100003,2024-11-11T11:54:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d16c0a67-a5fd-499b-833b-4d4316b6556f,ORD-000051,13a370b0-8b97-4802-96f2-7b86f554facb,d8000d71-32e1-4b3a-9d9d-8085da90560b,f3f48d53-1120-41b7-9b23-91f0f620e4c0,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-31T04:56:00Z,2024-11-06,2024-11-04T12:37:00Z,71391841000,4,4,100003,2024-10-31T04:56:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
675bb586-f70e-4b43-a66e-a696322f04e6,ORD-000052,4f9114f1-69ec-4a20-9ad4-7cfb44839883,996caab8-ee5e-46f9-87ec-c877f9500564,8fddbebc-f7ff-48d4-b509-f08a2c988bca,account,5304317f-af42-412f-b838-b3268e944239,2024-11-11T05:00:00Z,2024-11-16,2024-11-17T11:11:00Z,18988453000,100000000,4,100003,2024-11-11T05:00:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
86c6855b-a041-4f85-966c-c616b14d63b3,ORD-000053,7b3e8c81-4e02-4c8a-8dde-ca83ce82f8a0,6365fba8-5150-404e-aaa1-67ead4ea6d90,af70de70-2b69-495e-8567-1b58926bffa5,account,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-11-18T09:04:00Z,2024-11-23,2024-11-25T12:32:00Z,24459261000,100000000,4,100003,2024-11-18T09:04:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0e6a1812-9c4f-4a37-932d-02319c5659d1,ORD-000054,bd8cba3b-843b-417d-a2bd-82c1b0f25f49,37866f34-5fa7-460b-8a49-a3b67ef8d75c,bcaff931-ead1-4464-8a8e-858cd0f81063,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-11-25T08:06:00Z,2024-11-30,2024-12-02T10:14:00Z,24126883000,1,4,100003,2024-11-25T08:06:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
eb8e8311-1ce6-4dbb-92f0-633fe31c06da,ORD-000055,dac79cea-5b86-4333-9969-b46e9f6eb7b2,d519745c-53f0-4e34-8200-a86a2364ead2,8c52d271-0a16-4e18-a90e-3e894b9c22f4,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-11-23T05:10:00Z,2024-11-30,2024-11-30T11:57:00Z,114414294000,100000000,4,100003,2024-11-23T05:10:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ed4f23ec-70a6-4d66-9737-21715b932740,ORD-000056,19ea5e46-059e-4837-ab11-c1f1e02beeab,8d56d155-3638-475b-8f45-a39adbc43e66,ef2ddcc4-8df6-41da-9f07-c1a5dfc620ce,account,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-11-11T10:25:00Z,2024-11-16,2024-11-16T08:32:00Z,27159752000,1,4,100003,2024-11-11T10:25:00Z,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
