opportunitycompetitorid,opportunityid,competitorid
223f3caf-38b7-4260-b155-cb64604d556b,e388d11f-d162-47e2-bf35-e6031ebf333b,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
1c8a6354-d9f6-4a35-8da4-4a0e25804edf,00f901be-3a37-4645-a5df-8d4a4b1b9e7c,70944bdb-26a5-44e3-90ee-7a92a09151e0
64b04e41-cd30-4062-a3d0-072ed94ede51,7450f00c-c846-45c1-a233-2726097c98e3,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
d9b8a064-4a40-41e3-b065-34c7a59549c0,624c2f33-ddee-4cec-b3af-6b066c9460ac,97674900-4651-4367-8bdc-43184d85a3d2
a3aac6dd-d732-446f-b6b3-7e5242d855ee,9f5367fb-82f6-41d9-8db8-e652c02ff878,70944bdb-26a5-44e3-90ee-7a92a09151e0
34336fd9-5dc1-4ba0-8e3b-044173d03eba,f6a262c2-6770-4f35-9bc8-c7cb8b17e9ed,a1a27485-7134-4c2a-b80b-3657117b355b
60bfdb5f-0239-479e-8b4f-4ab61243cd60,f82f9674-0427-42d9-8b0a-dcaf15970500,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
9924d064-9c25-4228-9826-d4da4fd7cd11,4ea623e3-47b2-4835-b655-4281d10ef70c,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
c1954dc1-41ce-4829-9206-98f1f5fb2fbd,98692735-ff68-40a2-925d-81aa4c3cf681,70944bdb-26a5-44e3-90ee-7a92a09151e0
8ddb56d2-3384-47f2-aa58-276ae62cc4ff,4a1eb843-a1ae-410b-88c7-8c39bbcf7d2c,70944bdb-26a5-44e3-90ee-7a92a09151e0
9d601449-b328-43a5-975d-d61a3898c6aa,fbb5ac74-2c15-4ef5-8d9a-0bcbfd74f325,70944bdb-26a5-44e3-90ee-7a92a09151e0
1cf7b510-12c4-4718-8c7f-0ff52913c6bf,33ab6ceb-1cf0-4f03-802f-74068c13ea4e,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
3f1993ad-4f34-4179-9674-b00d19b79b54,99a2eeee-e5fa-4aa9-b3b5-cb686059f8d9,70944bdb-26a5-44e3-90ee-7a92a09151e0
d56f403a-33a7-4b68-bbd3-f06681971c92,75737b6c-0fb8-4e08-bf21-6c151443e283,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
ba63bc40-06c0-4ee8-8b8b-80d9b1229d0c,f2da5c53-821f-4d01-8be4-f91422327bb3,a1a27485-7134-4c2a-b80b-3657117b355b
52db3ce7-3b21-4571-9185-3695ee8b13d8,d1300e62-2cfb-441e-9b02-c29637dbb397,97674900-4651-4367-8bdc-43184d85a3d2
b423e204-b8eb-4f0c-a945-455788959d6e,c6af6852-c571-4091-a587-cb1289dc3fe5,70944bdb-26a5-44e3-90ee-7a92a09151e0
6d734f93-16c6-4aad-a8bf-b083983de328,b51f81c1-a320-4090-81bc-940061ab57d8,a1a27485-7134-4c2a-b80b-3657117b355b
20a670fa-e0ce-4d56-84c7-e96edc828824,08303126-82ec-4f42-9a40-77920209f205,97674900-4651-4367-8bdc-43184d85a3d2
b3cb7e25-6f82-4c84-a6b0-eac1480c4dd9,1caa2ddb-c30c-4876-85a6-022fbfd53346,70944bdb-26a5-44e3-90ee-7a92a09151e0
62a0cc31-f12b-4d0b-aff1-e1d03a9e35f7,89f5f2ec-054f-422c-98af-e5395ab6b863,70944bdb-26a5-44e3-90ee-7a92a09151e0
c5d46aff-4d0f-4fb4-8dc1-baea7a549a64,5fb921af-6831-4ce5-bf68-d20d716727b8,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
17918bdb-51a9-4927-a215-9764f94c6827,7d86b46c-eee4-4f6a-bb66-ff200510ad2e,a1a27485-7134-4c2a-b80b-3657117b355b
d5fd0aee-29b4-453c-af95-840181e7b36a,2bf4870c-6465-4f73-a57a-21429c3e8d17,70944bdb-26a5-44e3-90ee-7a92a09151e0
6c844800-dc9f-45b8-93d1-dc4170451472,36d47214-d8ff-4063-ac4e-f44ac528ecf1,70944bdb-26a5-44e3-90ee-7a92a09151e0
d3f3eaaf-ceea-459f-bdbc-5a27098256a4,ad4e4ff8-8736-4422-b74e-e609d86fd87e,70944bdb-26a5-44e3-90ee-7a92a09151e0
e38e039d-9edf-4835-8512-cb2e3a068e71,2900fb65-e2f1-4201-a28a-972e4fe2b9ac,12fe28bf-81e0-4489-9a18-e2a30e614bcd
5bf0be14-a6c9-4960-b0c9-5e1edb6e45bc,e5dcdfd7-95c4-4328-93f3-170d502fb862,70944bdb-26a5-44e3-90ee-7a92a09151e0
0ee802c7-743d-4cd6-85c1-01d958d8b1a9,2acf31d1-90b3-4fe6-8ff2-6464e79a06bd,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
208fd350-b171-4826-8fda-7f6233401a91,00d52f8c-bc35-45d9-948d-83ea35ce13ad,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
bac5c16f-8f26-4db1-b074-cd84fcedc3be,1415596f-f5c3-4837-9461-1d95c40a572d,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
53adc24e-e9ad-4501-991c-34457e939dd5,3b93bf18-9551-4d67-ad08-2d74fcc93eed,a1a27485-7134-4c2a-b80b-3657117b355b
cc557002-1fc6-4a60-9124-ab161d8d2091,54ecfdd3-fd18-4543-b065-b97d9b9f896c,12fe28bf-81e0-4489-9a18-e2a30e614bcd
34d30866-ff2e-48b2-8783-bc629d69b21d,c3745229-71ee-492e-8588-14eb6a6c3676,70944bdb-26a5-44e3-90ee-7a92a09151e0
f460a91c-01ab-45da-8b50-b1ab6337468f,350823d0-1684-403b-bf02-fd546e9e4d45,12fe28bf-81e0-4489-9a18-e2a30e614bcd
31c9a3c0-b591-4d46-a888-d4bc8389d8f9,271d0a55-eebc-4f59-b6e6-ca372ac92502,70944bdb-26a5-44e3-90ee-7a92a09151e0
9a58975d-db52-4436-8bee-a7e6120d0303,16c877e9-c9b6-46ce-a46e-ead901385fa9,70944bdb-26a5-44e3-90ee-7a92a09151e0
e9e1be2e-90cb-4cbd-82c2-0b6cc0d9de59,db6b650e-1811-4f17-9f82-e561487a4b44,97674900-4651-4367-8bdc-43184d85a3d2
55c1c5ea-8132-42b7-8c12-c287e93de5cb,ac2356f7-11e7-42f8-a1ed-e463615f7343,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
17a4b74c-db12-4c0e-a2ce-40bba10ab139,07d793c7-8e04-4c8a-a088-b8f9fd675cd3,12fe28bf-81e0-4489-9a18-e2a30e614bcd
bbd4ee9b-8e6d-44fd-a6e5-5a0eb92c66c7,bceb4bc1-4d07-4dc4-bd4c-08f1d4bcfaf8,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
0be3af37-9908-4aab-8d05-ab90d11df3f9,bd8cba3b-843b-417d-a2bd-82c1b0f25f49,70944bdb-26a5-44e3-90ee-7a92a09151e0
627daca1-b05e-46ea-ae0f-3ecec9e0f3fc,651a2c63-3162-4809-a412-b4ef456f99c2,a1a27485-7134-4c2a-b80b-3657117b355b
cba09052-322e-449d-ba47-d83eaff4b87d,19ea5e46-059e-4837-ab11-c1f1e02beeab,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
9d34845f-3ca7-4505-9111-76bd59957547,ad3970d1-125d-43d8-a465-2ac74b06dd1d,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
801fe222-14aa-4d7a-a70a-e33236dd3553,4351868d-223b-444d-bceb-4b5613edc4f4,a1a27485-7134-4c2a-b80b-3657117b355b
46d00572-8674-4303-9c32-fd49d96d0974,63e5eabd-6a77-426c-bdb5-1fc7a273d581,12fe28bf-81e0-4489-9a18-e2a30e614bcd
7d11ef39-3adc-48c7-bf09-e70c2a48960d,95fe2b99-4e43-4a46-b562-59092c39cacc,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
0fd6615e-c6c5-41f4-93df-62ba381ff62f,8994b175-c432-487f-8050-203c020281d7,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
1c6ef0da-4469-4126-9e96-bb6b8b1ff333,3577f4b0-fd3d-40bc-8e34-df76d1298de6,a1a27485-7134-4c2a-b80b-3657117b355b
30be5674-60c5-4afe-a29f-2bc479ea5fe1,9ea9e08e-d4e4-4a0c-bf8b-4420750f7fb8,12fe28bf-81e0-4489-9a18-e2a30e614bcd
c7ffb69f-8cbf-4587-bc3e-b01e2c494d72,cd896c41-b1ef-4e80-affc-6de2ae6725cd,a1a27485-7134-4c2a-b80b-3657117b355b
ba67ed5a-00ad-4b72-9ed8-fea2b5dd80c5,ede9b67f-2991-424e-9068-998f70595f4b,12fe28bf-81e0-4489-9a18-e2a30e614bcd
b6db52bd-2a73-4d4b-872e-7b061ebf4bcc,0eebfa49-52fe-45f2-ab30-dd5564650b74,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
3c3d65c2-b87e-4b4a-b586-10a2ff19719d,0470d067-0223-4d3c-8e15-5309814979e3,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
9f86b282-3d1d-4436-808d-5fd29bbf77f8,ffaa247d-6bea-4229-bfcc-83b089fc023d,70944bdb-26a5-44e3-90ee-7a92a09151e0
72e47ae7-f61d-4738-b62d-f00af591af66,8999d7b5-bdf3-4000-aa50-f00f0de15f8b,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
1e844654-1802-4fae-aa5c-384073b0e41e,4de16f53-6e47-4908-80ae-7ff0502eacf3,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
a9169a38-5af0-4c5b-9be3-ad332962dfbb,0b202de9-48d4-4aa5-b9d5-12ce01bb76bb,12fe28bf-81e0-4489-9a18-e2a30e614bcd
6077ea91-c8e5-403f-b22f-12b36ca0ce39,a293108b-88e1-40bd-b858-db8a910a525a,a1a27485-7134-4c2a-b80b-3657117b355b
1fc174fe-7cec-4071-a5a1-cf97be189c43,c8a0b0e5-99e9-4189-ac1c-5523b1e94190,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
242aac5e-eef8-40de-aae4-91601ab7f3ba,c12574b7-7099-485a-b408-ec621c9f15fd,a1a27485-7134-4c2a-b80b-3657117b355b
dda358cb-ad4a-4e37-9022-57840fd66b4c,b1b14337-c783-4efe-b228-bf49a1926889,70944bdb-26a5-44e3-90ee-7a92a09151e0
fab014c1-47bf-424e-870d-cc6ce777dac2,43c62187-353d-48b2-9895-42d4d27f8d4d,12fe28bf-81e0-4489-9a18-e2a30e614bcd
3853d154-ff2a-4337-9520-d64b515d5f38,8435dc23-f749-455d-bc4b-543dc0bb8402,a1a27485-7134-4c2a-b80b-3657117b355b
b402368f-fba2-40dc-b228-8e893a78477a,6db1e916-8d6a-4a41-9f06-07db225414f6,a1a27485-7134-4c2a-b80b-3657117b355b
2d8ca840-6c6b-4344-ad8d-3855e95fa478,57a49e4b-4b29-4da7-9aa1-9036405a089a,12fe28bf-81e0-4489-9a18-e2a30e614bcd
2eb5073b-e5cb-4475-83b0-f80e8064b287,0022cc35-b695-4195-8aad-191658a59bff,70944bdb-26a5-44e3-90ee-7a92a09151e0
0c99e14a-58df-4bc5-8976-f1711b15c8a3,aade9681-bd3b-45a0-8f2f-93d5b0f91edc,70944bdb-26a5-44e3-90ee-7a92a09151e0
9d195a34-580a-47cb-b267-95d820368525,53e84245-8ac6-479f-a139-e08be56f88b7,12fe28bf-81e0-4489-9a18-e2a30e614bcd
05f02460-438c-4378-a6b9-cb0b7357501e,02d13793-4405-43b4-b3b5-f5132df65903,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
90902ca6-e267-4ba6-818e-cda7550f538b,9fb4716c-710d-4270-9ac4-45349341e627,12fe28bf-81e0-4489-9a18-e2a30e614bcd
384cbfbf-81d0-4054-b273-4f6e4b865144,e8f4a5db-cb33-4eed-a284-e0d2f9e55e79,12fe28bf-81e0-4489-9a18-e2a30e614bcd
559bc4d8-d429-48e0-a0fa-14a8e5ddb6cb,10294b50-c06d-42bd-b781-4316855abea1,70944bdb-26a5-44e3-90ee-7a92a09151e0
9f608712-996e-467e-8fa3-b2c315a01004,fa604c2c-4ae4-4e7f-af56-a06821664f8d,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
b72a2965-e023-4bc9-b648-415dacc73535,415d1bd7-36bf-46e7-b98e-7c2e9ca37b40,a1a27485-7134-4c2a-b80b-3657117b355b
e1150321-530a-4316-96fe-83bd8d351b42,32d35e74-fef1-4c10-af40-0d8340a2b276,70944bdb-26a5-44e3-90ee-7a92a09151e0
2240c667-291c-425b-9480-abc396ba8704,f7c3dc66-7fda-48e0-8eab-1e72c488dc5b,a1a27485-7134-4c2a-b80b-3657117b355b
50838b00-29f7-49a1-8c32-0ebb7d9ddd1e,af12102a-34ba-479e-ab4e-1180d3caf1ed,97674900-4651-4367-8bdc-43184d85a3d2
e3af176a-dfc7-43d7-9c22-6af0f22c52f2,c0fed388-c8a0-4df4-a1ac-b714262d0dee,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
fa726e14-c885-43cc-b647-302586500714,912baedc-956d-440a-9a0a-3a1f1e950771,a1a27485-7134-4c2a-b80b-3657117b355b
94e11193-5b11-4d94-81fb-f95ef44cf310,d8bb6fad-44d1-4c54-96ff-ed78701d5127,70944bdb-26a5-44e3-90ee-7a92a09151e0
28848e97-5a69-4dab-9d1b-779dcc2d9252,3b8c7da5-39ed-470d-bbff-b5b6d72a03c0,70944bdb-26a5-44e3-90ee-7a92a09151e0
9b0198ce-ca1d-429d-9ad7-9207b1102552,7255304a-f938-4fda-a5e0-80ec3ed5b277,a1a27485-7134-4c2a-b80b-3657117b355b
1ed30ffb-f93d-4d9b-8e2d-19cc7ad539fb,fcdd7b08-904b-4171-8212-520fca49fe49,12fe28bf-81e0-4489-9a18-e2a30e614bcd
f8cd138d-c738-47a8-b0ba-df312a9e48f5,7acc0b9c-6496-468e-8b9a-85bc41e7528b,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
6afea56e-289f-4ec2-8ac9-abcf3bde1e84,2ce80248-4d2a-4902-80cf-2e665663fe16,70944bdb-26a5-44e3-90ee-7a92a09151e0
b9fa04ff-599a-4bbb-b18e-2960a8e9644f,63bc1c09-316a-4f4a-807b-32cb7af41f8f,97674900-4651-4367-8bdc-43184d85a3d2
b1aa9ff4-36cf-4d9e-98f4-3f9994fb7a64,2b63b9a4-7d7d-4da3-98f7-3f1bf8b5b16f,70944bdb-26a5-44e3-90ee-7a92a09151e0
2810ced7-a97e-4f2a-9e1e-48d7cfcf992a,e10af9ba-ef8e-4806-8df4-2e88408efdad,70944bdb-26a5-44e3-90ee-7a92a09151e0
9c4caf05-7fff-4261-8239-729d3527f99e,d1015796-3cf8-4641-a5e6-53b9413d54e0,70944bdb-26a5-44e3-90ee-7a92a09151e0
db3af9c7-c250-4925-8c2f-9a9e74ad3a0d,c20b5d7f-0ffb-41ff-9abe-8296296c2114,70944bdb-26a5-44e3-90ee-7a92a09151e0
1a61e58a-2c4e-4ae2-a097-c5127fa876b3,edbbf695-185c-41fd-b3c3-d82deb3bbe4c,70944bdb-26a5-44e3-90ee-7a92a09151e0
ee05d46d-c546-4621-a5d7-2faa5023de4c,59178b75-96f7-4674-b702-f5539792cb50,70944bdb-26a5-44e3-90ee-7a92a09151e0
16a87e5b-75c1-489e-9839-8c5ece700666,4cb17d08-504f-47a7-ae7e-20948d1d7baa,12fe28bf-81e0-4489-9a18-e2a30e614bcd
e7c6f661-a1f9-401c-8fc1-53a5f26dd964,dcb3be81-f6a2-49ad-98e1-872304871f92,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
894ba14b-f9fa-426f-91fd-eedf6f36a9c9,76e239a2-d97a-49a0-af60-3cf459fec3fe,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
a4734908-e057-4549-b19f-0c07ad28d2be,96371f60-9f3c-40f6-a894-6734f7b6320d,a1a27485-7134-4c2a-b80b-3657117b355b
7dfd9faf-413a-4821-8490-01423ae4e9b9,da6d72da-90c5-4a4a-8212-5fadb0372c92,70944bdb-26a5-44e3-90ee-7a92a09151e0
9b12cf22-1226-4ece-9dc7-fbfe4ddfcf42,ed84c7a3-383f-4a63-9c55-c19cdfd47ee5,a1a27485-7134-4c2a-b80b-3657117b355b
c194a479-0175-41bf-b4d0-70c376e1dad3,521c060b-b9ca-43c4-90b0-8da1cd22faba,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
5340b3b6-99c0-4a3a-aaad-82a74d4e715f,4257ee34-fc85-4065-ad67-92bb5b327b7b,a1a27485-7134-4c2a-b80b-3657117b355b
9d790e51-d903-43e9-aa3d-e9c4ac184546,980b63f9-0d7e-46a9-988b-ae7736b246b9,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
59a4b3cc-08f1-4953-a12c-117491c9d64a,6f5022f6-8db9-46fb-8204-6c6e12406ad5,70944bdb-26a5-44e3-90ee-7a92a09151e0
25ae006c-a648-462e-a4ed-87f135d9731d,cc7ac319-26b0-4819-a5ea-de18a95599f9,70944bdb-26a5-44e3-90ee-7a92a09151e0
c2fba784-4e9a-4061-b415-5cc0893647e6,cb66839b-e81c-4c16-9072-d09b0aba474a,70944bdb-26a5-44e3-90ee-7a92a09151e0
ab64e587-0734-4ba0-9738-83cde6784db8,7ef5383d-ceb0-4595-9794-6e7f4cd27f56,12fe28bf-81e0-4489-9a18-e2a30e614bcd
46a77192-98d3-4e5f-8dc6-f1ac98b6880a,378ca8bb-041d-45f5-910f-e0a545b0bb74,a1a27485-7134-4c2a-b80b-3657117b355b
1c4ce594-2e66-4c1b-8f90-0ff56f0ebf80,f9e6ffd0-0345-49e3-8472-1115bf1053ff,12fe28bf-81e0-4489-9a18-e2a30e614bcd
f99f225f-d5f5-4973-949c-ce71d4254c1a,b59fe038-e438-49a5-b0a5-d6a43b86fb86,70944bdb-26a5-44e3-90ee-7a92a09151e0
4d180e38-3699-4fc4-9565-cf0e0f319c37,248d2d89-02e5-4b80-acd8-e335a17353e7,a1a27485-7134-4c2a-b80b-3657117b355b
5a41e7f9-6137-4bba-a8f4-5ce307460647,e8d5dc8c-24be-4697-9183-9b26d48e3812,12fe28bf-81e0-4489-9a18-e2a30e614bcd
2d02fce7-b5dc-44d5-859f-9b568425fd0c,9df97618-52df-4e23-8cb5-450057c549b8,a1a27485-7134-4c2a-b80b-3657117b355b
dd14d35e-3af4-42dc-a2bc-2502600aca3c,29e7de22-97a6-4f22-9edc-130bc35430fe,12fe28bf-81e0-4489-9a18-e2a30e614bcd
8b45c64f-cb38-4063-a631-7c32ea83a15c,3d1a508d-79a0-4a8f-a0ca-37b95f4527d6,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
0a463933-42cf-4979-ad28-09676a098c6c,cf803b6e-0124-4c39-a18c-e6cda54aa860,70944bdb-26a5-44e3-90ee-7a92a09151e0
5ad87125-6746-488d-996c-59522ee433f6,a40b1790-8d61-49ba-abcc-ef52e3365f8c,12fe28bf-81e0-4489-9a18-e2a30e614bcd
4cca8c6d-526a-43ec-adad-8aa2d0005fd0,0d6f1b84-d079-4f46-bf74-594bf9384b4c,12fe28bf-81e0-4489-9a18-e2a30e614bcd
0b246322-8a66-46a6-a8e7-ee786dee221d,c0b20dd8-0c4e-4431-a783-883577edcfff,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
9dad9ff2-ed7d-4e5d-82e0-4a3225c3904f,1b1cff87-40a8-4540-93b7-bdbc06be11c0,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
4677ee94-7c79-4ae4-ac3c-c2206c24d027,241e7855-587d-4c08-8f84-244a72e5ac50,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
212049a8-9f16-465e-a3d7-9a723a7a1bb1,a3d781ac-fe37-4a37-b52c-4b2cf67cb759,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
3b02d6bc-3f38-4c5c-9634-cfd5a635d9e7,557731b5-285e-4889-87ba-6245635b9e6b,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
f8c7ca32-6310-4399-a4a6-990b64b5ece2,e943aa8f-d024-4672-96a7-3e89656b16b4,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
8dbfc11c-d6d5-48eb-9ddb-ad239ccf72fe,ead2d29a-f633-459d-829d-ca45b084435c,a1a27485-7134-4c2a-b80b-3657117b355b
971e6552-48ef-4878-8e3c-302ac5f8f36e,a838e8dd-dc3a-4635-af3b-716de37aa5a2,97674900-4651-4367-8bdc-43184d85a3d2
2fc697e7-d66e-48f7-b859-6aa4e4ff619e,4f8d66d6-3527-4a82-aceb-b1384d707d44,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
7abf1053-e287-4082-8a1b-80b92fd61145,69f611cb-8d6a-473e-89cb-5a7da372a0aa,a1a27485-7134-4c2a-b80b-3657117b355b
b4f10c9a-118a-4b38-ad64-cf1c1723c805,bb096b4b-251b-499e-a6ac-8f840db11c52,70944bdb-26a5-44e3-90ee-7a92a09151e0
49943c81-6ef0-4ffd-986a-470dbfb78812,da004752-5298-46bb-8602-29a4ea55292d,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
876fade3-c538-46f4-8643-b3b9947d02d6,54a1f581-7f98-422b-b929-b8887ef381a3,a1a27485-7134-4c2a-b80b-3657117b355b
68919e4b-eed8-4f25-b72e-bdefe73ec0b7,57162941-314f-4d03-9a4a-81117ab32583,97674900-4651-4367-8bdc-43184d85a3d2
0140be56-a9e1-4344-a364-df61d92ef298,5ef7c6b4-bdbd-4515-8cbe-a96b66c4c628,70944bdb-26a5-44e3-90ee-7a92a09151e0
2c8f15ee-4179-4ff7-b8f4-02f84cf1779b,5b78fc11-16ea-4f38-a100-4f29067db218,a1a27485-7134-4c2a-b80b-3657117b355b
6505bd24-06bc-4772-a392-bcba49a7a1b1,b4dd2c13-e5a2-4a6c-9214-4d02a0a00cad,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
2eb7b9ea-3458-4555-8907-b93b0488d6ea,16a2be65-f029-46e6-b23d-0075d2a57ccc,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
8da518f0-8bf2-4b76-8eb1-33b2d91f8de1,4d059883-1778-4020-9edd-3b3aef85866b,70944bdb-26a5-44e3-90ee-7a92a09151e0
c3d834f6-df9c-4843-bd3f-8d547731f5b8,2cb5c00a-497b-47f9-8053-4d644f862de0,70944bdb-26a5-44e3-90ee-7a92a09151e0
41eb2431-7b1f-4fb2-82c9-9d2b620875e5,0bc44b11-e45a-45af-b219-f9f136049263,97674900-4651-4367-8bdc-43184d85a3d2
73183470-5c91-4eb3-8942-73b9cbb1fc79,5697b4e0-d9f0-4d26-aefb-ef2691bbe0a9,70944bdb-26a5-44e3-90ee-7a92a09151e0
a30eeb05-7e7b-4566-aca9-388a21cc0651,2f33cbde-96b3-4e97-8918-ef7f09047960,70944bdb-26a5-44e3-90ee-7a92a09151e0
41c1e536-47ff-4895-a17b-60cf976b7fa7,30a11898-2bb4-43eb-a7ff-dd49e14bb33c,12fe28bf-81e0-4489-9a18-e2a30e614bcd
7b34cf79-3a16-4b35-a81b-622489743e05,5b5019bd-7e7c-4d84-b2dc-cb2fef1c0185,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
e9aa7c98-190a-4d3f-b19b-4bf071259cc2,82ba9ea6-42cb-406c-93f2-6ca3f566e9e9,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
b9dcc556-c01f-4d20-ac78-a746f5388bb7,bbbb2902-ea46-401e-832a-d975b006a6a3,70944bdb-26a5-44e3-90ee-7a92a09151e0
59122d58-e027-4495-9210-b28c2052a926,52476273-09bc-4981-976d-2a5d28621722,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
8e97e7f0-cbc5-4d2e-b13a-b7cb8f95980d,042c9f7c-a498-4247-bc9c-b2020d082eb5,12fe28bf-81e0-4489-9a18-e2a30e614bcd
a3dfe911-1260-4de6-be9b-5c90a8f65e84,7372ad9e-8734-4bba-8de2-1a7a2c2e41b4,12fe28bf-81e0-4489-9a18-e2a30e614bcd
028d13ab-c33b-4e68-a250-98820fc0cad1,cf32027b-d6cf-4f1c-aff7-7e48a2b2f049,12fe28bf-81e0-4489-9a18-e2a30e614bcd
549510f4-6dcf-4838-96f9-bd50aa7791f0,57ee6a27-edf7-4e79-8d91-599c6d90e3ee,12fe28bf-81e0-4489-9a18-e2a30e614bcd
ce3f4c13-bc33-4b5a-8fdc-6567b8314def,f7398264-2e30-4cb7-9a8f-2b8990b0a4d0,f891b0c3-dd3f-487e-92bd-c6619fe0a8c7
