activityid,regardingobjectid,responsecode,channeltypecode,receivedon,createdon,companyname,ownerid,statecode,statuscode
b2414482-5198-44d8-8643-3603c92a7d7c,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T10:25:00Z,2024-10-23T10:25:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
4cc57e0d-2633-4018-a883-ac6e6a944054,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T07:32:00Z,2024-10-21T07:32:00Z,Mahan Sazeh Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
89b5aab0-c121-49db-af12-b150605fb1eb,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T11:31:00Z,2024-10-21T11:31:00Z,Pardis Pipe Works Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
39b02e2a-d96e-484f-bdb0-174e7938878a,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T12:46:00Z,2024-10-23T12:46:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
24f43c62-b523-40de-9b87-d29c4cfd0fc1,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T12:37:00Z,2024-10-21T12:37:00Z,Farazan Steel Structures Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
891f6912-17ab-4863-9efe-ef4fd8ddbbc0,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T07:28:00Z,2024-10-20T07:28:00Z,Bamdad Profile Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
0d31812e-30c3-4756-9453-f867b97e6224,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-21T10:42:00Z,2024-10-21T10:42:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
9adf4709-ac75-4344-a08e-149e44b9e602,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T06:58:00Z,2024-10-20T06:58:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
12a1fe7d-dfa5-4722-8a1f-c9df9a591974,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T10:59:00Z,2024-10-20T10:59:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
966be275-c2fe-4954-8dfd-9531302b7831,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-21T09:51:00Z,2024-10-21T09:51:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
378e6510-8f10-433e-abe4-2e7db96c1163,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T06:03:00Z,2024-10-23T06:03:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
e8334da5-de95-4695-b579-c1437ab99428,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T05:49:00Z,2024-10-22T05:49:00Z,Ava Sakhteman Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
b42a2d93-9aba-4f15-b214-90623e1a963e,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T10:53:00Z,2024-10-20T10:53:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
3d44cb2c-ea45-4a41-a589-ada1345af934,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-20T04:50:00Z,2024-10-20T04:50:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
48769153-c688-43fe-9255-5c758d55119e,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T09:03:00Z,2024-10-21T09:03:00Z,Gilan Sakhteman Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
a6129a1c-889d-4b76-b75c-30b561730c48,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T11:02:00Z,2024-10-20T11:02:00Z,Navid Abadgaran Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
5c11ab6d-42f5-43f5-8ef4-c34d5bf86f3c,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T09:28:00Z,2024-10-22T09:28:00Z,Shahab Tube Mills Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
774c0afa-7f4d-408c-a1ff-f6c08347f1da,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-23T05:53:00Z,2024-10-23T05:53:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
b8f0188e-fb37-4fae-8d85-63ca193e638d,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T09:13:00Z,2024-10-22T09:13:00Z,Alvand Sakhteman Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
dd34aa18-9001-4ed4-8bb4-01e769f753f1,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T11:35:00Z,2024-10-20T11:35:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
0426fcc9-255b-40e2-bdc2-b74b38a56b49,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T11:46:00Z,2024-10-22T11:46:00Z,Sahand Fabrication Works Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
f186e47a-a794-4320-8cf6-e8b87fd238c3,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T09:35:00Z,2024-10-20T09:35:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
c36b9a0a-41e0-4a89-966a-9ce7af521b94,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T12:03:00Z,2024-10-21T12:03:00Z,Parsian Construction Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
b93b17fb-f76d-45fd-bd16-45a0d253d966,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T05:45:00Z,2024-10-22T05:45:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
75f8e3a8-7d97-4c0f-bd56-09c4a4461663,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T09:29:00Z,2024-10-22T09:29:00Z,Parsian Pipe Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
f50d7a37-a44d-4fec-bd85-d7fa8ac97b01,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-21T05:41:00Z,2024-10-21T05:41:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
d6cd3155-08a8-4c7f-8621-38ad0f09105c,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-21T04:44:00Z,2024-10-21T04:44:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
d1682e09-f1f7-4904-9307-5157d8c128e7,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T12:47:00Z,2024-10-20T12:47:00Z,Persis Auto Parts Mfg.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
01a25ed1-c3ab-45f1-8c6b-7074ab102c9b,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T09:16:00Z,2024-10-23T09:16:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
a175a9c3-d7b1-42a9-a332-a50e6992896e,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T09:24:00Z,2024-10-20T09:24:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
26a9e100-b509-409b-9166-58ce3b3f3800,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T11:37:00Z,2024-10-20T11:37:00Z,Iman Steel Structures Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
74bd0c93-8177-4661-b7fe-032c02571851,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T06:18:00Z,2024-10-22T06:18:00Z,Mahtab Housing Development Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
0406ff44-7ce4-4679-a8c6-dbc07bb3447b,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T07:27:00Z,2024-10-23T07:27:00Z,Tous Construction Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
b2a6e468-d02b-4243-8091-3ac10463750e,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T07:46:00Z,2024-10-20T07:46:00Z,Espadana Builders Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
cb80f288-446f-44dd-9abc-a6e5d0b1e3eb,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-23T08:27:00Z,2024-10-23T08:27:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
f5948a54-5f80-4eeb-943a-9aff659b0105,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T09:12:00Z,2024-10-23T09:12:00Z,Javid Sakhteman Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
3e42df5b-90a3-4bbf-b580-e05067f1698c,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T05:24:00Z,2024-10-20T05:24:00Z,Bamdad Builders Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
4ccb2355-39d1-47ff-b27e-1442fd7fe973,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T06:35:00Z,2024-10-23T06:35:00Z,Mahtab Dam & Water Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
14a34f7f-d90d-419b-93fb-e043af1d5a1a,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T07:34:00Z,2024-10-21T07:34:00Z,Arman Pipe Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
a65f7b8a-dbb4-4021-bdde-64afa75b395a,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T12:24:00Z,2024-10-23T12:24:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
67c0518b-17ef-4621-881c-79d4c27437eb,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T08:31:00Z,2024-10-23T08:31:00Z,Parsian Profile Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
eb4d8f42-8735-40a2-a511-09611869a217,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T05:19:00Z,2024-10-23T05:19:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
e6b9d31a-361f-4d90-bad1-fa330ae4ac11,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-21T11:38:00Z,2024-10-21T11:38:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
9118c400-e336-4243-b139-c476de3ce88b,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T11:38:00Z,2024-10-21T11:38:00Z,Helia Tube Mills Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
ec95b3ac-0beb-4c34-8566-7c4879ba630a,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T06:03:00Z,2024-10-23T06:03:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
47c68688-ecf3-4053-af36-b8cc13087974,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T12:53:00Z,2024-10-22T12:53:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
a879d8f8-9042-4eb7-8b04-0f53e63949d4,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T06:17:00Z,2024-10-22T06:17:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
d9b59f84-edc3-41c3-adea-2d2d086c405f,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T11:14:00Z,2024-10-20T11:14:00Z,Hoda Press Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
905f9096-2996-46e2-8c9d-690713b22cec,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-23T06:42:00Z,2024-10-23T06:42:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
d9750f00-d5ab-48ae-9112-fbc03d8f95f4,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T13:14:00Z,2024-10-22T13:14:00Z,Ofogh Pipe Works Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
8a624cbd-e582-4678-ad52-29dd639fc471,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T09:11:00Z,2024-10-20T09:11:00Z,Fardis Profile Sazan Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
bed63da0-8033-45c2-9413-d64db962c8a7,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T10:22:00Z,2024-10-21T10:22:00Z,Sabalan Agri-Steel Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
1901ef87-0dbf-4caf-988a-3f87f96d40f8,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T10:19:00Z,2024-10-23T10:19:00Z,Kian Tube Mills Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-21T09:19:00Z,2024-10-21T09:19:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
9d264599-c4dd-4df5-9aec-56a857311609,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T12:49:00Z,2024-10-22T12:49:00Z,Kian Housing Development Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
f80b2cea-658e-44a2-9879-cf35f4719986,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T13:15:00Z,2024-10-23T13:15:00Z,Rayan Rail & Road Projects Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
4b9dfd58-9e5d-4c7a-85ac-c35415f00cb4,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-23T09:36:00Z,2024-10-23T09:36:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
12d15585-b68e-47fa-bf17-5534cc4d5819,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T12:19:00Z,2024-10-21T12:19:00Z,Nima Omran Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
6147adeb-277b-4667-8499-d0a615007170,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T06:28:00Z,2024-10-20T06:28:00Z,Elham Sazeh Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
8e969227-72e7-4b51-ae54-ac6d2ff8e87e,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T08:14:00Z,2024-10-20T08:14:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
1a7167c7-6875-4545-832f-52c48e0370cf,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T09:02:00Z,2024-10-23T09:02:00Z,Sadaf Builders Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
0328c136-629e-43d8-9d1c-a267530ddda6,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-20T08:15:00Z,2024-10-20T08:15:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
c777a07f-6346-44ef-a9ef-74e34ab6821c,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T08:01:00Z,2024-10-22T08:01:00Z,Karun Sazeh Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
44d7df9a-238b-45b7-ab64-777c6177a771,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T13:04:00Z,2024-10-21T13:04:00Z,Pardis Appliance Components Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
255bfc1c-7e3d-4ee4-84b6-4ec14d16f049,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T09:22:00Z,2024-10-21T09:22:00Z,Tous Builders Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
46a56fe8-6f46-41b1-aace-1aa9103246b3,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T08:22:00Z,2024-10-20T08:22:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
c85cd714-7bf6-4552-8cbc-90446bcd5ce7,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T05:13:00Z,2024-10-20T05:13:00Z,Helia Metals Supply Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
f1b88d65-406f-44d6-9c72-aebd13b11e59,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-23T06:09:00Z,2024-10-23T06:09:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
7eece88d-a002-452a-b88c-ddde3f2086c2,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T11:19:00Z,2024-10-23T11:19:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
75366b9f-320f-42c0-9dde-01889803b22e,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T11:47:00Z,2024-10-23T11:47:00Z,Negin Press Works Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
01bb819c-4dfe-4117-a2af-711f1b628a9d,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-21T11:00:00Z,2024-10-21T11:00:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
d773f98d-550c-4fe9-a54c-11d9f2e61828,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T11:52:00Z,2024-10-20T11:52:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
dcb9075e-cdd7-4460-a140-77d39ec4ea48,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T06:24:00Z,2024-10-23T06:24:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
6e3cdd4f-55b1-45e4-b0b2-7304545cd88d,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-20T12:39:00Z,2024-10-20T12:39:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
a6aa59e5-dc08-4f29-92d3-3488d0c30018,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-22T13:07:00Z,2024-10-22T13:07:00Z,Taban Contracting Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
4ce953a7-22d9-4db3-982a-2277f966d59f,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T04:37:00Z,2024-10-22T04:37:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
b1fead13-f280-4f1d-9a6c-0db952171c88,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T05:18:00Z,2024-10-23T05:18:00Z,Kimia Sakhteman Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
47c1c017-6045-4909-936d-47d73e0f84ce,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T07:41:00Z,2024-10-23T07:41:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
5d71a898-6497-4593-892e-8c93d105c8d6,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-23T08:55:00Z,2024-10-23T08:55:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
33261887-9058-41df-ae9b-f3e11d27c09a,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T07:01:00Z,2024-10-23T07:01:00Z,Farnam Profile Sazan Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
2e0fb5b3-8bae-491e-bf4c-c10f979c30cf,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-20T12:50:00Z,2024-10-20T12:50:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
06e3f949-8cd3-4c62-8482-9b71ae84b81c,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T07:38:00Z,2024-10-21T07:38:00Z,Sabalan Omran Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T10:22:00Z,2024-10-23T10:22:00Z,Hirad Steel Structures Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
40afbf3f-3df5-4967-8d86-70bda2224f96,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T09:26:00Z,2024-10-20T09:26:00Z,Parsian Eskelet Felezi Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
6c521d13-b719-4b68-a775-ee42a89e22f2,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T10:01:00Z,2024-10-22T10:01:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
72f60958-12ef-4101-a082-786fca00ef58,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T08:46:00Z,2024-10-21T08:46:00Z,Kaspian Eskelet Felezi Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
950df1a0-7aaf-4001-9912-316afd9e8e20,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-21T04:51:00Z,2024-10-21T04:51:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
ec6a37ad-81b1-4db9-88cc-4d49669b29b8,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-22T05:08:00Z,2024-10-22T05:08:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
6b15c11b-b113-450b-9ea0-50c6eb9ed274,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T09:58:00Z,2024-10-22T09:58:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
f7eae66e-ca6c-4f9b-8969-71018b2c550a,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T09:15:00Z,2024-10-21T09:15:00Z,Yekta Fabrication Works Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
a590fd3c-ad6e-4c57-a520-c3d0fbcdbf5e,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T04:31:00Z,2024-10-20T04:31:00Z,Kavir Sabz Iron & Steel Supply Co.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
38958939-9342-409f-b00a-c64c949cd8d4,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-22T05:26:00Z,2024-10-22T05:26:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
768b4f7e-6421-4e66-9fc6-4cd0721e8b1f,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-23T07:52:00Z,2024-10-23T07:52:00Z,Tous Metals Supply Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
b0c07fcc-96ad-44df-adf7-5924c5b8386b,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T08:46:00Z,2024-10-21T08:46:00Z,Farnam Fabrication Works Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
ff69723d-584f-485b-a697-384d801e8690,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T09:24:00Z,2024-10-21T09:24:00Z,Hirad Rail & Road Projects Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
8567c805-34f5-41c0-88c5-eb2a7490adeb,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T06:06:00Z,2024-10-20T06:06:00Z,Sabalan Housing Development Ltd.,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
18fdd2b9-79e5-49aa-992a-35497ba109d0,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-23T08:19:00Z,2024-10-23T08:19:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
73d39457-b25f-43df-b8d4-9848702ba49f,c5144d98-b41c-404f-a346-f415e5267a2b,3,4,2024-10-22T06:18:00Z,2024-10-22T06:18:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
0b705933-4cde-4b6b-9132-567c51a40d2a,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-21T13:24:00Z,2024-10-21T13:24:00Z,Nima Omran Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
76492e64-f55d-4e6d-ad26-8b378f5242d3,c5144d98-b41c-404f-a346-f415e5267a2b,4,4,2024-10-23T08:42:00Z,2024-10-23T08:42:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
a137f8e4-67b1-4040-8c39-b9253b5ae288,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T12:03:00Z,2024-10-20T12:03:00Z,Iman Contracting Group,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
0123a348-638a-4df6-adf7-2cd3979aa051,c5144d98-b41c-404f-a346-f415e5267a2b,2,4,2024-10-21T13:10:00Z,2024-10-21T13:10:00Z,,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
47419b48-34ae-4abd-b6fc-e0acb4698db3,c5144d98-b41c-404f-a346-f415e5267a2b,1,4,2024-10-20T05:17:00Z,2024-10-20T05:17:00Z,Farazan Urban Infrastructure Industries,451b4cf3-6123-4df7-b656-af7229d4beef,1,2
