leadid,subject,companyname,jobtitle,industrycode,address1_stateorprovince,leadsourcecode,campaignid,relatedobjectid,ahn_productgroup,ahn_estimatedtonnage,parentaccountid,ownerid,createdon,modifiedon,statecode,statuscode,qualifyingopportunityid
694d7b00-8d38-4327-883f-13c601b158e9,"Beams & Sections, 130 t - Tous Construction Co.",Tous Construction Co.,Purchasing Manager,100000000,Isfahan,7,c5144d98-b41c-404f-a346-f415e5267a2b,0406ff44-7ce4-4679-a8c6-dbc07bb3447b,100000001,115.0,49646b96-fa3c-4628-8926-21df465568b7,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-10-23T08:57:00Z,2024-10-27T08:49:00Z,1,3,ac2356f7-11e7-42f8-a1ed-e463615f7343
f090f5a0-ce61-4199-ae3a-0ba8ac8d6c7d,"Rebar, 110 t - Espadana Builders Industries",Espadana Builders Industries,Procurement Lead,100000000,Fars,7,c5144d98-b41c-404f-a346-f415e5267a2b,b2a6e468-d02b-4243-8091-3ac10463750e,100000000,115.0,409e7a80-86c5-41d6-9ea9-f50831227592,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-10-20T13:05:00Z,2024-10-26T05:47:00Z,1,3,ee608e1f-7f64-40ae-b846-e85d6627cd56
79db7862-8d7d-4772-a08e-2f5c61177270,"Hot-Rolled Sheet, 215 t - Parsian Profile Works Co.",Parsian Profile Works Co.,Purchasing Manager,100000002,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,67c0518b-17ef-4621-881c-79d4c27437eb,100000002,185.0,f94d8fcb-dba3-496f-ba32-3f6990dbfad6,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-24T04:33:00Z,2024-10-30T06:11:00Z,1,3,150f3be4-24a3-427a-8f53-3e9a0cd95fb9
3508507a-f622-4842-8402-2b3c508211a5,"Cold-Rolled Sheet, 70 t - Hoda Press Works Co.",Hoda Press Works Co.,Managing Director,100000003,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,d9b59f84-edc3-41c3-adea-2d2d086c405f,100000003,90.0,,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-22T07:49:00Z,2024-10-26T05:39:00Z,2,6,
bd5ff093-c16f-4bcc-a243-bed754ec3f33,"Hot-Rolled Sheet, 150 t - Fardis Profile Sazan Group",Fardis Profile Sazan Group,Managing Director,100000002,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,8a624cbd-e582-4678-ad52-29dd639fc471,100000002,160.0,,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-20T07:54:00Z,2024-10-24T10:54:00Z,2,4,
a255e1bb-0795-4c1f-938d-6b8cc607b1e9,"Rebar, 830 t - Rayan Rail & Road Projects Ltd.",Rayan Rail & Road Projects Ltd.,Managing Director,100000005,Alborz,7,c5144d98-b41c-404f-a346-f415e5267a2b,f80b2cea-658e-44a2-9879-cf35f4719986,100000000,780.0,614c721d-a921-4b4c-95fb-e976ae007b7e,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-26T06:35:00Z,2024-10-29T07:15:00Z,1,3,603a77f6-ef7e-48b7-855e-bd5aec8bc81d
277eb0aa-a247-441d-88ad-0899b630794d,"Rebar, 70 t - Elham Sazeh Ltd.",Elham Sazeh Ltd.,Managing Director,100000000,Khorasan Razavi,7,c5144d98-b41c-404f-a346-f415e5267a2b,6147adeb-277b-4667-8499-d0a615007170,100000000,65.0,16591c89-21eb-4aa9-9a2b-d69c450f69ee,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-21T10:02:00Z,2024-10-24T09:03:00Z,1,3,85d438ce-9a87-4ebf-946b-6e101d2f82d1
8de1596c-5a9a-406a-96f1-42a206b919aa,"Hot-Rolled Sheet, 190 t - Sadaf Builders Co.",Sadaf Builders Co.,Managing Director,100000000,Alborz,7,c5144d98-b41c-404f-a346-f415e5267a2b,1a7167c7-6875-4545-832f-52c48e0370cf,100000002,230.0,,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-24T04:57:00Z,2024-10-27T08:00:00Z,2,4,
8f3dc97f-e6b0-4a0a-b98f-5dbe15aede0f,"Rebar, 90 t - Karun Sazeh Ltd.",Karun Sazeh Ltd.,Purchasing Manager,100000000,Khorasan Razavi,7,c5144d98-b41c-404f-a346-f415e5267a2b,c777a07f-6346-44ef-a9ef-74e34ab6821c,100000000,170.0,af70de70-2b69-495e-8567-1b58926bffa5,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-22T09:40:00Z,2024-10-27T12:23:00Z,1,3,7b3e8c81-4e02-4c8a-8dde-ca83ce82f8a0
2d79a2d1-506e-40c7-baa0-61e9336b00cb,"Rebar, 85 t - Kimia Sakhteman Co.",Kimia Sakhteman Co.,Purchasing Manager,100000000,Alborz,7,c5144d98-b41c-404f-a346-f415e5267a2b,b1fead13-f280-4f1d-9a6c-0db952171c88,100000000,65.0,,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-24T05:55:00Z,2024-10-28T08:08:00Z,2,6,
cc351e4f-703e-457f-b5ab-8466b5578b00,"Hot-Rolled Sheet, 80 t - Kowsar Eskelet Felezi Group",Kowsar Eskelet Felezi Group,Managing Director,100000001,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,100000002,85.0,ef2ddcc4-8df6-41da-9f07-c1a5dfc620ce,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-23T09:03:00Z,2024-10-28T12:24:00Z,1,3,19ea5e46-059e-4837-ab11-c1f1e02beeab
cff2b1c4-e53f-4644-b39e-4df25c0a1feb,"Hot-Rolled Sheet, 45 t - Yekta Fabrication Works Co.",Yekta Fabrication Works Co.,Site Engineer,100000001,Isfahan,7,c5144d98-b41c-404f-a346-f415e5267a2b,f7eae66e-ca6c-4f9b-8969-71018b2c550a,100000002,60.0,902f3465-0b57-4720-9cd8-758ba5a1c825,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-10-21T06:28:00Z,2024-10-22T10:51:00Z,1,3,7d86b46c-eee4-4f6a-bb66-ff200510ad2e
54e38579-c0af-4193-b780-ef2f664d5922,"Wire Rod, 65 t - Kian Steel Merchants Group",Kian Steel Merchants Group,Managing Director,100000004,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,a590fd3c-ad6e-4c57-a520-c3d0fbcdbf5e,100000006,60.0,5c0b9b10-a757-4b10-82f5-25b902ed73ce,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-22T07:03:00Z,2024-10-26T12:05:00Z,2,6,
4ba17233-1ac3-4f31-bb96-e2d10649bcf6,"Pipes & Profiles, 295 t - Hirad Rail & Road Projects Ltd.",Hirad Rail & Road Projects Ltd.,Managing Director,100000005,Khuzestan,7,c5144d98-b41c-404f-a346-f415e5267a2b,ff69723d-584f-485b-a697-384d801e8690,100000005,300.0,57d337d3-4fd8-4bbb-992c-11072444d301,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-23T07:20:00Z,2024-10-27T09:32:00Z,1,3,56bc1b8c-6076-445f-824c-200ccbd6d78c
05c8234b-1d76-4a66-b5f5-9cb0cf685878,"Rebar, 40 t - Nima Omran Industries",Nima Omran Industries,Purchasing Manager,100000000,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,0b705933-4cde-4b6b-9132-567c51a40d2a,100000000,55.0,54bbbcf8-28fe-4761-8d49-fe3f2ca8f783,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-21T07:31:00Z,2024-10-26T09:42:00Z,1,3,00d52f8c-bc35-45d9-948d-83ea35ce13ad
a84554c3-a3f6-4c61-afb7-0dab2f383b43,"Rebar, 375 t - Iman Contracting Group",Iman Contracting Group,Project Manager,100000000,Khuzestan,7,c5144d98-b41c-404f-a346-f415e5267a2b,a137f8e4-67b1-4040-8c39-b9253b5ae288,100000000,320.0,7317591a-3283-4aa4-a212-ab7c9d361cb6,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-21T10:18:00Z,2024-10-24T10:56:00Z,1,3,4b2e7986-d743-42a7-a1b7-4c92fdcc48a5
5da49cb9-2fdc-4992-8971-8eeadf3a098a,"Rebar, 55 t - Sadaf Fabrication Works Ltd.",Sadaf Fabrication Works Ltd.,Project Manager,100000001,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,ccac2fb5-1a0c-4c04-93cd-129110042d82,100000000,70.0,7d4ed26e-dcd5-4fae-abb3-16a743299780,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-24T04:52:00Z,2024-10-27T11:53:00Z,1,3,bceb4bc1-4d07-4dc4-bd4c-08f1d4bcfaf8
2c2ac34b-9e0b-4b01-b536-59efd873dad9,"Cold-Rolled Sheet, 25 t - Golestan Auto Parts Mfg.",Golestan Auto Parts Mfg.,Supply Chain Manager,100000003,Khorasan Razavi,7,c5144d98-b41c-404f-a346-f415e5267a2b,5a1baf0e-5911-46dc-9d3e-503a9645f0e4,100000003,20.0,502cf0ee-224a-46a6-ac0f-680115b24e1d,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-23T04:45:00Z,2024-10-26T07:08:00Z,1,3,e5dcdfd7-95c4-4328-93f3-170d502fb862
2fe5b140-23ea-4956-89f1-137d7d592e19,"Galvanized Sheet, 40 t - Zagros Agri-Steel Co.",Zagros Agri-Steel Co.,Purchasing Manager,100000006,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,2ab7b2ef-8e0e-4033-ac59-1da8fff96acf,100000004,30.0,31f3f0c0-22f3-4068-bc0f-549d02740f73,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-24T09:32:00Z,2024-10-27T11:41:00Z,1,3,07d793c7-8e04-4c8a-a088-b8f9fd675cd3
68bd075b-7eb6-481e-a72f-947d816462cb,"Rebar, 90 t - Dena Abadgaran Ltd.",Dena Abadgaran Ltd.,Procurement Lead,100000000,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,8fc3d7d3-f6bd-40c7-a24a-2a50d0b1fde0,100000000,75.0,6b0ae0e3-9d89-4047-9d39-d7936257a4a2,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-22T10:57:00Z,2024-10-26T10:14:00Z,1,3,1415596f-f5c3-4837-9461-1d95c40a572d
929d6377-1cfb-455f-82c4-2e488cbadae5,"Rebar, 85 t - Javid Omran Group",Javid Omran Group,Purchasing Manager,100000000,Isfahan,7,c5144d98-b41c-404f-a346-f415e5267a2b,7eccdaf4-c413-4dc2-85c5-ae8abe15ad12,100000000,45.0,37f25d36-8bdd-4ee3-b0fd-6672b80f16c5,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-10-21T12:01:00Z,2024-10-23T05:33:00Z,1,3,2bf4870c-6465-4f73-a57a-21429c3e8d17
3f5e3b8c-c058-4da5-a757-075bd47f83b1,"Pipes & Profiles, 20 t - Gohar Golkhaneh Sazan Ltd.",Gohar Golkhaneh Sazan Ltd.,Supply Chain Manager,100000006,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,bc69c155-1a37-46bd-acd6-f011fd61f13b,100000005,15.0,,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-20T04:37:00Z,2024-10-23T06:27:00Z,2,6,
bcd4344f-cf8a-468e-b5ba-93573ca87f31,"Beams & Sections, 135 t - Jahan Steel Depot Ltd.",Jahan Steel Depot Ltd.,Managing Director,100000004,Alborz,7,c5144d98-b41c-404f-a346-f415e5267a2b,cfd7f3b9-c68f-4ba5-9e0d-02b5fe7402cd,100000001,95.0,,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-23T13:17:00Z,2024-10-26T06:15:00Z,2,5,
88438de2-59cf-4b0d-91f0-647d0f321333,"Beams & Sections, 205 t - Mehr Metal Center Co.",Mehr Metal Center Co.,Site Engineer,100000004,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,ce315937-34fa-42b6-9043-7e4c34e50699,100000001,170.0,,5304317f-af42-412f-b838-b3268e944239,2024-10-23T09:04:00Z,2024-10-27T12:38:00Z,2,5,
46feacd4-fe13-43cd-8f2d-5c15eb346d3a,"Beams & Sections, 595 t - Orang Ahan Bazar Ltd.",Orang Ahan Bazar Ltd.,Supply Chain Manager,100000004,Khuzestan,7,c5144d98-b41c-404f-a346-f415e5267a2b,695e5ea9-c923-4c64-8006-2b5bf67839b2,100000001,660.0,,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-24T08:30:00Z,2024-10-28T10:04:00Z,2,4,
3f5fbf4f-d417-4230-9274-ee11b61df906,"Hot-Rolled Sheet, 160 t - Fardis Pipe & Profile Industries",Fardis Pipe & Profile Industries,Project Manager,100000002,Khuzestan,7,c5144d98-b41c-404f-a346-f415e5267a2b,257035db-3fea-490a-a1f8-072dddb7570e,100000002,135.0,,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-23T13:05:00Z,2024-10-30T04:43:00Z,2,4,
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,"Galvanized Sheet, 30 t - Raman Press Works Industries",Raman Press Works Industries,Supply Chain Manager,100000003,Isfahan,7,c5144d98-b41c-404f-a346-f415e5267a2b,67213a70-17d5-4f59-84d5-98f7e14fe093,100000004,35.0,d43cdd6d-e0c1-4f1e-a0da-897258321ee4,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-10-22T07:03:00Z,2024-10-26T09:06:00Z,2,5,
cbb18c79-1036-408d-99a0-90075bb47c18,"Rebar, 70 t - Mehrgan Construction Group",Mehrgan Construction Group,Project Manager,100000000,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,b28187c4-aa05-4442-a284-e8fd755cee2a,100000000,75.0,216e9fe5-93f3-4596-8c1c-8b0556771f36,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-24T11:30:00Z,2024-10-30T08:55:00Z,1,3,63e5eabd-6a77-426c-bdb5-1fc7a273d581
c3231466-aebb-490e-a4e7-51de57ff51d9,"Rebar, 255 t - Kian Omran Ltd.",Kian Omran Ltd.,Purchasing Manager,100000000,Mazandaran,7,c5144d98-b41c-404f-a346-f415e5267a2b,c9ce44bd-7c3f-4add-9a38-5db590eeb067,100000000,225.0,042b03ca-75a7-4686-9632-1d31c8acffcf,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-21T11:44:00Z,2024-10-26T08:36:00Z,1,3,2acf31d1-90b3-4fe6-8ff2-6464e79a06bd
fee5ce69-33cb-402e-ad84-414df54191ea,"Rebar, 280 t - Tina Builders Industries",Tina Builders Industries,Project Manager,100000000,Mazandaran,7,c5144d98-b41c-404f-a346-f415e5267a2b,fde91c42-002c-4c22-b4de-5f7070f81dba,100000000,160.0,17e52113-4626-43be-a068-8849eec71a30,5304317f-af42-412f-b838-b3268e944239,2024-10-24T11:55:00Z,2024-10-26T07:26:00Z,1,3,c83c29de-34ec-4c7b-aa94-727f2eef9e7c
c156e501-b30e-46e8-b9da-5f8c4e35da80,"Beams & Sections, 155 t - Nima Urban Infrastructure Ltd.",Nima Urban Infrastructure Ltd.,Supply Chain Manager,100000005,Isfahan,7,c5144d98-b41c-404f-a346-f415e5267a2b,a0279a18-6576-4410-8d41-ee472a5fda18,100000001,120.0,,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-21T06:56:00Z,2024-10-22T08:56:00Z,2,4,
57f479b5-b212-46ee-8210-63710260a123,"Hot-Rolled Sheet, 140 t - Bamdad Eskelet Felezi Ltd.",Bamdad Eskelet Felezi Ltd.,Supply Chain Manager,100000001,Khuzestan,7,c5144d98-b41c-404f-a346-f415e5267a2b,71efe72a-ae13-491e-84fa-4c7239e7a4f1,100000002,100.0,1a6b6a7d-1a38-4ad6-8e53-2ffdbb134f02,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-22T11:06:00Z,2024-10-27T05:15:00Z,1,3,27d30b16-0a79-436a-87e8-646352ce94b8
a43e558c-2215-4f00-9fdf-0e05c0cef31b,"Beams & Sections, 100 t - Fardis Omran Group",Fardis Omran Group,Managing Director,100000000,East Azerbaijan,7,c5144d98-b41c-404f-a346-f415e5267a2b,d038e153-c601-418b-a1fa-01ba231ae7c7,100000001,100.0,9c3de1b0-022b-4683-9033-da6587cf63fd,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-10-22T11:12:00Z,2024-10-27T09:34:00Z,1,3,a243cbab-567d-4ee6-a3d6-d3573ffeddba
bae1e137-96ee-40e5-9f87-3b46c0a0473a,"Hot-Rolled Sheet, 85 t - Tous Profile Sazan Industries",Tous Profile Sazan Industries,Purchasing Manager,100000002,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,23d7e6a1-19b8-44fc-a587-1d8916312fc6,100000002,70.0,3f6eed9d-23cb-4943-8a84-000350834fef,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-23T05:41:00Z,2024-10-31T10:57:00Z,1,3,8994b175-c432-487f-8050-203c020281d7
d8d994b8-d90f-44e9-86dd-f6cab0c30a59,"Beams & Sections, 105 t - Iranmehr Steel Structures Co.",Iranmehr Steel Structures Co.,Purchasing Manager,100000001,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,f0f7ad22-c76a-4e0f-88f0-91f09b8b38ae,100000001,115.0,,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-22T06:56:00Z,2024-10-24T07:33:00Z,2,4,
a56b61e0-4ba8-44ca-a449-cb6fbf72ae52,"Beams & Sections, 190 t - Iranmehr Urban Infrastructure Co.",Iranmehr Urban Infrastructure Co.,Purchasing Manager,100000005,Fars,7,c5144d98-b41c-404f-a346-f415e5267a2b,304b2370-8270-4238-9b5f-8f39848b34f0,100000001,210.0,,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-10-21T10:28:00Z,2024-10-26T08:15:00Z,2,4,
a3595d1f-7fe4-442e-bdb7-88a61cdcc4c2,"Beams & Sections, 105 t - Tous Contracting Ltd.",Tous Contracting Ltd.,Site Engineer,100000000,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,62c965b2-7eb0-462a-bd45-74ebf4655a21,100000001,115.0,,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-21T04:50:00Z,2024-10-26T08:17:00Z,2,5,
6bbdb66f-9181-4091-96c6-f45cdc5e4e78,"Beams & Sections, 130 t - Mahan Construction Co.",Mahan Construction Co.,Project Manager,100000000,Alborz,7,c5144d98-b41c-404f-a346-f415e5267a2b,6307d4d1-21c9-415d-9104-5a16ef15ab72,100000001,130.0,965d744f-0445-41a8-92af-97e4c536c66e,5304317f-af42-412f-b838-b3268e944239,2024-10-22T08:21:00Z,2024-10-26T11:38:00Z,1,3,3b93bf18-9551-4d67-ad08-2d74fcc93eed
495743a2-81b1-4b80-a5e1-b0f5ca0ee8c4,"Galvanized Sheet, 35 t - Atlas Auto Parts Mfg.",Atlas Auto Parts Mfg.,Procurement Lead,100000003,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,f2dcb12b-0f7a-4302-ac2e-28150a3217d2,100000004,25.0,89a3c811-895c-4fde-a3fa-40691519fd38,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-10-23T11:30:00Z,2024-10-26T04:49:00Z,1,3,7c142149-da02-4f54-84d6-5a2123e2c160
ebc1bb52-82e4-4d4a-943a-c1c54f560ed5,"Beams & Sections, 55 t - Mehr Fabrication Works Industries",Mehr Fabrication Works Industries,Purchasing Manager,100000001,Mazandaran,7,c5144d98-b41c-404f-a346-f415e5267a2b,15669e36-4708-403b-a716-10c19db54283,100000001,45.0,,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-10-23T09:26:00Z,2024-10-24T11:35:00Z,2,7,
4f67448e-10ec-4b1f-a4a5-c736ae59aa52,"Rebar, 250 t - Arvand Steel Depot Co.",Arvand Steel Depot Co.,Purchasing Manager,100000004,Hormozgan,7,c5144d98-b41c-404f-a346-f415e5267a2b,a65be22b-d5a3-46d9-8362-a810a2611b8d,100000000,215.0,3e9639ba-0ed2-4c9d-bd17-5712d8b22277,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-10-26T11:50:00Z,2024-10-31T04:39:00Z,1,3,95fe2b99-4e43-4a46-b562-59092c39cacc
0e165b12-9bdc-40d1-9cbf-7b8c74102d5d,"Galvanized Sheet, 10 t - Helia Golkhaneh Sazan Industries",Helia Golkhaneh Sazan Industries,Site Engineer,100000006,Isfahan,7,c5144d98-b41c-404f-a346-f415e5267a2b,1db14bfc-6f3a-4115-acb4-678c16120aa6,100000004,10.0,02e7df89-b395-4a98-a320-4ff5b538f96c,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-10-22T06:37:00Z,2024-10-27T09:28:00Z,1,3,78376406-bdcc-4c12-835a-6a9f7f4388a3
df9b141e-c7f7-4da1-bff1-5840207e863f,"Rebar, 165 t - Rahyab Metal Center Co.",Rahyab Metal Center Co.,Managing Director,100000004,Isfahan,7,c5144d98-b41c-404f-a346-f415e5267a2b,5f32d5d8-2abe-4585-825e-0259b88416d2,100000000,105.0,55c34853-0783-443c-a65f-ad87c57c7498,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-10-22T05:16:00Z,2024-10-28T10:10:00Z,1,3,651a2c63-3162-4809-a412-b4ef456f99c2
0e3141ec-5c31-4464-82c2-99f07487d772,"Rebar, 110 t - Dena Steel Merchants Ltd.",Dena Steel Merchants Ltd.,Site Engineer,100000004,Tehran,7,c5144d98-b41c-404f-a346-f415e5267a2b,7f0386fa-13ba-4c91-a0a5-fde6939f71a2,100000000,75.0,,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-10-26T13:25:00Z,2024-11-02T07:01:00Z,2,4,
eb93f78c-620a-4158-9d2d-904f78c59073,"Hot-Rolled Sheet, 155 t - Iman Loleh Sazi Ltd.",Iman Loleh Sazi Ltd.,Managing Director,100000002,Khuzestan,7,c5144d98-b41c-404f-a346-f415e5267a2b,0bc57207-3e9a-4c86-8325-4fbddce8e1c5,100000002,180.0,,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-10-22T11:19:00Z,2024-10-26T13:20:00Z,2,6,
ac5f12ef-8085-4147-9e91-0f365f705b25,"Rebar, 140 t - Kimia Contracting Industries",Kimia Contracting Industries,Procurement Lead,100000000,Khorasan Razavi,7,c5144d98-b41c-404f-a346-f415e5267a2b,92502e59-13f0-4822-9374-8a1145712959,100000000,235.0,e8b77f7b-7321-4f6b-8a80-76ece5582e16,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-10-21T06:37:00Z,2024-10-24T07:50:00Z,1,3,ad4e4ff8-8736-4422-b74e-e609d86fd87e
