quoteid,quotenumber,revisionnumber,opportunityid,customerid,customeridtype,ownerid,createdon,effectivefrom,effectiveto,discountpercentage,totalamount,statecode,statuscode,transactioncurrencyid
9ebbbb67-5aee-460c-9c54-a245dfbef031,QUO-000022,2,1037c4cc-c9ab-4d20-a7dd-0b0aff3490a4,3065b3a2-4afc-4fef-8a27-9be10e4683dd,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-10T03:50:48Z,2024-08-10,2024-08-13,3.45,15044100000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
407f3f10-ae0b-41ef-a32a-96fd327549f1,QUO-000023,0,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-08-03T12:50:17Z,2024-08-03,2024-08-06,3.57,252712100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
9b6ac302-4bf8-4285-a7b3-3337f94d4236,QUO-000024,1,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-08-11T08:36:24Z,2024-08-11,2024-08-14,3.77,252187900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
27c3dcef-6b08-4716-9a00-0d271a84af59,QUO-000025,2,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-08-17T03:50:53Z,2024-08-17,2024-08-20,3.97,251663800000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7f58f942-1ea0-4939-b291-74326e09069d,QUO-000026,3,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-08-25T03:08:01Z,2024-08-25,2024-08-28,4.17,251139600000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
4586143c-c392-4c7b-b828-fcc277c979c1,QUO-000027,4,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-08-29T12:23:52Z,2024-08-29,2024-09-01,4.37,250615500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
25ddb62c-45fe-42ec-a693-1d49b54cc033,QUO-000028,5,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-03T20:22:53Z,2024-09-03,2024-09-06,4.57,253612600000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
db9bca04-1948-4c3e-a526-f41c2e5cfd07,QUO-000029,6,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-09T08:49:07Z,2024-09-09,2024-09-12,4.77,253081100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
2195a5f6-4d30-434f-ae02-98d92f991987,QUO-000030,7,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-15T09:22:06Z,2024-09-15,2024-09-18,4.97,252549600000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
cf61a3e6-1b93-4086-a54d-26e2f7916b38,QUO-000031,8,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-21T19:30:49Z,2024-09-21,2024-09-24,5.17,252018100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d7661e39-9720-4fbf-8b40-ddebb774571e,QUO-000032,9,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-29T04:52:18Z,2024-09-29,2024-10-02,5.37,251486600000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8361fd9e-f929-4554-b119-bdaf7ac55206,QUO-000033,10,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-03T18:52:37Z,2024-10-03,2024-10-06,5.57,255058900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
dfb64b0b-bb8a-4b03-ab0c-127217b789cc,QUO-000034,11,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-10T09:35:09Z,2024-10-10,2024-10-13,5.77,254518700000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
073bc0a7-938a-4e91-aeb6-b8f0cd5e4d31,QUO-000035,12,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-17T00:10:18Z,2024-10-17,2024-10-20,5.97,253978500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
719a0d2a-41e3-4d02-bb8a-0161eab0ccb6,QUO-000036,13,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-23T03:33:59Z,2024-10-23,2024-10-26,6.17,253438200000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
53a0319f-7425-457a-9a9c-ecfd343981ba,QUO-000037,14,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-10-29T11:49:59Z,2024-10-29,2024-11-01,6.37,252898000000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
2d3961c3-a960-420f-8800-53ad19d6f0c7,QUO-000038,15,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-11-05T14:59:21Z,2024-11-05,2024-11-08,6.57,260938300000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
8a5adf79-5d87-404d-ad98-dc6d97469f46,QUO-000039,16,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-11-13T13:33:33Z,2024-11-13,2024-11-16,6.77,260379700000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
53b18cc9-8f3c-4b4c-ba8e-cfbc3c856441,QUO-000040,17,44d848a8-bcea-41e5-8128-e7a4aaa835c1,b197603c-a45c-4178-947c-903018dd3aea,account,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-11-21T05:10:01Z,2024-11-21,2024-11-24,6.97,259821100000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
9f2dd759-634b-4186-affd-ebf8a9bd5c37,QUO-000041,0,001ac906-db34-49a9-8d75-b0ee9845a796,144be8bc-e207-4595-be20-9925a72427a6,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-05T18:44:49Z,2024-08-05,2024-08-08,4.49,8527900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
fcbe2289-23f3-4208-b378-18e5c5056122,QUO-000042,1,001ac906-db34-49a9-8d75-b0ee9845a796,144be8bc-e207-4595-be20-9925a72427a6,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-12T05:42:51Z,2024-08-12,2024-08-15,4.69,8510100000.0,2,4,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
03a7712a-422c-4797-b6ee-23437dcc57c5,QUO-000043,0,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,e2f6896c-f768-42a4-bff0-5450a64915e6,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-07T11:02:13Z,2024-08-07,2024-08-10,4.68,24314900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1df51404-e22d-439f-8775-5f0be37e9424,QUO-000044,1,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,e2f6896c-f768-42a4-bff0-5450a64915e6,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-14T10:32:56Z,2024-08-14,2024-08-17,4.88,24263900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a3603c11-24d1-49eb-9217-36e19b874569,QUO-000045,2,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,e2f6896c-f768-42a4-bff0-5450a64915e6,account,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-21T04:02:35Z,2024-08-21,2024-08-24,5.08,24212800000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a8faeb6a-ef0a-4560-9b14-ac872128cbf8,QUO-000046,0,420c3377-16c9-45c3-8b55-730b94f58e2e,1ab88733-80e1-4c41-8a9a-727fb2a12a55,account,5304317f-af42-412f-b838-b3268e944239,2024-08-08T11:18:14Z,2024-08-08,2024-08-11,2.98,13683000000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5a463aa8-9dd3-40d3-8fd2-b477c09de425,QUO-000047,1,420c3377-16c9-45c3-8b55-730b94f58e2e,1ab88733-80e1-4c41-8a9a-727fb2a12a55,account,5304317f-af42-412f-b838-b3268e944239,2024-08-15T04:13:38Z,2024-08-15,2024-08-18,3.18,13654800000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ad5e84ea-689f-4d10-b255-c51c646ee45b,QUO-000048,2,420c3377-16c9-45c3-8b55-730b94f58e2e,1ab88733-80e1-4c41-8a9a-727fb2a12a55,account,5304317f-af42-412f-b838-b3268e944239,2024-08-22T01:07:53Z,2024-08-22,2024-08-25,3.38,13626600000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
83229450-3f4a-48ce-a8c7-73947754c64f,QUO-000049,0,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-18T18:55:10Z,2024-08-18,2024-08-21,1.48,11765500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
644d90a3-ee61-4266-8306-40295caa3783,QUO-000050,1,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-24T04:45:19Z,2024-08-24,2024-08-27,1.68,11741600000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
9358f75d-a853-44ae-8d04-244bb41ffd0a,QUO-000051,2,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-29T13:56:26Z,2024-08-29,2024-09-01,1.88,11717700000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b66ea1ad-5587-4f32-a44a-54c425e546f1,QUO-000052,3,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-07T10:46:24Z,2024-09-07,2024-09-10,2.08,11543100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
450f7128-fcfd-4ede-b298-ea0aa5abda7b,QUO-000053,4,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-14T20:56:31Z,2024-09-15,2024-09-18,2.28,11519500000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
683033bc-b13b-4ee8-bcdc-6b9b3a014a9b,QUO-000054,5,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-21T02:11:56Z,2024-09-21,2024-09-24,2.48,11495900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
2d37f9ba-67be-44ab-abc2-4e093236c39b,QUO-000055,6,c674ef70-e1cd-4046-b697-02719b41d9ff,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-25T17:41:38Z,2024-09-25,2024-09-28,2.68,11472300000.0,2,4,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
436832a4-1e63-4b45-b46e-ab5590e39327,QUO-000056,0,e5a80de2-4fee-4c78-95cc-6bec3826995f,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-08-15T15:16:18Z,2024-08-15,2024-08-18,2.8,14288800000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5b316f5c-123b-4c2c-a921-f23d28acec08,QUO-000057,1,e5a80de2-4fee-4c78-95cc-6bec3826995f,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-08-24T01:46:36Z,2024-08-24,2024-08-27,3.0,14259400000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
df897a84-b8e2-45e2-8f5d-9769409f77b1,QUO-000058,2,e5a80de2-4fee-4c78-95cc-6bec3826995f,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-08-31T17:46:22Z,2024-08-31,2024-09-03,3.2,14230000000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
946d5fe2-087e-4720-9fcb-5d18fa923fde,QUO-000059,3,e5a80de2-4fee-4c78-95cc-6bec3826995f,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-09-08T16:07:52Z,2024-09-08,2024-09-11,3.4,14443100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
63ae26f7-d7b6-43b3-b66d-b95166c0d3b5,QUO-000060,4,e5a80de2-4fee-4c78-95cc-6bec3826995f,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-09-14T04:50:06Z,2024-09-14,2024-09-17,3.6,14413200000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
2481c95b-e8e7-46df-8fb0-297b25a3e6bb,QUO-000061,5,e5a80de2-4fee-4c78-95cc-6bec3826995f,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-09-21T09:36:38Z,2024-09-21,2024-09-24,3.8,14383300000.0,2,4,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
9e415791-35ea-4b2e-b332-cc02c1cee1b3,QUO-000062,0,1689d72c-5155-49f4-92ab-3eb624bee05c,aebeca58-ccb1-4c1e-87db-f6a203e30f78,account,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-08-19T22:55:26Z,2024-08-20,2024-08-23,3.89,49930900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
95cbeb8b-2de9-40c1-811e-921d0743e8c1,QUO-000063,1,1689d72c-5155-49f4-92ab-3eb624bee05c,aebeca58-ccb1-4c1e-87db-f6a203e30f78,account,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-08-24T17:27:08Z,2024-08-24,2024-08-27,4.09,49826900000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1063f2a6-0b75-4c9e-9b1c-0589b03189b5,QUO-000064,2,1689d72c-5155-49f4-92ab-3eb624bee05c,aebeca58-ccb1-4c1e-87db-f6a203e30f78,account,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-08-31T02:33:47Z,2024-08-31,2024-09-03,4.29,49723000000.0,3,5,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
cabf65e4-3328-439c-8fbb-6ddb4a7c1852,QUO-000065,0,b6838827-3509-455e-8ac3-5410eb3e0e8a,46327360-c45d-4c03-b4f6-b97ef998aaa1,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-08-25T09:55:52Z,2024-08-25,2024-08-28,2.85,337063100000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
4b6a24ad-234b-42fe-8f24-b0370d95d9a7,QUO-000066,1,b6838827-3509-455e-8ac3-5410eb3e0e8a,46327360-c45d-4c03-b4f6-b97ef998aaa1,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-08-31T16:01:00Z,2024-08-31,2024-09-03,3.05,336369200000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1e1514ec-0a88-4233-b55d-371516d586c1,QUO-000067,2,b6838827-3509-455e-8ac3-5410eb3e0e8a,46327360-c45d-4c03-b4f6-b97ef998aaa1,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-09-07T14:19:35Z,2024-09-07,2024-09-10,3.25,335149000000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
67d49716-0c8d-4375-8b6e-11856c17db7d,QUO-000068,3,b6838827-3509-455e-8ac3-5410eb3e0e8a,46327360-c45d-4c03-b4f6-b97ef998aaa1,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-09-11T14:54:05Z,2024-09-11,2024-09-14,3.45,334456200000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
413290ab-ca34-456e-855d-7944a96d645f,QUO-000069,4,b6838827-3509-455e-8ac3-5410eb3e0e8a,46327360-c45d-4c03-b4f6-b97ef998aaa1,account,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-09-16T16:25:16Z,2024-09-16,2024-09-19,3.65,333763400000.0,3,7,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
