campaignid,name,codename,typecode,ahn_channel,actualstart,actualend,budgetedcost,totalactualcost,ownerid,createdon,statecode,statuscode,transactioncurrencyid
86879aa9-14f5-43d0-8991-2032df85c777,SMS Price Bulletin Q2 2024,CMP-000011,2,100000001,2024-10-05,2024-12-31,1250000000.0,1384000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-09-21T05:26:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5c9deee0-b42a-4456-8736-5a84725e134d,Weekly Price Newsletter Q2 2024,CMP-000012,2,100000002,2024-10-05,2024-12-31,510000000.0,485000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-09-21T07:11:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1cb9b73a-906d-4c8c-aad0-8c8913fe8a29,SMS Price Bulletin Q3 2025,CMP-000013,2,100000001,2025-01-04,2025-04-01,1320000000.0,1542000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-12-21T12:52:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e723ada3-8c32-4db2-942a-895e0fcf601f,Weekly Price Newsletter Q3 2025,CMP-000014,2,100000002,2025-01-04,2025-04-01,340000000.0,358000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-12-21T08:23:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
89628f6e-929c-43b3-b3c0-8bf18167999f,SMS Price Bulletin Q4 2025,CMP-000015,2,100000001,2025-04-05,2025-07-01,1190000000.0,1165000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-03-22T06:44:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
dabf984e-53ff-4461-aa1f-1b61265cb9d9,Weekly Price Newsletter Q4 2025,CMP-000016,2,100000002,2025-04-05,2025-07-01,430000000.0,428000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-03-22T07:28:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ae27d432-1dc1-47eb-b11c-767385351a69,SMS Price Bulletin Q1 2025,CMP-000017,2,100000001,2025-07-05,2025-09-30,1300000000.0,1283000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-06-21T09:15:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7d23d479-9549-4a82-b787-ef8d3495311e,Weekly Price Newsletter Q1 2025,CMP-000018,2,100000002,2025-07-05,2025-09-30,360000000.0,393000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-06-21T07:16:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
720b274b-82a7-4586-a61d-9cde1747f387,SMS Price Bulletin Q2 2025,CMP-000019,2,100000001,2025-10-04,2025-12-30,1480000000.0,1342000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-09-20T07:27:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
21c71aa3-7414-43b5-8e3e-25f2cf0671c7,Weekly Price Newsletter Q2 2025,CMP-000020,2,100000002,2025-10-04,2025-12-30,470000000.0,510000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-09-20T08:04:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
905c7bdd-74f0-4eae-aa59-43ce836435e3,SMS Price Bulletin Q3 2026,CMP-000021,2,100000001,2026-01-03,2026-03-31,1300000000.0,1327000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-12-20T05:28:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ac3a812f-765e-4cb5-8f0d-55400ec7d662,Weekly Price Newsletter Q3 2026,CMP-000022,2,100000002,2026-01-03,2026-03-31,590000000.0,699000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-12-20T10:18:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0592bfa5-b928-423f-8ee4-334ece920136,SMS Price Bulletin Q4 2026,CMP-000023,2,100000001,2026-04-04,2026-06-30,1890000000.0,1808000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2026-03-21T09:59:00Z,0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
00c59f30-d103-4424-8124-1bb4655ce508,Weekly Price Newsletter Q4 2026,CMP-000024,2,100000002,2026-04-04,2026-06-30,520000000.0,576000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2026-03-21T12:18:00Z,0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
12b2102d-940c-4503-b7c8-6152beed0af9,Instagram Ads Burst 1,CMP-000025,1,100000003,2024-08-10,2024-08-30,6250000000.0,6384000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-07-27T10:06:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b34c6c73-5833-4b30-ac77-6e950b981ccd,Google Ads: Steel Prices 1,CMP-000026,1,100000005,2024-08-10,2024-09-08,4560000000.0,4781000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-07-27T08:20:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0f6ce9bf-fe7e-4362-8a89-b0f0105291d3,Instagram Ads Burst 2,CMP-000027,1,100000003,2024-11-16,2024-12-06,5870000000.0,5967000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-11-02T13:28:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
fc737d92-11ab-4d11-a4eb-8000ef40d162,Google Ads: Steel Prices 2,CMP-000028,1,100000005,2024-11-16,2024-12-15,4950000000.0,5328000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-11-02T08:10:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
497ec6d1-081f-46dc-b8d9-a88aef0bea4f,Instagram Ads Burst 3,CMP-000029,1,100000003,2025-04-19,2025-05-09,5250000000.0,4968000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-04-05T12:48:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
22ab7752-c4db-4a62-ae13-418d68ab80ea,Google Ads: Steel Prices 3,CMP-000030,1,100000005,2025-04-19,2025-05-18,3860000000.0,3784000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-04-05T05:52:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
bab2b77d-fa74-4cc8-a43a-fb7ac40d4874,Instagram Ads Burst 4,CMP-000031,1,100000003,2025-08-09,2025-08-29,6710000000.0,6828000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-07-26T10:33:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5fdcabbf-6b9c-471c-b6ba-745ba55871e3,Google Ads: Steel Prices 4,CMP-000032,1,100000005,2025-08-09,2025-09-07,5210000000.0,5937000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-07-26T12:23:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
72d35458-61ea-4f30-a42e-707afe2bd987,Instagram Ads Burst 5,CMP-000033,1,100000003,2025-11-15,2025-12-05,5130000000.0,5930000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-11-01T04:48:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
60a399d4-e821-4716-aac8-0da1de9f6f5b,Google Ads: Steel Prices 5,CMP-000034,1,100000005,2025-11-15,2025-12-14,4160000000.0,4327000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-11-01T05:35:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f6d22a7b-aec7-4a82-948b-4376602a4e57,Instagram Ads Burst 6,CMP-000035,1,100000003,2026-04-18,2026-05-08,5080000000.0,4636000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2026-04-04T10:34:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
220b9ea9-8a0f-4508-9fe2-c0a0a96b3c42,Google Ads: Steel Prices 6,CMP-000036,1,100000005,2026-04-18,2026-05-17,4620000000.0,4469000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2026-04-04T08:46:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1e5ebe54-5907-4299-9c3b-bdd8a74e02a9,LinkedIn B2B Campaign 1,CMP-000037,1,100000004,2024-09-14,2024-10-13,5950000000.0,5530000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-08-31T07:47:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
649f7d88-8989-45ab-be2b-34d82db0728d,Telesales Blitz 1,CMP-000038,2,100000006,2024-09-14,2024-10-04,9180000000.0,10579000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2024-08-31T10:57:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
fa8dae42-ba54-4920-a099-d18087623997,LinkedIn B2B Campaign 2,CMP-000039,1,100000004,2025-02-08,2025-03-09,7630000000.0,6734000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-01-25T12:26:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c194f97f-00e3-4026-95b6-de85390239d9,Telesales Blitz 2,CMP-000040,2,100000006,2025-02-08,2025-02-28,7680000000.0,7251000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-01-25T12:43:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
76876c62-4c61-445e-ba7e-5d9405d1fb63,LinkedIn B2B Campaign 3,CMP-000041,1,100000004,2025-06-14,2025-07-13,7120000000.0,6056000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-05-31T06:42:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6c93a791-8b60-4511-b816-8aebac6a7c85,Telesales Blitz 3,CMP-000042,2,100000006,2025-06-14,2025-07-04,6970000000.0,6880000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2025-05-31T13:24:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3acb43a3-d2c7-4ffb-a118-433b882ccd1e,LinkedIn B2B Campaign 4,CMP-000043,1,100000004,2026-02-07,2026-03-08,7430000000.0,7835000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2026-01-24T06:01:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
27b608dc-589d-4cb0-b5eb-89c23f5cf2f3,Telesales Blitz 4,CMP-000044,2,100000006,2026-02-07,2026-02-27,9720000000.0,10597000000.0,451b4cf3-6123-4df7-b656-af7229d4beef,2026-01-24T04:41:00Z,0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
