ahn_pipelinesnapshotid,ahn_snapshotdate,ahn_opportunityid,ownerid,ahn_stepname,ahn_closeprobability,ahn_estimatedvalue,ahn_forecastcategory,ahn_estimatedclosedate
6e5b005d-14ec-4004-a2d2-d921d94497fe,2024-09-14,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
02c6ec5f-d376-479f-ade9-a6a519b8350b,2024-09-21,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
39fd015e-3db2-4c20-85cf-f87551977641,2024-09-28,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,65,252712100000.0,100000002,2024-08-19
7bedf69f-0514-4483-ae94-712573e285f6,2024-10-05,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,60,252712100000.0,100000002,2024-08-19
b1bfe0c4-cb14-45e2-ab0e-9265c09967e8,2024-10-12,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,65,252712100000.0,100000002,2024-08-19
78390587-61ef-4296-bca7-2cb2d4cb0420,2024-10-19,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,65,252712100000.0,100000002,2024-08-19
b3674e98-7f87-424c-a086-97421406ba9f,2024-10-26,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,3-Propose,70,252712100000.0,100000002,2024-08-19
6ae81d4a-010a-4782-bbdf-bf5742792e8d,2024-11-02,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,4-Close,95,252712100000.0,100000003,2024-08-19
dabba049-ea17-45be-80bd-78d89b0067c6,2024-11-09,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,4-Close,85,252712100000.0,100000003,2024-08-19
cdf977d5-3d45-42ed-b698-3ce35ff776b3,2024-11-16,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,4-Close,90,252712100000.0,100000003,2024-08-19
7413f788-1ba7-44fc-ac90-7ca513fea0f1,2024-11-23,44d848a8-bcea-41e5-8128-e7a4aaa835c1,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,4-Close,90,252712100000.0,100000003,2024-08-19
9da90ea1-10af-40c4-b204-3de99ce4331e,2024-08-03,001ac906-db34-49a9-8d75-b0ee9845a796,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,1-Qualify,30,8527900000.0,100000001,2024-08-19
a515b18d-1b10-414b-ba4c-dd81c1837629,2024-08-10,001ac906-db34-49a9-8d75-b0ee9845a796,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,3-Propose,90,8527900000.0,100000003,2024-08-19
3a08a5ac-0c82-48b1-8598-2e47ee367dcd,2024-08-06,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,1-Qualify,35,24314900000.0,100000001,2024-08-22
202de51c-774f-48d0-9f7f-f2859a5e9518,2024-08-10,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,3-Propose,80,24314900000.0,100000003,2024-08-22
5617be7b-7a0d-4ff9-a0ee-552cd86bed9a,2024-08-17,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,3-Propose,75,24314900000.0,100000003,2024-08-22
6b0ce109-70a4-4f2a-987f-6a7f4806011b,2024-08-24,42023f7d-b0b4-48b0-a297-aa1c8ee62d71,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,4-Close,95,24314900000.0,100000003,2024-08-22
3757fc21-8301-4d63-bc77-14036d70a72e,2024-08-08,420c3377-16c9-45c3-8b55-730b94f58e2e,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,13683000000.0,100000002,2024-08-24
4f0581f6-dc10-4a34-92ae-65a0e4dfd2e9,2024-08-10,420c3377-16c9-45c3-8b55-730b94f58e2e,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,13683000000.0,100000002,2024-08-24
8928f9ea-5be3-4054-aef8-545733e25f16,2024-08-17,420c3377-16c9-45c3-8b55-730b94f58e2e,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,13683000000.0,100000002,2024-08-24
5d613189-abd0-479f-aee1-71cab304049e,2024-08-24,420c3377-16c9-45c3-8b55-730b94f58e2e,5304317f-af42-412f-b838-b3268e944239,4-Close,85,13683000000.0,100000003,2024-08-24
8578b35c-9170-4229-aa5c-cea46ccc39c5,2024-08-15,c674ef70-e1cd-4046-b697-02719b41d9ff,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1-Qualify,35,11765500000.0,100000001,2024-08-31
c747de00-80a7-4cb0-963e-20de9d86a0de,2024-08-17,c674ef70-e1cd-4046-b697-02719b41d9ff,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1-Qualify,40,11765500000.0,100000001,2024-08-31
437fd41c-9b5e-409b-a0e3-3063a8465c0e,2024-08-24,c674ef70-e1cd-4046-b697-02719b41d9ff,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,90,11765500000.0,100000003,2024-08-31
c823bfc4-3c47-40f6-a9ba-bc6b89c2298e,2024-08-31,c674ef70-e1cd-4046-b697-02719b41d9ff,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,85,11765500000.0,100000003,2024-08-31
92e05c5b-9b53-4f54-8fa6-cfe3cd5795eb,2024-09-07,c674ef70-e1cd-4046-b697-02719b41d9ff,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,80,11765500000.0,100000003,2024-08-31
2685237f-b431-47ef-b633-1e23bb23c98c,2024-09-14,c674ef70-e1cd-4046-b697-02719b41d9ff,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,80,11765500000.0,100000003,2024-08-31
b1c97a74-5344-4500-9561-ea9685401a91,2024-09-21,c674ef70-e1cd-4046-b697-02719b41d9ff,e27a984d-6548-41d0-bfcd-9eb1a7cad415,4-Close,95,11765500000.0,100000003,2024-08-31
7d0e73b9-9b8f-4e1e-8fda-94a29201b567,2024-08-15,e5a80de2-4fee-4c78-95cc-6bec3826995f,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,70,14288800000.0,100000002,2024-08-31
a50f3513-aac7-4a9c-93b0-ea0d520a6bce,2024-08-17,e5a80de2-4fee-4c78-95cc-6bec3826995f,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,70,14288800000.0,100000002,2024-08-31
652dd791-0735-4d8a-9530-ff89001e537a,2024-08-24,e5a80de2-4fee-4c78-95cc-6bec3826995f,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,75,14288800000.0,100000003,2024-08-31
c43cd8ec-5a87-427a-a7d4-ca94b438e3b8,2024-08-31,e5a80de2-4fee-4c78-95cc-6bec3826995f,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,70,14288800000.0,100000002,2024-08-31
1934850a-e8ff-4869-b759-5b46d1264de7,2024-09-07,e5a80de2-4fee-4c78-95cc-6bec3826995f,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,70,14288800000.0,100000002,2024-08-31
05eacd77-486f-4d91-99d0-033a9f17eeb8,2024-09-14,e5a80de2-4fee-4c78-95cc-6bec3826995f,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,3-Propose,70,14288800000.0,100000002,2024-08-31
ccccb213-d399-4415-ab69-b3d17cd7a80a,2024-09-21,e5a80de2-4fee-4c78-95cc-6bec3826995f,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,4-Close,95,14288800000.0,100000003,2024-08-31
ea4e48ba-f5cd-4b84-9cfa-7d1c40a0dae1,2024-08-17,1689d72c-5155-49f4-92ab-3eb624bee05c,beb79919-3f22-4af8-a3be-d01d43cf2fde,1-Qualify,35,49930900000.0,100000001,2024-09-02
b3c675df-7ae7-4f4b-984d-77357e99e1e7,2024-08-24,1689d72c-5155-49f4-92ab-3eb624bee05c,beb79919-3f22-4af8-a3be-d01d43cf2fde,3-Propose,85,49930900000.0,100000003,2024-09-02
607242e8-5034-46d1-8aff-51abc51df0ca,2024-08-31,1689d72c-5155-49f4-92ab-3eb624bee05c,beb79919-3f22-4af8-a3be-d01d43cf2fde,4-Close,90,49930900000.0,100000003,2024-09-02
e4417bde-8b45-4c2e-8edf-d442a271cc1e,2024-08-19,4896ee54-487f-4094-8b4f-c0e9eda2ad63,24933b83-7577-40a9-a491-f0b2ea1fca65,1-Qualify,30,12678800000.0,100000001,2024-09-04
ddd3b164-baf5-439f-a262-7c3e4ebadc94,2024-08-24,4896ee54-487f-4094-8b4f-c0e9eda2ad63,24933b83-7577-40a9-a491-f0b2ea1fca65,2-Develop,55,12678800000.0,100000002,2024-09-04
d9c40c69-a024-45a3-9991-3cb5f9dea644,2024-08-20,b6838827-3509-455e-8ac3-5410eb3e0e8a,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,1-Qualify,35,337063100000.0,100000001,2024-10-07
cd03e267-178e-43e5-a8db-b62e88046d28,2024-08-24,b6838827-3509-455e-8ac3-5410eb3e0e8a,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,1-Qualify,25,337063100000.0,100000001,2024-10-07
e2732213-0451-4d09-aba8-66b362061f12,2024-08-31,b6838827-3509-455e-8ac3-5410eb3e0e8a,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,3-Propose,65,337063100000.0,100000002,2024-10-07
91a87c1f-3037-42a5-aa47-5d406f0fb41e,2024-09-07,b6838827-3509-455e-8ac3-5410eb3e0e8a,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,3-Propose,70,337063100000.0,100000002,2024-10-07
1128c95c-3840-4d35-b62a-4b302a3af54d,2024-09-14,b6838827-3509-455e-8ac3-5410eb3e0e8a,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,3-Propose,70,337063100000.0,100000002,2024-10-07
76182044-604f-4c30-adb9-b28287308a95,2024-09-21,b6838827-3509-455e-8ac3-5410eb3e0e8a,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,4-Close,90,337063100000.0,100000003,2024-10-07
85620863-aa72-4542-a280-0ce9fdcc8100,2024-09-28,b6838827-3509-455e-8ac3-5410eb3e0e8a,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,4-Close,90,337063100000.0,100000003,2024-10-07
5103c95d-e1fc-4ced-9baf-a427732198d9,2024-08-21,a9529fa4-15bf-4efd-acd7-61701d0dc3cd,5304317f-af42-412f-b838-b3268e944239,1-Qualify,35,2459800000.0,100000001,2024-09-06
6c4f4c1d-5b92-4bb6-8847-41273d61a1ef,2024-08-24,a9529fa4-15bf-4efd-acd7-61701d0dc3cd,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,2459800000.0,100000002,2024-09-06
10578f94-a8cb-4e75-853b-06194f42889e,2024-08-31,a9529fa4-15bf-4efd-acd7-61701d0dc3cd,5304317f-af42-412f-b838-b3268e944239,3-Propose,70,2459800000.0,100000002,2024-09-06
a7cdd800-9b10-4bbd-91cb-4b89e74cef3f,2024-09-07,a9529fa4-15bf-4efd-acd7-61701d0dc3cd,5304317f-af42-412f-b838-b3268e944239,4-Close,90,2459800000.0,100000003,2024-09-06
e0a94cc2-f0b7-4b3b-883e-75a2a3a03b37,2024-08-21,b38f6de4-90c8-400b-bad0-8f4597826620,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,3-Propose,65,11654400000.0,100000002,2024-09-06
6208ba82-0649-48eb-96f2-0d13d4f188e0,2024-08-24,b38f6de4-90c8-400b-bad0-8f4597826620,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,3-Propose,65,11654400000.0,100000002,2024-09-06
39fa9c25-7b17-4af2-b7c9-d8fcd9a3959d,2024-08-31,b38f6de4-90c8-400b-bad0-8f4597826620,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,3-Propose,65,11654400000.0,100000002,2024-09-06
850b0333-eb6f-4a20-b68b-c998385da49b,2024-09-07,b38f6de4-90c8-400b-bad0-8f4597826620,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,3-Propose,70,11654400000.0,100000002,2024-09-06
f85e8e43-624d-4fc0-b1d4-36922f2f098e,2024-09-14,b38f6de4-90c8-400b-bad0-8f4597826620,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,4-Close,95,11654400000.0,100000003,2024-09-06
c6173918-4d80-497b-8f62-d975adb5a978,2024-08-24,8a4d341e-4ba5-4f41-82d2-0aa3f2b27c96,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,1-Qualify,35,39220900000.0,100000001,2024-09-09
4f5efe58-d966-4bc2-8cf2-0c904ee48302,2024-08-31,8a4d341e-4ba5-4f41-82d2-0aa3f2b27c96,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,3-Propose,75,39220900000.0,100000003,2024-09-09
01007b0a-2425-474c-9839-eaea7dc5018c,2024-09-07,8a4d341e-4ba5-4f41-82d2-0aa3f2b27c96,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,3-Propose,75,39220900000.0,100000003,2024-09-09
5dcedf37-0e93-4e9e-8561-e8f77253486e,2024-09-14,8a4d341e-4ba5-4f41-82d2-0aa3f2b27c96,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,4-Close,95,39220900000.0,100000003,2024-09-09
e8bad221-2672-40f2-bcbd-878b0e06bb2b,2024-08-24,f877fbc4-db00-4586-8ca3-5612b0fd219e,5304317f-af42-412f-b838-b3268e944239,3-Propose,70,4493700000.0,100000002,2024-09-09
7431a270-98f2-4b16-a19f-4eb9c09c413a,2024-08-31,f877fbc4-db00-4586-8ca3-5612b0fd219e,5304317f-af42-412f-b838-b3268e944239,3-Propose,75,4493700000.0,100000003,2024-09-09
d14ac60a-5770-4ab2-986e-b55d2c1d57a2,2024-09-07,f877fbc4-db00-4586-8ca3-5612b0fd219e,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,4493700000.0,100000002,2024-09-09
ad4ec8ff-52c1-4ddf-a9fe-1e1ae60e26a9,2024-08-25,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,3-Propose,65,22803300000.0,100000002,2024-09-10
01254fcf-b910-49cc-bc71-16087f253c84,2024-08-31,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,3-Propose,65,22803300000.0,100000002,2024-09-10
68263e2d-8f8c-4efd-9e1b-c99c52518df0,2024-09-07,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,3-Propose,70,22803300000.0,100000002,2024-09-10
d4e69bc1-f0e9-475c-9d87-fe81dc8fe24a,2024-09-14,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,3-Propose,75,22803300000.0,100000003,2024-09-10
995d154c-76c6-4616-a574-b0a70d60b6ad,2024-09-21,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,3-Propose,65,22803300000.0,100000002,2024-09-10
69def29a-94c1-4463-862b-58fabacd62ec,2024-09-28,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,3-Propose,65,22803300000.0,100000002,2024-09-10
564cd47e-dd43-4264-87b1-6789ec62b30e,2024-10-05,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,4-Close,85,22803300000.0,100000003,2024-09-10
95fd62db-5fc2-452e-9974-99ae110e0a1d,2024-10-12,c526e125-6d25-4689-9b74-b16bc33be859,24933b83-7577-40a9-a491-f0b2ea1fca65,4-Close,90,22803300000.0,100000003,2024-09-10
d6d9de56-6840-4bdd-a5bd-e179b04ad305,2024-08-27,d7e2786d-ff6b-4153-9f9e-156023294408,5304317f-af42-412f-b838-b3268e944239,3-Propose,70,3689900000.0,100000002,2024-09-12
a0c94a61-f3b5-4c60-b14f-b75001b8ed45,2024-08-31,d7e2786d-ff6b-4153-9f9e-156023294408,5304317f-af42-412f-b838-b3268e944239,3-Propose,70,3689900000.0,100000002,2024-09-12
b4415fe9-81d9-4b3b-b86a-4d9c63c606ca,2024-09-07,d7e2786d-ff6b-4153-9f9e-156023294408,5304317f-af42-412f-b838-b3268e944239,3-Propose,60,3689900000.0,100000002,2024-09-12
76cb0846-82f1-44da-8b2c-46dbdf0be051,2024-08-27,b74d79e0-081b-4b20-9f0c-3ee58128ed78,5304317f-af42-412f-b838-b3268e944239,3-Propose,60,52829500000.0,100000002,2024-09-12
78a69002-da5e-4087-9711-8ab243785f05,2024-08-31,b74d79e0-081b-4b20-9f0c-3ee58128ed78,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,52829500000.0,100000002,2024-09-12
ab9d74b0-50ab-4bd5-9773-c920a14aa4c8,2024-09-07,b74d79e0-081b-4b20-9f0c-3ee58128ed78,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,52829500000.0,100000002,2024-09-12
98ed6c16-ac44-4807-a1ad-815818f8b769,2024-09-14,b74d79e0-081b-4b20-9f0c-3ee58128ed78,5304317f-af42-412f-b838-b3268e944239,4-Close,85,52829500000.0,100000003,2024-09-12
d7e4a9ea-9d37-4c66-aeb8-ee1f9a5a96c0,2024-08-27,5ea4d9b3-469a-4b47-942c-a399f2a5e387,9132b63e-f162-47e4-a9c3-49e03602f8ac,1-Qualify,40,10634100000.0,100000001,2024-09-12
9723c72d-6ee9-414e-9108-d00cc0983768,2024-08-31,5ea4d9b3-469a-4b47-942c-a399f2a5e387,9132b63e-f162-47e4-a9c3-49e03602f8ac,3-Propose,90,10634100000.0,100000003,2024-09-12
59222a96-f1a9-4347-b90c-178458f25b67,2024-09-07,5ea4d9b3-469a-4b47-942c-a399f2a5e387,9132b63e-f162-47e4-a9c3-49e03602f8ac,4-Close,95,10634100000.0,100000003,2024-09-12
924377a4-01cb-401d-bdce-465321374392,2024-08-28,a5d265b9-a527-4766-8305-aa61ec187737,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,1-Qualify,30,6712900000.0,100000001,2024-09-13
8c57551a-10d4-4142-8b4e-3010b168b04a,2024-08-31,a5d265b9-a527-4766-8305-aa61ec187737,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,3-Propose,70,6712900000.0,100000002,2024-09-13
4d4b2d64-aad8-4414-bf1d-37aa16fe18f8,2024-09-07,a5d265b9-a527-4766-8305-aa61ec187737,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,4-Close,90,6712900000.0,100000003,2024-09-13
072aead4-0fc4-45aa-84e9-b17af64f3a3b,2024-08-28,3fda8388-751f-4769-933e-0e04c10a59d2,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1-Qualify,40,17413100000.0,100000001,2024-09-13
9df4354f-5cb5-4db8-b471-0b31d8ce3005,2024-08-31,3fda8388-751f-4769-933e-0e04c10a59d2,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1-Qualify,40,17413100000.0,100000001,2024-09-13
8513167d-c6cb-4a9b-9df5-4f197da1e96a,2024-09-07,3fda8388-751f-4769-933e-0e04c10a59d2,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,75,17413100000.0,100000003,2024-09-13
a08f0dae-8b9b-4fbf-afdd-13628380186b,2024-08-31,ac21a335-e93c-4172-8300-6a4d353b597d,5304317f-af42-412f-b838-b3268e944239,3-Propose,65,3032300000.0,100000002,2024-09-16
520ec412-6835-487e-b300-ad45ed1cadcf,2024-09-07,ac21a335-e93c-4172-8300-6a4d353b597d,5304317f-af42-412f-b838-b3268e944239,3-Propose,70,3032300000.0,100000002,2024-09-16
c9c620ea-4336-41a9-8abe-e26bd13076b8,2024-09-01,55a7fce8-1e93-4357-8f92-b4535f8e4e27,e27a984d-6548-41d0-bfcd-9eb1a7cad415,3-Propose,75,11549000000.0,100000003,2024-09-17
