opportunityid,name,customerid,customeridtype,originatingleadid,campaignid,ownerid,createdon,estimatedclosedate,estimatedvalue,ahn_productgroup,ahn_tonnage,ahn_isrepeatbusiness,transactioncurrencyid,actualclosedate,actualvalue,ahn_lossreason,statecode,statuscode,closeprobability,salesstage,stepname,msdyn_forecastcategory,modifiedon
420c3377-16c9-45c3-8b55-730b94f58e2e,55 t Rebar - Mehr Sazeh Co.,1ab88733-80e1-4c41-8a9a-727fb2a12a55,account,4d7efc8e-b68f-40dc-b18b-f53a3864bf75,c3093b6e-37e9-42e2-935a-c07aaa0217d0,5304317f-af42-412f-b838-b3268e944239,2024-08-08T09:39:00Z,2024-08-24,13683000000.0,100000000,55.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-24,,100000002.0,2,5,0,3,4-Close,100000006,2024-08-24T06:32:00Z
c674ef70-e1cd-4046-b697-02719b41d9ff,35 t Hot-Rolled Sheet - Mahtab Builders Co.,d4f10cf9-f12e-43a3-ae77-54d24c4b6f67,account,277dbdc6-37e4-4927-86e5-b1581c5c4751,12b2102d-940c-4503-b7c8-6152beed0af9,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-15T07:13:00Z,2024-08-31,11765500000.0,100000002,35.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-26,11472335000.0,,1,3,100,3,4-Close,100000005,2024-09-26T06:08:00Z
e5a80de2-4fee-4c78-95cc-6bec3826995f,45 t Beams & Sections - Iranmehr Metals Supply Ltd.,f204be89-4a4b-4563-8cf4-77ef18c8a616,account,ac2c96e7-79e9-490b-be1f-cad10e6884d6,12b2102d-940c-4503-b7c8-6152beed0af9,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-08-15T12:39:00Z,2024-08-31,14288800000.0,100000001,45.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-26,14383271000.0,,1,3,100,3,4-Close,100000005,2024-09-26T06:45:00Z
1689d72c-5155-49f4-92ab-3eb624bee05c,145 t Pipes & Profiles - Gilan Foolad Trading Co.,aebeca58-ccb1-4c1e-87db-f6a203e30f78,account,f5d68c8f-299c-4d73-8295-f5c984d77929,c3093b6e-37e9-42e2-935a-c07aaa0217d0,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-08-17T06:27:00Z,2024-09-02,49930900000.0,100000005,145.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-31,,100000005.0,2,4,0,3,4-Close,100000006,2024-08-31T10:37:00Z
4896ee54-487f-4094-8b4f-c0e9eda2ad63,50 t Rebar - Tarava Omran Industries,3a8b17bd-0ac3-4863-ae30-6a4aadc19d07,account,6c9d65d4-f381-4e6b-b88e-b897dc115b32,b34c6c73-5833-4b30-ac77-6e950b981ccd,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-08-19T07:03:00Z,2024-09-04,12678800000.0,100000000,50.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-08-28,,100000006.0,2,4,0,1,2-Develop,100000006,2024-08-28T11:36:00Z
b6838827-3509-455e-8ac3-5410eb3e0e8a,1360 t Rebar - Varna Dam & Water Works Co.,46327360-c45d-4c03-b4f6-b97ef998aaa1,account,68a650ce-f7fb-48d5-8e28-a0886771dc17,98874bfe-c136-4c65-ae2a-e3413f59e4f2,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-08-20T05:07:00Z,2024-10-07,337063100000.0,100000000,1360.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-29,,100000000.0,2,5,0,3,4-Close,100000006,2024-09-29T10:42:00Z
a9529fa4-15bf-4efd-acd7-61701d0dc3cd,10 t Wire Rod - Orang Greenhouse Structures Ltd.,d57a1134-c82f-48db-9bc6-9dfca6a148c3,account,0003ed63-ab3e-481d-bca2-e89382d8dfa7,12b2102d-940c-4503-b7c8-6152beed0af9,5304317f-af42-412f-b838-b3268e944239,2024-08-21T08:57:00Z,2024-09-06,2459800000.0,100000006,10.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-11,2519256000.0,,1,3,100,3,4-Close,100000005,2024-09-11T10:17:00Z
b38f6de4-90c8-400b-bad0-8f4597826620,35 t Hot-Rolled Sheet - Arvand Builders Group,95517152-f060-4f3e-addd-b4ed63ed5635,account,975f455b-cf4d-4e6c-b88b-4ccdbabddfea,b34c6c73-5833-4b30-ac77-6e950b981ccd,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-08-21T13:29:00Z,2024-09-06,11654400000.0,100000002,35.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-18,,100000001.0,2,5,0,3,4-Close,100000006,2024-09-18T07:54:00Z
8a4d341e-4ba5-4f41-82d2-0aa3f2b27c96,160 t Rebar - Saba Metals Supply Group,c33a8761-618f-478a-a66b-4b6db9ec28ff,account,60fba34c-3701-42fd-b09f-e5ab5813d72f,c3093b6e-37e9-42e2-935a-c07aaa0217d0,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-08-24T06:31:00Z,2024-09-09,39220900000.0,100000000,160.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-17,,100000001.0,2,5,0,3,4-Close,100000006,2024-09-17T07:25:00Z
f877fbc4-db00-4586-8ca3-5612b0fd219e,10 t Galvanized Sheet - Sabalan Appliance Components Industries,c0d4173b-aa58-40e6-86ef-a55196d0ae38,account,de3e2bc2-ba17-4ab1-8ca3-24c619020277,12b2102d-940c-4503-b7c8-6152beed0af9,5304317f-af42-412f-b838-b3268e944239,2024-08-24T12:11:00Z,2024-09-09,4493700000.0,100000004,10.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-12,4521030000.0,,1,3,100,3,4-Close,100000005,2024-09-12T10:57:00Z
c526e125-6d25-4689-9b74-b16bc33be859,95 t Wire Rod - Diba Foolad Trading Group,41a5bf2e-76f4-4d2d-9981-9f9d349de483,account,22409062-337f-4624-a962-3159d2558be5,,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-08-25T07:39:00Z,2024-09-10,22803300000.0,100000006,95.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-13,,100000001.0,2,5,0,3,4-Close,100000006,2024-10-13T07:07:00Z
d7e2786d-ff6b-4153-9f9e-156023294408,15 t Wire Rod - Sabalan Agri-Steel Ltd.,5c978975-f500-4058-8c3b-491fbb27dcbb,account,1f3db3ac-c0e4-4ec7-b617-9ea996d0a7d2,12b2102d-940c-4503-b7c8-6152beed0af9,5304317f-af42-412f-b838-b3268e944239,2024-08-27T07:29:00Z,2024-09-12,3689900000.0,100000006,15.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-10,,100000005.0,2,4,0,2,3-Propose,100000006,2024-09-10T09:53:00Z
b74d79e0-081b-4b20-9f0c-3ee58128ed78,205 t Rebar - Javid Omran Industries,4f6b58c8-598d-4aec-aaaf-e5432434a678,account,f6003f09-9d53-47f8-89a9-17d6c43953ed,b34c6c73-5833-4b30-ac77-6e950b981ccd,5304317f-af42-412f-b838-b3268e944239,2024-08-27T08:29:00Z,2024-09-12,52829500000.0,100000000,205.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-18,,100000005.0,2,4,0,3,4-Close,100000006,2024-09-18T10:57:00Z
5ea4d9b3-469a-4b47-942c-a399f2a5e387,40 t Rebar - Arya Builders Ltd.,e10b1a47-7fae-4748-b781-321e83c501cb,account,8c30bb02-1636-444e-9491-cdf9fe5dc72a,12b2102d-940c-4503-b7c8-6152beed0af9,9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-08-27T11:38:00Z,2024-09-12,10634100000.0,100000000,40.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-10,,100000003.0,2,4,0,3,4-Close,100000006,2024-09-10T06:50:00Z
a5d265b9-a527-4766-8305-aa61ec187737,15 t Galvanized Sheet - Hamoon Golkhaneh Sazan Co.,2b0ee2c8-44b9-4f9c-8a49-d83b4f5c6a32,account,bbc7f19e-2f50-4acb-bee1-d728e9909a64,12b2102d-940c-4503-b7c8-6152beed0af9,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-08-28T04:43:00Z,2024-09-13,6712900000.0,100000004,15.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-07,,100000000.0,2,5,0,3,4-Close,100000006,2024-09-07T05:30:00Z
3fda8388-751f-4769-933e-0e04c10a59d2,50 t Pipes & Profiles - Taban Sakhteman Co.,57e9687c-436d-410d-b8ec-06fe4a5e84b3,account,b9d955d8-5b68-44a9-a5ff-60865f62c1be,12b2102d-940c-4503-b7c8-6152beed0af9,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-08-28T06:43:00Z,2024-09-13,17413100000.0,100000005,50.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-12,,100000002.0,2,5,0,2,3-Propose,100000006,2024-09-12T09:22:00Z
ac21a335-e93c-4172-8300-6a4d353b597d,10 t Beams & Sections - Sahand-Iranmehr Fabrication Works,83aabf08-2024-45b5-98d0-5a5948724928,account,35294a5f-c57e-4ad3-851e-22c277194818,,5304317f-af42-412f-b838-b3268e944239,2024-08-31T12:28:00Z,2024-09-16,3032300000.0,100000001,10.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-10,3014464000.0,,1,3,100,3,4-Close,100000005,2024-09-10T13:18:00Z
55a7fce8-1e93-4357-8f92-b4535f8e4e27,45 t Rebar - Persis Contracting Co.,f5141058-3138-4975-bbf3-3a349c2dfa97,account,01a77438-cd5a-408a-8787-3c5e24a6f558,b34c6c73-5833-4b30-ac77-6e950b981ccd,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-01T09:46:00Z,2024-09-17,11549000000.0,100000000,45.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-22,,100000000.0,2,5,0,3,4-Close,100000006,2024-09-22T06:26:00Z
f82aad36-89c0-4ff0-9d4f-4215d46be0f2,235 t Beams & Sections - Hirad Steel Structures Group,c7d4f9ba-cf77-45c0-940b-86685d7b783f,account,ae0e317d-5056-4fa8-9006-9ffb876cae1c,b34c6c73-5833-4b30-ac77-6e950b981ccd,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-09-02T10:38:00Z,2024-09-18,79594800000.0,100000001,235.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-12,79432582000.0,,1,3,100,3,4-Close,100000005,2024-09-12T08:47:00Z
fe212f5b-5d8d-4406-8242-3206de34c4d3,105 t Pipes & Profiles - Zagros Steel Trading Industries,61c9e3d4-b2da-486e-aecf-dd43e8fabfb4,account,92b89c2a-e4ac-44e1-8e96-7fb8e85580e4,b34c6c73-5833-4b30-ac77-6e950b981ccd,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-09-03T05:07:00Z,2024-09-19,37849900000.0,100000005,105.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-12,,100000003.0,2,4,0,2,3-Propose,100000006,2024-09-12T08:30:00Z
912cb8b4-5bc8-48a5-ba06-1bad345b428c,20 t Beams & Sections - Tina Steel Structures Co.,f836f571-3cce-476c-b836-c448ad261ec5,account,c7727807-4524-48de-b6e2-d60f89d00d69,b34c6c73-5833-4b30-ac77-6e950b981ccd,5304317f-af42-412f-b838-b3268e944239,2024-09-04T12:01:00Z,2024-09-20,6156400000.0,100000001,20.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-02,,100000005.0,2,4,0,1,2-Develop,100000006,2024-10-02T07:31:00Z
9dc4ce08-d020-4059-826c-24327c3d7b49,210 t Rebar - Espadana Sakhteman Industries,250768f2-ba0e-4d56-a045-1dbd1835e89b,account,bb5e14d6-5b74-4fdd-9c97-46949884f76d,98874bfe-c136-4c65-ae2a-e3413f59e4f2,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-09-05T11:54:00Z,2024-09-21,55003500000.0,100000000,210.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-06,,100000004.0,2,4,0,3,4-Close,100000006,2024-10-06T07:29:00Z
b4dd5307-0b30-4c62-bfa1-d66b18f59446,105 t Rebar - Mahtab Construction Co.,b4b4aba9-4db7-4ad7-85c3-822093cc50ac,account,b19aadda-2af4-4faa-a340-02665d5ba987,12b2102d-940c-4503-b7c8-6152beed0af9,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-09-07T05:29:00Z,2024-09-23,26706400000.0,100000000,105.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-18,,100000003.0,2,4,0,2,3-Propose,100000006,2024-09-18T12:08:00Z
57658e13-d6f1-4320-8f2c-e5b9e850ad62,125 t Hot-Rolled Sheet - Chakad Profile Works Industries,17158cbe-342b-4225-9873-7a1d4d6d1f82,account,bf6a806a-ea70-4729-898a-90241503a2aa,12b2102d-940c-4503-b7c8-6152beed0af9,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-07T06:24:00Z,2024-09-23,41873500000.0,100000002,125.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-19,41699166000.0,,1,3,100,3,4-Close,100000005,2024-09-19T09:09:00Z
839fc54a-0b26-4728-aa04-56776ac494c2,200 t Rebar - Tarava Ahan Bazar Ltd.,c90b07d5-ab8a-4c06-91db-bb3f71ac8e6c,account,7f3b8cbb-390a-4e15-a051-d2a324f1d56e,b34c6c73-5833-4b30-ac77-6e950b981ccd,5304317f-af42-412f-b838-b3268e944239,2024-09-07T06:34:00Z,2024-09-23,52847000000.0,100000000,200.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-21,,100000001.0,2,5,0,3,4-Close,100000006,2024-09-21T11:26:00Z
21f110f3-9703-4a74-86ed-4e3453836097,120 t Beams & Sections - Fardis Foolad Trading Group,512896b9-d1a8-470a-afba-959b5ff1e393,account,ea2aaae9-60a6-4e36-85d9-6457a10db698,b34c6c73-5833-4b30-ac77-6e950b981ccd,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-09-09T09:09:00Z,2024-09-25,37284000000.0,100000001,120.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-23,37659460000.0,,1,3,100,3,4-Close,100000005,2024-10-23T10:16:00Z
29c96736-26cf-465a-95fa-4e8b405913ab,75 t Rebar - Diba Construction Group,b5abf569-b825-4bbb-9086-fcf7f71b0645,account,c0b30303-af47-4a0b-a7fd-3482b7c9debe,b34c6c73-5833-4b30-ac77-6e950b981ccd,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-09-11T04:50:00Z,2024-09-27,20135000000.0,100000000,75.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-23,,100000003.0,2,4,0,3,4-Close,100000006,2024-09-23T07:35:00Z
376ed1bf-5875-43b7-bba6-f9be99651c91,10 t Cold-Rolled Sheet - Arman Appliance Components Ltd.,007b453d-71ac-442c-8d4c-b4c5a3597308,account,691973ce-3183-4226-86d5-75e01e18446b,b34c6c73-5833-4b30-ac77-6e950b981ccd,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-11T06:13:00Z,2024-09-27,3931700000.0,100000003,10.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-21,,100000002.0,2,5,0,1,2-Develop,100000006,2024-09-21T13:06:00Z
28c7db88-5f71-4df9-b4bf-393b39e29a6d,155 t Rebar - Hirad Housing Development Ltd.,70647540-74ca-4521-a3ef-54b770d230e3,account,c8233e35-68e6-4ec7-ae75-ff6421d8f576,b34c6c73-5833-4b30-ac77-6e950b981ccd,beb79919-3f22-4af8-a3be-d01d43cf2fde,2024-09-11T09:36:00Z,2024-10-29,38526000000.0,100000000,155.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-31,,100000002.0,2,5,0,1,2-Develop,100000006,2024-10-31T06:34:00Z
e388d11f-d162-47e2-bf35-e6031ebf333b,55 t Rebar - Bamdad-Varna Sazeh,5d216163-7928-46ea-a29c-c46a9ab46c07,account,39c69927-fe50-4856-9dad-3425f6111882,,5304317f-af42-412f-b838-b3268e944239,2024-09-15T07:52:00Z,2024-10-01,14134000000.0,100000000,55.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-21,,100000004.0,2,4,0,3,4-Close,100000006,2024-10-21T06:31:00Z
00f901be-3a37-4645-a5df-8d4a4b1b9e7c,30 t Hot-Rolled Sheet - Kowsar-Tous Contracting,03dc0370-0e44-4a05-b3d4-5809c624b618,account,2548d5c9-22e8-4baa-8c46-39a254735c2e,,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-15T08:49:00Z,2024-10-01,9800700000.0,100000002,30.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-09-28,,100000003.0,2,4,0,3,4-Close,100000006,2024-09-28T05:07:00Z
d607bb17-80cc-499e-bd40-466c91a38a10,315 t Hot-Rolled Sheet - Tous Steel Depot Group,8b17251e-7f11-4d61-b24c-7474030aaf26,account,3dfa3c12-ca2d-4883-a282-1da3be2a1c20,649f7d88-8989-45ab-be2b-34d82db0728d,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2024-09-18T06:01:00Z,2024-10-04,104129200000.0,100000002,315.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-10,107176379000.0,,1,3,100,3,4-Close,100000005,2024-10-10T10:11:00Z
c01a48b1-6937-4c46-9c3a-bd2a62ccac09,60 t Cold-Rolled Sheet - Karun Press Works Ltd.,44bb84b2-4a1e-4e91-933e-db88f9c2f1f5,account,c0a7fa27-7532-4c23-b4d5-7cd5a3e1de7c,1e5ebe54-5907-4299-9c3b-bdd8a74e02a9,24933b83-7577-40a9-a491-f0b2ea1fca65,2024-09-21T05:30:00Z,2024-10-07,23716800000.0,100000003,60.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-22,24231549000.0,,1,3,100,3,4-Close,100000005,2024-10-22T12:56:00Z
7450f00c-c846-45c1-a233-2726097c98e3,260 t Wire Rod - Ilia Foolad Trading Group,0971bee4-553d-4bba-aada-3e53e58b2476,account,d3b4dfe7-f198-4627-b015-275161f5a5ff,1e5ebe54-5907-4299-9c3b-bdd8a74e02a9,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-09-21T07:09:00Z,2024-10-07,64201400000.0,100000006,260.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-02,,100000002.0,2,5,0,1,2-Develop,100000006,2024-10-02T10:13:00Z
c16491f0-d11d-40f7-b427-0c94562fc272,95 t Rebar - Parsian-Orang Contracting,41e3d824-84e6-44c0-8f30-33315bfe6588,account,92273baf-04e4-4e45-ba8f-b1a4a14cd08f,649f7d88-8989-45ab-be2b-34d82db0728d,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-09-21T12:00:00Z,2024-10-07,24540600000.0,100000000,95.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-06,,100000003.0,2,4,0,3,4-Close,100000006,2024-10-06T12:28:00Z
624c2f33-ddee-4cec-b3af-6b066c9460ac,20 t Galvanized Sheet - Tina Press Works Group,80471ddd-9709-4584-b3d1-07d7038fb640,account,72a42452-f1fa-407f-8080-910b945d5cbb,1e5ebe54-5907-4299-9c3b-bdd8a74e02a9,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-09-22T04:40:00Z,2024-10-08,9078500000.0,100000004,20.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-12,,100000001.0,2,5,0,3,4-Close,100000006,2024-10-12T08:48:00Z
9f5367fb-82f6-41d9-8db8-e652c02ff878,465 t Rebar - Pouya Steel Trading Group,ebbb547d-e8d4-43a2-87bf-f1a5f8ae4471,account,faa875f1-5319-442c-b78f-e9f5bf87d19f,649f7d88-8989-45ab-be2b-34d82db0728d,e27a984d-6548-41d0-bfcd-9eb1a7cad415,2024-09-22T11:38:00Z,2024-10-08,116862000000.0,100000000,465.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-14,,100000001.0,2,5,0,3,4-Close,100000006,2024-10-14T08:00:00Z
c9f8892c-f9c9-48ff-9c6e-cbd2771e996c,40 t Hot-Rolled Sheet - Vista-Sahand Eskelet Felezi,380c10f6-39b8-4c77-aa25-15bbfe1da55b,account,32421a9c-2a45-4c82-a272-79aad87c0089,,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-09-23T08:11:00Z,2024-10-09,13515200000.0,100000002,40.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-01,13681847000.0,,1,3,100,3,4-Close,100000005,2024-10-01T06:13:00Z
930fd1fd-72ee-4462-9ce8-f06bc3f9a546,160 t Hot-Rolled Sheet - Espadana Loleh Sazi Industries,a450fbaa-3948-42a0-ae6c-d8491aae8a21,account,a5445a7d-52d6-49e8-8774-f12408a2b53b,649f7d88-8989-45ab-be2b-34d82db0728d,0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-09-23T11:05:00Z,2024-10-09,50789700000.0,100000002,160.0,False,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01,2024-10-06,,100000000.0,2,5,0,3,4-Close,100000006,2024-10-06T12:21:00Z
