salesorderdetailid,salesorderid,productid,uomid,quantity,priceperunit,baseamount,manualdiscountamount,extendedamount,ahn_costperton,sequencenumber,transactioncurrencyid
2c8fbe55-7164-42ba-8c14-a123771844b2,d549eee9-0939-412a-91fd-788a457ca8bc,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,10.0,311400000.0,3114000000.0,99536000.0,3014464000.0,286029000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
233398e5-a874-4a3f-93b3-7d74d07311ba,5aa77e2e-39ae-4e5f-b62e-19902b721350,c241330b-01a9-471f-9e8a-774bcf36d58b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,235.0,345100000.0,81098500000.0,1665918000.0,79432582000.0,312198000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f3fc4581-62a7-4423-97a8-6a1214d2405b,2cf9b230-676f-4928-89aa-286dffd16bb4,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,125.0,348700000.0,43587500000.0,1888334000.0,41699166000.0,327265000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
21ebf7fd-ffd9-4e32-a53c-c1257bd498d0,7c21feb4-7cd8-4833-b6f3-a9f29d80cd2f,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,53.0,318900000.0,16901700000.0,787877000.0,16113823000.0,284931000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
70f8f0c2-ff19-42a8-86f6-56e7bf9765b1,7c21feb4-7cd8-4833-b6f3-a9f29d80cd2f,47378190-96da-4dac-b2ff-5d2a386ecbe0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,67.0,337300000.0,22599100000.0,1053463000.0,21545637000.0,302042000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d7f6d8c8-56e9-4bae-a33a-c8b163930f59,18e8edff-38e6-4127-a05f-6b13dd83fc2a,1a2a73ed-562b-4f79-8374-59eef50bea63,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,271.5,350100000.0,95052150000.0,2781866000.0,92270284000.0,311540000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0645ddbc-1794-4e05-9e2e-2eff78aa6915,18e8edff-38e6-4127-a05f-6b13dd83fc2a,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,43.5,353000000.0,15355500000.0,449405000.0,14906095000.0,322548000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
27237c1a-6172-4155-a77b-af460d7eee5e,16206c96-b857-45b4-812e-796cf47cde0f,759cde66-bacf-43d0-8b1f-9163ce9ff57f,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,60.0,416300000.0,24978000000.0,746451000.0,24231549000.0,364986000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
434e1ded-5218-43bd-82c7-c36d6d5a4531,3972955f-f318-48ac-b287-62cda517adae,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,40.0,353000000.0,14120000000.0,438153000.0,13681847000.0,322548000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c7d8ca9f-917b-4af7-a33a-15ba03a331eb,f3f54308-87d4-4e6d-93fe-da787e39a37c,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,53.5,353000000.0,18885500000.0,1129766000.0,17755734000.0,322548000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b58b82e7-2758-47ee-b8dd-cdccb8531458,f3f54308-87d4-4e6d-93fe-da787e39a37c,5be6128e-18c2-4797-a142-ea7d17be3111,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,56.5,342400000.0,19345600000.0,1157290000.0,18188310000.0,311910000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
cf8ece69-3e61-4141-8954-58de56b72970,e9107c1f-86d2-4d72-80d3-df6e18001549,47378190-96da-4dac-b2ff-5d2a386ecbe0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,3.5,337300000.0,1180550000.0,76784000.0,1103766000.0,302042000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7fe7929f-01a8-4a3d-8a7f-ef8d742a18be,e9107c1f-86d2-4d72-80d3-df6e18001549,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,16.5,318900000.0,5261850000.0,342236000.0,4919614000.0,284931000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
b6fb3783-cac1-49a1-81cb-f6610aa3e555,a32f0b9a-fb12-45ff-a82c-428511f01e84,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,255.0,371800000.0,94809000000.0,3940040000.0,90868960000.0,327391000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
567f2fa9-67ae-4c86-ab61-535fb8f09edc,e013f345-7670-45a5-8b9c-988a5bb24e92,1a2a73ed-562b-4f79-8374-59eef50bea63,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,170.0,350100000.0,59517000000.0,2065196000.0,57451804000.0,311540000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
4272d660-797d-42d7-a819-954c48cd8763,8844f32b-5b13-4988-8d15-ab18df40268c,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,128.5,353000000.0,45360500000.0,2113406000.0,43247094000.0,322548000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
957e3ee9-ca5d-41b5-8ec1-e5943f020e31,8844f32b-5b13-4988-8d15-ab18df40268c,1a2a73ed-562b-4f79-8374-59eef50bea63,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,46.5,350100000.0,16279650000.0,758491000.0,15521159000.0,311540000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7b3dd48a-78dc-4da7-b1d4-20cbaaa90e31,27362677-4b13-4b6a-8ef0-5e0879c3de2a,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,65.0,318900000.0,20728500000.0,637640000.0,20090860000.0,284931000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0fd4450f-e520-4b36-b1fc-088033035d5b,17e0c203-6623-49bc-9aa6-99cad1b3f6b1,47378190-96da-4dac-b2ff-5d2a386ecbe0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,25.0,337300000.0,8432500000.0,216736000.0,8215764000.0,302042000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0a2d92b9-3264-44a7-aefd-3f61b4aeaec9,3e027b1f-e38d-4d98-b39b-fd7bc906f88b,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,126.5,272500000.0,34471250000.0,687554000.0,33783696000.0,246934000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5a6a7a8a-bc0e-4524-b4ee-230d551fea2e,3e027b1f-e38d-4d98-b39b-fd7bc906f88b,972a8469-1641-4f82-8b9d-2434e465e150,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,55.5,268300000.0,14890650000.0,297005000.0,14593645000.0,247494000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d04a2fb5-8172-4148-b000-13c5769cfef7,3e027b1f-e38d-4d98-b39b-fd7bc906f88b,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,37.5,283600000.0,10635000000.0,212123000.0,10422877000.0,258528000.0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
bcad70e6-7721-4b19-92f2-272ff481503e,8654e1ba-d900-4b8f-98ea-677300b2c0cd,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,100.0,290500000.0,29050000000.0,710409000.0,28339591000.0,273020000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
566a6ecb-c623-4827-a044-45816c8200e1,e0a043ae-c0e2-4abf-aff2-7e2f520b81d7,e2acf72f-9e57-4f7a-a0ee-89aed453dd32,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,50.0,484400000.0,24220000000.0,1121123000.0,23098877000.0,412587000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
a9aa3f8e-b462-4a78-8ba3-62230dcb8393,5f9838db-6116-4281-aa53-916fc39f26ff,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,56.0,374000000.0,20944000000.0,618579000.0,20325421000.0,326525000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6b0a1a02-b17c-49c7-92be-526a6a711aa0,5f9838db-6116-4281-aa53-916fc39f26ff,5be6128e-18c2-4797-a142-ea7d17be3111,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,19.0,356300000.0,6769700000.0,199942000.0,6569758000.0,316720000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
33f606be-407e-4860-8f05-cf51af06f6b1,fde83a03-e55f-4c76-bc40-9354dcc202e5,759cde66-bacf-43d0-8b1f-9163ce9ff57f,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,65.0,424300000.0,27579500000.0,746342000.0,26833158000.0,376752000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0cb91056-fefc-4206-ba72-b44da437d21b,0f7aff6e-54b9-4b3b-8f6c-a162f0773f92,9a1de644-815e-46d1-bb8f-aa1837f8a88b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,25.0,260200000.0,6505000000.0,419140000.0,6085860000.0,238144000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
23ca9cae-ea75-4c83-911d-4c32e0d3bb50,0f7aff6e-54b9-4b3b-8f6c-a162f0773f92,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,14.0,272500000.0,3815000000.0,245814000.0,3569186000.0,246934000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
45c7e25a-18bd-489c-9802-1fa042f3707a,0f7aff6e-54b9-4b3b-8f6c-a162f0773f92,17fc695a-07a0-4a6e-8822-e8f36c031199,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,11.0,267500000.0,2942500000.0,189596000.0,2752904000.0,248804000.0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
65ff91ec-71b8-4fab-8af1-64976c95acf9,f4f839d9-8581-416a-b4bc-ee91513d25a1,759cde66-bacf-43d0-8b1f-9163ce9ff57f,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,70.0,416300000.0,29141000000.0,610099000.0,28530901000.0,364986000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c7598085-f8ed-4b28-8c38-392d4fd2f1b0,0ae43bba-ec31-4978-93b4-d12154eef4d6,17fc695a-07a0-4a6e-8822-e8f36c031199,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,80.0,276600000.0,22128000000.0,868003000.0,21259997000.0,250112000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
df01c92f-7b7b-4c63-a60a-f14992852bea,83382f03-cd47-48f9-9fb8-f6cf70988dac,1a2a73ed-562b-4f79-8374-59eef50bea63,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,170.0,350100000.0,59517000000.0,1394640000.0,58122360000.0,311540000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d55fe520-572a-4c96-b393-94bee5e8f2d9,6c73425a-496e-456d-b790-a3f0c878cc30,5be6128e-18c2-4797-a142-ea7d17be3111,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,185.0,356300000.0,65915500000.0,2896695000.0,63018805000.0,316720000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
29e37c0f-235c-42e3-9376-610a423920d1,04e10a96-5ee2-40c4-b5e2-fdf8fa7ca745,17fc695a-07a0-4a6e-8822-e8f36c031199,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,95.0,276600000.0,26277000000.0,691304000.0,25585696000.0,250112000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7adc31bc-3c52-418e-9d9e-33b4a1be370f,b5f9a053-d574-4ebb-9a6b-f9baa28e0a22,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,86.0,281600000.0,24217600000.0,827241000.0,23390359000.0,254788000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3b9baee7-7d90-44e1-b994-3f278b1d936f,b5f9a053-d574-4ebb-9a6b-f9baa28e0a22,23b8c1e9-3924-46de-beb1-3b9046685257,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,54.0,283800000.0,15325200000.0,523489000.0,14801711000.0,255442000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e5f473fa-1692-4e3d-88db-f0602f62b4d5,6f15656e-a194-4e27-a9a4-7ca4688807e1,17fc695a-07a0-4a6e-8822-e8f36c031199,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,19.0,276600000.0,5255400000.0,125752000.0,5129648000.0,250112000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
70bbe127-6776-49d3-b313-f6f80e7be49b,6f15656e-a194-4e27-a9a4-7ca4688807e1,972a8469-1641-4f82-8b9d-2434e465e150,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,14.5,278500000.0,4038250000.0,96628000.0,3941622000.0,250860000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
71bc1735-fb1e-4879-bdb2-5a4474f7eab5,6f15656e-a194-4e27-a9a4-7ca4688807e1,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,36.5,281600000.0,10278400000.0,245943000.0,10032457000.0,254788000.0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
667491b7-057c-4b05-8d17-e35f948fe521,2427b821-3623-46a2-94c0-7a4564b96ddb,23b8c1e9-3924-46de-beb1-3b9046685257,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,22.5,283800000.0,6385500000.0,485077000.0,5900423000.0,255442000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f8c43847-5d44-4558-b1c5-24a83cfbdc82,2427b821-3623-46a2-94c0-7a4564b96ddb,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,28.5,292000000.0,8322000000.0,632184000.0,7689816000.0,265166000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
77944be1-43b0-496a-aeb7-7f0a78f93d00,2427b821-3623-46a2-94c0-7a4564b96ddb,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,34.0,281600000.0,9574400000.0,727323000.0,8847077000.0,254788000.0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5fecd211-7cde-41cb-9b7b-edefb888a538,5840eb72-3936-4f68-bf65-4c5477983209,1a2a73ed-562b-4f79-8374-59eef50bea63,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,9.0,357200000.0,3214800000.0,93190000.0,3121610000.0,323842000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
497f24ec-d61a-4612-b9c6-2c6845f18de5,5840eb72-3936-4f68-bf65-4c5477983209,5be6128e-18c2-4797-a142-ea7d17be3111,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,51.0,356300000.0,18171300000.0,526743000.0,17644557000.0,316720000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
ad701caf-9826-4562-a62a-5af060994eed,8dd8c95b-deef-4508-bd85-9f6f5bbc8128,9a1de644-815e-46d1-bb8f-aa1837f8a88b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,149.0,270400000.0,40289600000.0,1415292000.0,38874308000.0,243287000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
6f518b8b-ee3e-44fc-9df4-c2510280426b,8dd8c95b-deef-4508-bd85-9f6f5bbc8128,972a8469-1641-4f82-8b9d-2434e465e150,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,226.0,278500000.0,62941000000.0,2210991000.0,60730009000.0,250860000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
d136db1a-d27d-48bb-ae6f-0ae8d6e816d3,0355363a-10ae-4021-b558-531a5e8c9510,972a8469-1641-4f82-8b9d-2434e465e150,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,30.5,278500000.0,8494250000.0,226814000.0,8267436000.0,250860000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
1caa40e1-e748-40f2-a944-91f0356b47c6,0355363a-10ae-4021-b558-531a5e8c9510,17fc695a-07a0-4a6e-8822-e8f36c031199,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,64.5,276600000.0,17840700000.0,476383000.0,17364317000.0,250112000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
94945cc8-c1f9-455f-9a3d-3e97953fe33b,84fa406b-ce2b-423b-bfca-442ee3a057b4,4b0dbb41-8d52-48f1-942c-3fe860e7a113,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,35.0,502300000.0,17580500000.0,190288000.0,17390212000.0,431438000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
e47ad260-dd7b-4534-9f5a-04d9d5094d65,7818382a-53df-410f-9da7-a4e58b62c2e9,371ecd7b-27cd-4130-8722-9389571aa876,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,160.0,406000000.0,64960000000.0,4820413000.0,60139587000.0,367098000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
da6df494-17b0-46dc-a9b1-8d730d9a5eab,7818382a-53df-410f-9da7-a4e58b62c2e9,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,60.0,400400000.0,24024000000.0,1782722000.0,22241278000.0,361242000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
af41c896-388b-4898-8501-ce93506061c0,7818382a-53df-410f-9da7-a4e58b62c2e9,c241330b-01a9-471f-9e8a-774bcf36d58b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,44.5,437700000.0,19477650000.0,1445356000.0,18032294000.0,392718000.0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c8a534f5-db4e-4ee9-8a5d-d8e85cae5ec9,8da411b6-894c-4c78-ad9e-3fc464114680,bdd640fb-0667-4ad1-9c80-317fa3b1799d,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,16.0,292000000.0,4672000000.0,142741000.0,4529259000.0,265166000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3c254926-5520-4e1f-aac3-96da504ecd34,8da411b6-894c-4c78-ad9e-3fc464114680,23b8c1e9-3924-46de-beb1-3b9046685257,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,49.0,283800000.0,13906200000.0,424868000.0,13481332000.0,255442000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
36722183-db83-459d-bc80-8bbb8aea1e3c,307e1c89-c659-45b8-883f-55e353af2d8b,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,25.0,417100000.0,10427500000.0,455445000.0,9972055000.0,374218000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
f546aabc-f61d-49e3-b58f-4c9cdc7894ba,580ee961-c2ee-4280-90f1-6f10cb36df00,9a1de644-815e-46d1-bb8f-aa1837f8a88b,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,108.5,270400000.0,29338400000.0,649784000.0,28688616000.0,243287000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
3098f4d6-e37d-4062-b7de-71e09036a459,580ee961-c2ee-4280-90f1-6f10cb36df00,17fc695a-07a0-4a6e-8822-e8f36c031199,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,171.5,276600000.0,47436900000.0,1050628000.0,46386272000.0,250112000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
5dfff86b-6f28-4b1a-b33a-b280b38213c0,16c9e74c-dac8-4de7-9d6b-fb759ba695e3,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,3.5,401700000.0,1405950000.0,32901000.0,1373049000.0,344486000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
0ca44c57-b799-4607-8f7b-01386b7ddf22,16c9e74c-dac8-4de7-9d6b-fb759ba695e3,a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,12.0,383000000.0,4596000000.0,107553000.0,4488447000.0,332761000.0,2,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
c2de2dd6-fa60-4ccf-a412-9624f934c22c,16c9e74c-dac8-4de7-9d6b-fb759ba695e3,3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,24.5,381900000.0,9356550000.0,218956000.0,9137594000.0,334193000.0,3,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
7d0e4e54-648c-444c-9e2c-a5d5d5b16f34,1fe82970-5264-479d-8444-9da1094e271a,972a8469-1641-4f82-8b9d-2434e465e150,3b0b0e6c-5a36-4b8e-8c1e-0d7c5e2f9a11,31.5,278500000.0,8772750000.0,561719000.0,8211031000.0,250860000.0,1,7f5b6f7e-1c2d-4a4e-9a51-3a3f1d3c0a01
