incidentid,ticketnumber,title,customerid,customeridtype,ahn_salesorderid,ahn_shipmentid,casetypecode,ahn_casecategory,ahn_investigatingteam,prioritycode,caseorigincode,ownerid,createdon,responseby,resolveby,firstresponsesent,ahn_firstresponseon,isescalated,escalatedon,ahn_claimupheld,ahn_compensationamount,customersatisfactioncode,statecode,statuscode,modifiedon
1fa2180a-6906-4b86-814a-4784b5c94126,CAS-00020-AFT2PU,Invoice dispute: ORD-000093,e58d67fe-7fcf-4fd6-b337-ac967f2cd3dc,account,b1edd3e6-6d56-44ab-9806-79127d5fc92a,2f2ec1e8-c855-4900-872e-2d1b0858a237,2,100000004,100000004,2,3,7931db9d-7b28-4616-ab82-a35fc263b420,2025-03-01T06:45:49Z,2025-03-01T10:45:49Z,2025-03-06T06:45:49Z,True,2025-03-01T08:23:55Z,False,,False,0.0,3.0,1,5,2025-03-04T15:55:18Z
527bfad7-12db-4998-952b-c4ed5acc3567,CAS-00021-AHE8DU,Weight discrepancy: ORD-000100,8b609d1e-6c72-4cf8-a11d-b3501169d505,account,33738b87-65a4-4813-939c-457043444bee,fa91ef2a-7d6c-4004-994b-36b0e44f3664,2,100000000,100000001,2,3,4cae8e39-e278-419b-94aa-01f9ef63cd2c,2025-03-08T15:14:57Z,2025-03-08T19:14:57Z,2025-03-13T15:14:57Z,True,2025-03-08T17:06:37Z,False,,False,0.0,,1,5,2025-03-10T20:35:24Z
156fd252-9fdb-4c07-a18f-829dd9d39e09,CAS-00022-QPBCCB,Damaged or rusted material: ORD-000107,504bd946-93c9-4ed3-b937-3c139a706219,account,f366bc5e-e537-4fd0-a30f-7d44bd78da81,cca80463-dd95-43c2-9618-7890a6641a81,2,100000003,100000003,1,2,7931db9d-7b28-4616-ab82-a35fc263b420,2025-03-12T03:18:09Z,2025-03-12T05:18:09Z,2025-03-14T03:18:09Z,True,2025-03-12T05:34:30Z,False,,False,0.0,3.0,1,5,2025-03-13T05:52:58Z
b3f5ece7-524a-4bb7-a3de-8eafd3daa4d6,CAS-00023-WXVRAM,Late delivery: ORD-000132,eebd342d-22d9-4b18-8680-55f355114558,account,ad2a583e-5ee8-4605-bb69-303acf1533af,489584f5-4404-47b7-97e7-46307342ed4c,2,100000001,100000002,2,2,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-05-01T16:34:39Z,2025-05-01T20:34:39Z,2025-05-06T16:34:39Z,True,2025-05-01T20:16:40Z,False,,False,0.0,3.0,1,5,2025-05-02T03:10:09Z
938b3a01-c5fe-4ae9-94dc-cc35e29e2154,CAS-00024-3Y8SNE,Weight discrepancy: ORD-000145,320727ab-24c9-4c0e-887e-e883f34a26e4,account,137de048-f8ce-4a46-bb67-3f53c5e2e469,5c97f0a1-044b-44b4-b419-624815e820bf,2,100000000,100000001,2,1,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-06-14T19:56:44Z,2025-06-14T23:56:44Z,2025-06-19T19:56:44Z,True,2025-06-14T21:42:14Z,False,,False,0.0,3.0,1,5,2025-06-16T04:43:05Z
7f48f26e-5398-4e04-8d6d-7820ef9e3ba4,CAS-00025-SJW8CL,Delivery change request: ORD-000158,65db6e43-47bf-4db7-82d9-a774ea7f6c7d,account,4e6e7125-e822-4203-b004-66a15c0756dd,0c56ed3c-a4f8-4b8f-91f8-96c8173413a4,3,100000006,100000002,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-06-21T10:15:11Z,2025-06-21T14:15:11Z,2025-06-26T10:15:11Z,True,2025-06-21T10:58:18Z,False,,,0.0,,1,1000,2025-06-21T14:53:59Z
b15aad14-d8a1-4b19-adfa-2a5b1153c9ff,CAS-00026-LGJ23F,Weight discrepancy: ORD-000159,481186e9-1625-44ca-9b47-e6394d2551eb,account,2992c02a-0909-4686-b981-e014d70624f1,7a5b5fa7-9918-4eb1-b6b9-340939745ce1,2,100000000,100000001,2,2,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-06-16T07:27:18Z,2025-06-16T11:27:18Z,2025-06-21T07:27:18Z,True,2025-06-16T09:05:40Z,False,,True,439200000.0,3.0,1,5,2025-06-18T04:28:48Z
94316ffb-cb88-46c1-bf24-76fa6274afc7,CAS-00027-KBFF0Z,Weight discrepancy: ORD-000162,6690a951-fc04-4a7a-ae41-5f166263307c,account,2c6dde79-f7e3-492f-a143-d57228ff21d7,b15f68ff-84e1-48cd-b3f7-1df7e8a84d2f,2,100000000,100000001,2,1,7931db9d-7b28-4616-ab82-a35fc263b420,2025-06-08T18:54:49Z,2025-06-08T22:54:49Z,2025-06-13T18:54:49Z,True,2025-06-08T22:21:52Z,False,,True,27600000.0,5.0,1,5,2025-06-09T16:12:47Z
22173507-cc88-4ecd-8a21-2a49f4c3845f,CAS-00028-GY7GEU,Invoice dispute: ORD-000162,6690a951-fc04-4a7a-ae41-5f166263307c,account,2c6dde79-f7e3-492f-a143-d57228ff21d7,b15f68ff-84e1-48cd-b3f7-1df7e8a84d2f,2,100000004,100000004,2,1,7931db9d-7b28-4616-ab82-a35fc263b420,2025-06-17T12:58:25Z,2025-06-17T16:58:25Z,2025-06-22T12:58:25Z,True,2025-06-17T15:05:19Z,True,2025-06-21T06:58:25Z,False,0.0,3.0,1,5,2025-06-30T19:01:17Z
5624df92-9e59-4897-b875-ab3e55a68ab7,CAS-00029-WJ6RMC,Late delivery: ORD-000169,dd23ff41-dae1-4586-a358-755cbc5c3cd8,account,1f42ec8c-2c4a-4e2c-83b5-2e867a6c3062,c50fb978-b141-4fb8-acbb-d22b2ea40bd2,2,100000001,100000002,2,1,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-06-07T20:41:21Z,2025-06-08T00:41:21Z,2025-06-12T20:41:21Z,True,2025-06-07T21:04:05Z,False,,False,0.0,,1,5,2025-06-08T05:05:39Z
a03eeea2-3c2f-48f6-9968-f08789c46587,CAS-00030-GGFTRL,Invoice dispute: ORD-000186,6f0eebef-97e8-4057-96a7-01aba66ccf43,account,fcedb87c-82f5-4de1-9392-009fba9ada63,85761ded-107a-4377-b7fe-780f1a917f3f,2,100000004,100000004,2,1,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-07-24T11:18:28Z,2025-07-24T15:18:28Z,2025-07-29T11:18:28Z,True,2025-07-24T14:30:34Z,True,2025-07-28T05:18:28Z,False,0.0,2.0,1,5,2025-08-03T07:39:58Z
eb455b2a-dc5f-4a6e-9ac2-0a8d2c438e72,CAS-00031-Y65YQR,Weight discrepancy: ORD-000198,0443777c-7ab8-4d02-85ac-3f00338f29be,account,d050a38a-5481-4632-8df2-4a5af1b256d0,33e2dcdb-9f31-4a36-9c27-91ccc374ffaa,2,100000000,100000001,2,1,7931db9d-7b28-4616-ab82-a35fc263b420,2025-07-31T09:26:03Z,2025-07-31T13:26:03Z,2025-08-05T09:26:03Z,True,2025-07-31T14:55:54Z,False,,False,0.0,3.0,1,5,2025-08-02T15:12:28Z
2e4265fb-160a-41db-8ce4-54c401862baa,CAS-00032-3VG0M4,Late delivery: ORD-000199,aceab138-3e62-4898-b557-6846ee7616d1,account,fe1df6e2-0df0-4a72-b52e-3f169da13fb2,faa1c99c-bfb4-4362-84d3-ae9201b43841,2,100000001,100000002,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-07-26T14:49:32Z,2025-07-26T18:49:32Z,2025-07-31T14:49:32Z,True,2025-07-26T15:31:14Z,False,,True,0.0,5.0,1,5,2025-07-27T05:33:09Z
fb376aa3-298f-463c-b6f2-165b48c1364d,CAS-00033-6BZKCZ,Late delivery: ORD-000223,97ee66ea-b54d-43d4-8422-5042eb1be442,account,701daebf-c142-4184-9664-7b59c8ba8729,751db29a-abaf-4fc2-985b-9de505217d23,2,100000001,100000002,2,1,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-09-15T12:24:37Z,2025-09-15T16:24:37Z,2025-09-20T12:24:37Z,True,2025-09-15T12:53:22Z,False,,True,0.0,5.0,1,5,2025-09-15T20:36:59Z
dab812c0-90e1-4542-8f58-e472efc229c7,CAS-00034-B5K6NT,Invoice dispute: ORD-000224,e92915a3-85cd-44bf-901c-93a3b1f22be5,account,704dc28c-8f36-48b4-8a53-6e222fcde2a7,536d0280-f353-4555-860b-2d5303043439,2,100000004,100000004,2,2,0e108913-5aeb-4cd9-a56a-e9713fdfefe6,2025-10-22T18:15:39Z,2025-10-22T22:15:39Z,2025-10-27T18:15:39Z,True,2025-10-22T19:46:19Z,True,2025-10-26T12:15:39Z,False,0.0,,1,5,2025-10-28T03:26:27Z
aea7efc8-84ce-48b4-991d-5589221ac496,CAS-00035-2AN09V,Quality / spec claim: ORD-000229,23bdec0a-9085-4205-b160-fa4dc2e8574f,account,d27be71e-685d-4751-9a19-5aa4a111f44b,d50af963-cc05-43bd-9b10-e45f988209a7,2,100000002,100000003,2,1,4cae8e39-e278-419b-94aa-01f9ef63cd2c,2025-10-27T13:01:11Z,2025-10-27T17:01:11Z,2025-11-01T13:01:11Z,True,2025-10-27T15:16:18Z,True,2025-10-31T07:01:11Z,True,239800000.0,,1,5,2025-11-05T15:08:10Z
ddf10601-540e-4c01-97bf-a4e8bbfc7317,CAS-00036-NM4ZN5,Weight discrepancy: ORD-000231,f0636972-c737-427a-9e34-106afa902bfb,account,d5b21bf1-c66a-47d0-a6cb-674e43a71e40,5444aaf1-4d22-47fe-8350-d42f37ef93aa,2,100000000,100000001,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-10-26T17:53:17Z,2025-10-26T21:53:17Z,2025-10-31T17:53:17Z,True,2025-10-26T18:18:55Z,False,,True,152800000.0,4.0,1,5,2025-10-27T15:48:51Z
7ae3e72d-6e01-420c-acf1-df9e5d558b6f,CAS-00037-FQS7Z4,Quality / spec claim: ORD-000233,397a284f-76a4-479b-bd67-34588f2d0b17,account,aa58feda-b960-4b74-a32f-be6b7dd2ab19,4aff2123-bfe8-4aed-87f4-209539c1baf7,2,100000002,100000003,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-11-29T08:19:17Z,2025-11-29T12:19:17Z,2025-12-04T08:19:17Z,True,2025-11-29T10:06:58Z,True,2025-12-03T02:19:17Z,True,11721100000.0,,1,5,2025-12-04T13:28:48Z
02b751fd-b18d-4aa0-9886-a8dab1b63162,CAS-00038-6W6FUZ,Delivery change request: ORD-000235,7147f758-cdbe-4548-aa65-66e8fe1ad905,account,50e9636e-197d-48b1-961b-14dd45f11959,bb07fcc1-b4ee-4df3-a1cb-d3c1cc97cda2,3,100000006,100000002,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-11-04T12:43:04Z,2025-11-04T16:43:04Z,2025-11-09T12:43:04Z,True,2025-11-04T13:22:12Z,False,,,0.0,5.0,1,1000,2025-11-04T14:20:30Z
c6988ab3-e5d0-4421-bc93-20c9c84afe81,CAS-00039-W1Y63H,Invoice dispute: ORD-000236,3c775558-b365-4b7c-8853-bc5542e17302,account,54b69482-f903-41e5-ba86-80ddae6773af,5975aeca-7ccc-46cf-b4ba-14c23e89f661,2,100000004,100000004,2,1,4cae8e39-e278-419b-94aa-01f9ef63cd2c,2025-11-24T17:56:32Z,2025-11-24T21:56:32Z,2025-11-29T17:56:32Z,True,2025-11-24T18:45:15Z,False,,True,373500000.0,5.0,1,5,2025-11-27T17:41:30Z
7dea4261-61b2-4ac5-95b1-59297c25b57c,CAS-00040-W3ZBX5,Damaged or rusted material: ORD-000237,76b90472-7470-424c-b9f6-b641063ff61e,account,ebbe1cf4-4496-4518-9e19-ad54514fe370,d548e741-56bc-46c6-8bc9-07ddffb77dd3,2,100000003,100000003,1,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-11-15T08:28:58Z,2025-11-15T10:28:58Z,2025-11-17T08:28:58Z,True,2025-11-15T11:19:59Z,False,,True,284400000.0,,1,5,2025-11-16T08:47:30Z
cd7d36a3-9828-46be-9372-2e65e538d70f,CAS-00041-T7X9Q3,Damaged or rusted material: ORD-000241,9bafcc20-0e16-4f3f-938c-c0ca17acd7e9,account,5ef0d853-9ebd-4552-9ded-2282dd8b99ad,9f97e7ed-b0ff-427c-9cd3-4d5cdaa12743,2,100000003,100000003,1,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-11-13T07:29:50Z,2025-11-13T09:29:50Z,2025-11-15T07:29:50Z,True,2025-11-13T08:49:48Z,True,2025-11-14T19:29:50Z,True,1618900000.0,,1,5,2025-11-15T22:38:31Z
e07955c6-2d29-4dab-81cf-7bfcbcb7f959,CAS-00042-1HKKRA,Weight discrepancy: ORD-000248,2bf95861-4827-4440-b6d9-fe1731094211,account,73c99dc1-3c10-43b5-88e8-cacd0c008903,f9ff2ed9-5ab8-42c4-b153-00a0fb97e63f,2,100000000,100000001,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-11-16T18:18:43Z,2025-11-16T22:18:43Z,2025-11-21T18:18:43Z,True,2025-11-16T18:51:06Z,False,,True,54800000.0,,1,5,2025-11-17T03:12:21Z
388fa081-4882-46fc-af36-7324a926c539,CAS-00043-7UM1QE,Late delivery: ORD-000255,84222f58-f022-44af-bb76-4637d277ab64,account,05ac5b6b-d560-4096-a2cc-bf4f4da1e3ea,73d30bea-c669-438a-9b15-499a36701ee1,2,100000001,100000002,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-11-15T18:09:02Z,2025-11-15T22:09:02Z,2025-11-20T18:09:02Z,True,2025-11-15T19:30:32Z,False,,False,0.0,,1,5,2025-11-16T08:52:17Z
4266dba5-62e8-47f0-8b68-f54faf9f81f7,CAS-00044-L59Q3V,Delivery change request: ORD-000267,59cb1e01-8a40-45cd-9597-b5085bed5760,account,cd784178-3c90-4eda-b650-b1457c12c7bc,b5c0b038-cb2d-4bb3-86ee-7aa43deeaf95,3,100000006,100000002,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2025-12-06T20:55:27Z,2025-12-07T00:55:27Z,2025-12-11T20:55:27Z,True,2025-12-06T21:22:59Z,False,,,0.0,,1,1000,2025-12-07T18:30:23Z
f154f9c9-a023-4afe-b9d0-d9721159d661,CAS-00045-PSRBMM,Weight discrepancy: ORD-000276,4b94b930-393a-4207-b19c-c375a599252d,account,36bd2174-db4f-4573-b86c-b67ebbbfc2de,fc96cdf1-737c-4628-a1dc-57b931948b3f,2,100000000,100000001,1,1,4cae8e39-e278-419b-94aa-01f9ef63cd2c,2025-12-14T14:42:43Z,2025-12-14T16:42:43Z,2025-12-16T14:42:43Z,True,2025-12-14T15:31:41Z,False,,True,134500000.0,,1,5,2025-12-16T01:52:08Z
68391acc-91a2-4d9d-a52e-f8178c754412,CAS-00046-NMK5MP,Invoice dispute: ORD-000286,2bee2fff-8b5f-43fe-b75d-dff45d123e9b,account,eabdad2f-628d-4aca-abf4-acc3384200a0,31510f56-8d9c-47fe-a67f-1bdb86554ed3,2,100000004,100000004,2,1,7931db9d-7b28-4616-ab82-a35fc263b420,2026-02-28T00:06:42Z,2026-02-28T04:06:42Z,2026-03-05T00:06:42Z,True,2026-02-28T00:47:29Z,True,2026-03-03T18:06:42Z,True,1831200000.0,,1,5,2026-03-03T19:36:38Z
5bb584a2-b503-428c-9d7f-4b8f683007dd,CAS-00047-PCJ2UB,Delivery change request: ORD-000308,080a1cf5-a6f3-4448-8a76-c888e7b1a394,account,c9733b50-1aa5-4c7d-8603-538647f3d1bf,12a51a72-4fb9-49c9-b52d-38cfca5db449,3,100000006,100000002,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2026-03-14T16:19:51Z,2026-03-14T20:19:51Z,2026-03-19T16:19:51Z,True,2026-03-14T16:46:50Z,False,,,0.0,,1,1000,2026-03-14T22:36:46Z
873557e8-e422-4ba4-aeea-6fef0f44c83f,CAS-00048-0Y6JJW,Delivery change request: ORD-000329,7147f758-cdbe-4548-aa65-66e8fe1ad905,account,e3a6ebff-e20e-4c3c-8710-3646771f9dbb,cd6fa0e0-3312-4afb-a784-e1b1b2342c84,3,100000006,100000002,2,1,4cae8e39-e278-419b-94aa-01f9ef63cd2c,2026-06-01T23:24:47Z,2026-06-02T03:24:47Z,2026-06-06T23:24:47Z,True,2026-06-02T00:03:07Z,False,,,0.0,4.0,1,1000,2026-06-02T06:21:27Z
ece28e5c-d0f7-408b-9a26-eecdd98c8528,CAS-00049-PZ36XF,Weight discrepancy: ORD-000333,3ef7839f-8df4-497b-98f8-001856fe4769,account,622157d0-ca95-4d2b-8201-ef759a719624,11b1bcdf-17d6-49b2-acae-7e06ba7f8ea4,2,100000000,100000001,2,1,4b30bd90-ff3f-4312-a47b-630f7d42a132,2026-06-02T12:24:30Z,2026-06-02T16:24:30Z,2026-06-07T12:24:30Z,True,2026-06-02T13:04:14Z,False,,False,0.0,,1,5,2026-06-04T04:21:45Z
